"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L142","ActionMods","AssistantComputerControl.ActionMods","L104","L103","D:\DataCollection\repos\AlbertMN_AssistantComputerControl\AssistantComputerControl\ActionMods.cs","22","5","345","6","0.5","2","0","0","0","0","0","0","0","0","36","0","5","1","0","0","253","324","0","0","0","0","0","0","0","7","0","3","0","7","0","0","0","2","0","144","0","3","0","2","2","9","0","36","253","324","0","0","0","0","7","0","3","0","7","144","0","3","0","79","0","0","8","0","0","3","0","0","3","0","1","0","4"
"L486","SoftwareUpdater","AssistantComputerControl.SoftwareUpdater","L104","L103","D:\DataCollection\repos\AlbertMN_AssistantComputerControl\AssistantComputerControl\SoftwareUpdater.cs","20","5","237","6","0","5","0","0","0","0","0","0","0","0","15","0","0","2","0","0","176","218","0","0","0","0","0","0","0","5","0","3","0","5","0","0","0","12","0","118","0","3","0","0","4","17","0","15","176","218","0","0","0","0","5","0","3","0","5","118","0","3","0","44","0","0","6","0","0","1","0","1","1","1","1","0","2"
"L375","ActionChecker","AssistantComputerControl.ActionChecker","L104","L103","D:\DataCollection\repos\AlbertMN_AssistantComputerControl\AssistantComputerControl\ActionChecker.cs","21","5","616","6","0.222222","9","0","0","0","0","0","0","0","0","35","0","2","3","0","0","456","559","0","1","0","0","0","0","1","11","0","8","0","11","0","0","0","46","0","282","0","8","0","2","7","57","0","37","489","596","0","1","0","1","13","0","10","0","13","282","0","10","0","123","0","0","23","0","0","4","0","2","4","2","5","0","10"
"L1037","Actions","AssistantComputerControl.Actions","L104","L103","D:\DataCollection\repos\AlbertMN_AssistantComputerControl\AssistantComputerControl\Actions.cs","22","5","1202","6","0.0789474","6","0","0.0446367","1","14","0","2","0.0558848","0.063745","78","0","6","2","66","64","1004","1179","0","0","0","0","0","0","0","46","0","37","0","46","0","0","0","15","0","548","0","37","0","3","35","61","0","78","1004","1181","0","0","0","0","46","0","37","0","46","548","0","37","0","268","0","0","38","0","0","11","16","1","11","0","1","0","9"
"L1528","AdvancedSettings","AssistantComputerControl.AdvancedSettings","L104","L103","D:\DataCollection\repos\AlbertMN_AssistantComputerControl\AssistantComputerControl\AdvancedSettings.cs","9","5","77","6","0","3","0","0.246429","2","2","0","2","0","0","48","0","8","3","0","0","172","224","0","0","0","0","0","0","0","6","0","1","0","6","0","0","0","6","0","130","0","1","0","0","2","12","0","48","184","246","0","0","0","0","6","0","1","0","6","130","0","1","0","12","0","0","15","0","0","1","10","1","0","0","1","0","3"
"L1212","AudioManager","AssistantComputerControl.AudioManager","L104","L103","D:\DataCollection\repos\AlbertMN_AssistantComputerControl\AssistantComputerControl\AudioManager.cs","12","5","260","6","0.666667","10","0","0","0","0","0","0","0","0","42","0","33","2","0","0","168","249","0","0","0","0","0","0","0","13","0","11","0","13","0","0","0","14","0","126","0","11","0","8","4","27","0","42","168","249","0","0","0","0","13","0","11","0","13","126","0","11","0","37","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L1937","MMDeviceEnumerator","AssistantComputerControl.MMDeviceEnumerator","L104","L103","D:\DataCollection\repos\AlbertMN_AssistantComputerControl\AssistantComputerControl\AudioManager.cs","264","5","267","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L1020","CleanupService","AssistantComputerControl.CleanupService","L104","L103","D:\DataCollection\repos\AlbertMN_AssistantComputerControl\AssistantComputerControl\CleanupService.cs","20","5","165","6","0.5","2","0","0","0","0","0","0","0","0","17","0","1","3","0","0","107","84","0","0","0","0","0","0","0","4","0","1","0","4","0","0","0","4","0","30","0","1","0","1","1","8","0","17","107","146","0","0","0","0","4","0","1","0","4","30","0","1","0","15","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L2144","CloudServiceFunctions","AssistantComputerControl.CloudServiceFunctions","L104","L103","D:\DataCollection\repos\AlbertMN_AssistantComputerControl\AssistantComputerControl\CloudServiceFunctions.cs","11","5","122","6","0","2","0","0","0","0","0","0","0","0","6","0","0","1","0","0","89","109","0","0","0","0","0","0","0","6","0","6","0","6","0","0","0","5","0","57","0","6","0","0","7","11","0","6","94","112","0","3","0","3","12","0","12","3","12","57","0","12","3","29","0","0","3","0","0","1","0","0","1","0","2","0","0"
"L2200","FlashWindow","AssistantComputerControl.FlashWindow","L104","L103","D:\DataCollection\repos\AlbertMN_AssistantComputerControl\AssistantComputerControl\FlashWindow.cs","14","5","145","6","0.8","1","0","0","0","0","0","0","0","0","25","0","24","1","0","0","49","111","0","1","0","0","0","0","1","7","0","4","0","7","0","0","0","0","0","24","0","4","0","4","1","7","0","25","57","132","0","1","0","1","7","0","4","0","7","24","0","4","0","11","0","0","2","0","0","1","0","0","0","0","2","0","0"
