"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DLOC","LDC","LLDC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L155","CheckMods","AssistantComputerControl.ActionMods.CheckMods()void","L142","L103","D:\DataCollection\repos\AlbertMN_AssistantComputerControl\AssistantComputerControl\ActionMods.cs","27","9","55","10","0","0","0","0","0","0","0","4","1","0","0","25","29","6","0","0","0","3","14","0","0","4","25","29","14","0","0","0","0","0","0","0","0","0","0","0"
"L208","ValidateAddMod","AssistantComputerControl.ActionMods.ValidateAddMod(string, string)bool","L142","L103","D:\DataCollection\repos\AlbertMN_AssistantComputerControl\AssistantComputerControl\ActionMods.cs","58","9","83","10","0","0","0","0","0","0","0","1","1","0","0","24","26","5","0","0","0","3","14","2","0","1","24","26","14","0","0","0","0","0","0","0","0","0","0","0"
"L231","ValidateInfoJson","AssistantComputerControl.ActionMods.ValidateInfoJson(dynamic)bool","L142","L103","D:\DataCollection\repos\AlbertMN_AssistantComputerControl\AssistantComputerControl\ActionMods.cs","86","9","102","10","0","0","0","0","0","0","0","1","1","0","0","17","17","11","0","0","0","0","9","1","0","1","17","17","9","0","0","1","0","0","1","0","1","0","0","0"
"L237","ModActionExists","AssistantComputerControl.ActionMods.ModActionExists(string)bool","L142","L103","D:\DataCollection\repos\AlbertMN_AssistantComputerControl\AssistantComputerControl\ActionMods.cs","104","9","106","10","0","0","0","0","0","0","0","0","0","0","0","3","3","1","0","0","0","0","1","1","0","0","3","3","1","0","0","0","0","0","0","0","0","0","0","0"
"L281","GetPythonPath","AssistantComputerControl.ActionMods.GetPythonPath(string, string)string","L142","L103","D:\DataCollection\repos\AlbertMN_AssistantComputerControl\AssistantComputerControl\ActionMods.cs","109","9","173","10","0","0","0","0","0","0","0","9","1","0","0","48","65","15","0","0","0","0","28","2","0","9","48","65","28","0","0","1","0","0","1","0","1","0","0","0"
"L354","ExecuteModAction","AssistantComputerControl.ActionMods.ExecuteModAction(string, string)System.Tuple<bool, string, bool>","L142","L103","D:\DataCollection\repos\AlbertMN_AssistantComputerControl\AssistantComputerControl\ActionMods.cs","176","9","336","10","0","0","0","0","0","0","0","21","1","0","0","125","161","39","0","0","0","5","75","2","0","21","125","161","75","0","0","5","0","0","1","0","1","0","0","4"
"L201","ReadInfoFile","AssistantComputerControl.ActionMods.ReadInfoFile(string)string","L142","L103","D:\DataCollection\repos\AlbertMN_AssistantComputerControl\AssistantComputerControl\ActionMods.cs","338","9","344","10","0","0","0","0","0","0","0","0","0","0","0","7","7","2","0","0","0","0","3","1","0","0","7","7","3","0","0","0","0","0","0","0","0","0","0","0"
"L489","Check","AssistantComputerControl.SoftwareUpdater.Check(bool)bool","L486","L103","D:\DataCollection\repos\AlbertMN_AssistantComputerControl\AssistantComputerControl\SoftwareUpdater.cs","25","9","150","10","0","0","0","0","0","0","0","14","0","0","0","98","126","30","0","0","0","12","69","1","0","14","98","126","69","0","0","4","0","0","1","0","1","1","0","2"
"L518","RemoteFileExists","AssistantComputerControl.SoftwareUpdater.RemoteFileExists(string)bool","L486","L103","D:\DataCollection\repos\AlbertMN_AssistantComputerControl\AssistantComputerControl\SoftwareUpdater.cs","152","9","162","10","0","0","0","0","0","0","0","0","0","0","0","11","11","2","0","0","0","0","7","1","0","0","11","11","7","0","0","0","0","0","0","0","0","0","0","0"
"L593","DownloadFile","AssistantComputerControl.SoftwareUpdater.DownloadFile(string)void","L486","L103","D:\DataCollection\repos\AlbertMN_AssistantComputerControl\AssistantComputerControl\SoftwareUpdater.cs","165","9","200","10","0","0","0","0","0","0","0","0","0","0","0","31","36","5","0","0","0","4","22","1","0","0","31","36","22","0","0","0","0","0","0","0","0","0","0","0"
