"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L133","DefaultYoloSystemValidator","Alturos.Yolo.DefaultYoloSystemValidator","L104","L103","D:\DataCollection\repos\AlturosDestinations_Alturos.Yolo\src\Alturos.Yolo\DefaultYoloSystemValidator.cs","10","5","92","6","0","2","0","0","0","0","0","0","0","0","2","1","0","1","0","0","62","83","0","0","0","0","0","0","0","2","0","1","0","3","1","0","0","3","1","23","0","2","0","0","2","5","0","2","62","83","0","0","0","0","2","0","1","0","3","23","0","2","0","10","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L164","GpuConfig","Alturos.Yolo.GpuConfig","L104","L103","D:\DataCollection\repos\AlturosDestinations_Alturos.Yolo\src\Alturos.Yolo\GpuConfig.cs","3","5","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","4","0","1","0","0","0","0","1","2","0","2","1","2","0","0","0","0","0","0","0","2","1","0","3","2","0","0","4","4","0","1","0","1","2","0","2","1","2","0","0","2","1","2","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L176","ImageAnalyzer","Alturos.Yolo.ImageAnalyzer","L104","L103","D:\DataCollection\repos\AlturosDestinations_Alturos.Yolo\src\Alturos.Yolo\ImageAnalyzer.cs","7","5","44","6","0","0","0","0","0","0","0","0","0","0","3","0","0","1","0","0","32","38","0","0","0","0","0","0","0","2","0","2","0","2","0","0","0","0","0","14","0","2","0","0","3","2","0","3","32","38","0","0","0","0","2","0","2","0","2","14","0","2","0","6","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L198","ImageResizer","Alturos.Yolo.ImageResizer","L104","L103","D:\DataCollection\repos\AlturosDestinations_Alturos.Yolo\src\Alturos.Yolo\ImageResizer.cs","8","5","67","6","0","0","0","0","0","0","0","0","0","0","7","0","7","2","0","0","46","60","0","0","0","0","0","0","0","4","0","1","0","4","0","0","0","0","0","21","0","1","0","0","2","4","0","7","46","60","0","0","0","0","4","0","1","0","4","21","0","1","0","4","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L377","YoloConfiguration","Alturos.Yolo.YoloConfiguration","L104","L103","D:\DataCollection\repos\AlturosDestinations_Alturos.Yolo\src\Alturos.Yolo\YoloConfiguration.cs","3","5","15","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","13","0","3","0","0","0","0","3","7","0","7","3","7","0","0","0","0","0","3","0","7","3","0","8","7","0","0","12","13","0","3","0","3","7","0","7","3","7","3","0","7","3","7","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L400","YoloConfigurationDetector","Alturos.Yolo.YoloConfigurationDetector","L104","L103","D:\DataCollection\repos\AlturosDestinations_Alturos.Yolo\src\Alturos.Yolo\YoloConfigurationDetector.cs","6","5","53","6","0.5","1","0","0","0","0","0","0","0","0","6","0","6","1","0","0","35","48","0","0","0","0","0","0","0","4","0","1","0","4","0","0","0","3","0","14","0","1","0","1","1","7","0","6","35","48","0","0","0","0","4","0","1","0","4","14","0","1","0","8","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L428","YoloInitializeException","Alturos.Yolo.YoloInitializeException","L104","L103","D:\DataCollection\repos\AlturosDestinations_Alturos.Yolo\src\Alturos.Yolo\YoloInitializeException.cs","6","5","24","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","19","0","0","0","0","0","0","0","4","0","3","0","4","0","0","0","0","0","0","0","3","0","0","4","4","0","0","16","19","0","0","0","0","4","0","3","0","4","0","0","3","0","4","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L447","YoloObjectTypeResolver","Alturos.Yolo.YoloObjectTypeResolver","L104","L103","D:\DataCollection\repos\AlturosDestinations_Alturos.Yolo\src\Alturos.Yolo\YoloObjectTypeResolver.cs","8","5","40","6","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","28","33","0","0","0","0","0","0","0","4","0","3","0","4","0","0","0","0","0","8","0","3","0","0","4","4","0","0","28","33","0","0","0","0","4","0","3","0","4","8","0","3","0","6","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L462","YoloPreTrainedDatasetRepository","Alturos.Yolo.YoloPreTrainedDatasetRepository","L104","L103","D:\DataCollection\repos\AlturosDestinations_Alturos.Yolo\src\Alturos.Yolo\YoloPreTrainedDatasetRepository.cs","10","5","134","6","0","1","0","0","0","0","0","0","0","0","0","0","0","2","0","0","110","125","0","0","0","0","0","0","0","4","0","3","0","4","0","0","0","4","0","35","0","3","0","0","4","8","0","0","110","125","0","0","0","0","4","0","3","0","4","35","0","3","0","14","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L491","YoloTracking","Alturos.Yolo.YoloTracking","L104","L103","D:\DataCollection\repos\AlturosDestinations_Alturos.Yolo\src\Alturos.Yolo\YoloTracking.cs","9","5","137","6","0","3","0","0","0","0","0","0","0","0","0","0","0","3","0","0","105","125","0","0","0","0","0","0","0","8","0","3","0","8","0","0","0","4","0","47","0","3","0","0","4","12","0","0","105","129","0","3","0","3","11","0","6","0","11","47","0","6","0","17","0","0","3","0","0","0","0","1","0","0","2","0","0"
