"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DLOC","LDC","LLDC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L140","Validate","Alturos.Yolo.DefaultYoloSystemValidator.Validate()Alturos.Yolo.Model.SystemValidationReport","L133","L103","D:\DataCollection\repos\AlturosDestinations_Alturos.Yolo\src\Alturos.Yolo\DefaultYoloSystemValidator.cs","12","9","49","10","0","0","0","0","0","0","0","0","0","0","0","26","38","5","0","0","0","4","12","0","0","0","26","38","12","0","0","0","0","0","0","0","0","0","0","0"
"L146","IsMicrosoftVisualCPlusPlus2017Available","Alturos.Yolo.DefaultYoloSystemValidator.IsMicrosoftVisualCPlusPlus2017Available()bool","L133","L103","D:\DataCollection\repos\AlturosDestinations_Alturos.Yolo\src\Alturos.Yolo\DefaultYoloSystemValidator.cs","51","9","91","10","0","0","0","0","0","0","0","2","0","0","0","33","41","5","0","0","0","0","11","0","0","2","33","41","11","0","0","0","0","0","0","0","0","0","0","0"
"L165","get_GpuIndex","Alturos.Yolo.GpuConfig.GpuIndex.getint","L164","L103","D:\DataCollection\repos\AlturosDestinations_Alturos.Yolo\src\Alturos.Yolo\GpuConfig.cs","5","31","5","35","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L171","set_GpuIndex","Alturos.Yolo.GpuConfig.GpuIndex.setvoid","L164","L103","D:\DataCollection\repos\AlturosDestinations_Alturos.Yolo\src\Alturos.Yolo\GpuConfig.cs","5","36","5","40","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L189",".ctor","Alturos.Yolo.ImageAnalyzer.ImageAnalyzer()void","L176","L103","D:\DataCollection\repos\AlturosDestinations_Alturos.Yolo\src\Alturos.Yolo\ImageAnalyzer.cs","11","9","20","10","0","0","0","0","0","0","0","3","0","0","0","9","10","1","0","0","0","0","6","0","0","3","9","10","6","0","0","0","0","0","0","0","0","0","0","0"
"L191","IsValidImageFormat","Alturos.Yolo.ImageAnalyzer.IsValidImageFormat(byte[])bool","L176","L103","D:\DataCollection\repos\AlturosDestinations_Alturos.Yolo\src\Alturos.Yolo\ImageAnalyzer.cs","22","9","43","10","0","0","0","0","0","0","0","0","0","0","0","19","22","5","0","0","0","0","8","1","0","0","19","22","8","0","0","0","0","0","0","0","0","0","0","0"
"L199","Resize","Alturos.Yolo.ImageResizer.Resize(byte[], int, int)byte[]","L198","L103","D:\DataCollection\repos\AlturosDestinations_Alturos.Yolo\src\Alturos.Yolo\ImageResizer.cs","10","9","17","10","0","0","0","0","0","0","0","0","0","0","0","8","8","1","0","0","0","2","3","3","0","0","8","8","3","0","0","0","0","0","0","0","0","0","0","0"
"L205","ResizeImage","Alturos.Yolo.ImageResizer.ResizeImage(Image, int, int)Bitmap","L198","L103","D:\DataCollection\repos\AlturosDestinations_Alturos.Yolo\src\Alturos.Yolo\ImageResizer.cs","26","9","49","10","0","0","0","0","0","0","0","7","7","0","0","20","24","1","0","0","0","0","13","3","0","7","20","24","13","0","0","0","0","0","0","0","0","0","0","0"
"L203","Byte2Image","Alturos.Yolo.ImageResizer.Byte2Image(byte[])Image","L198","L103","D:\DataCollection\repos\AlturosDestinations_Alturos.Yolo\src\Alturos.Yolo\ImageResizer.cs","51","9","57","10","0","0","0","0","0","0","0","0","0","0","0","7","7","1","0","0","0","0","2","1","0","0","7","7","2","0","0","0","0","0","0","0","0","0","0","0"
"L218","Image2Byte","Alturos.Yolo.ImageResizer.Image2Byte(Image)byte[]","L198","L103","D:\DataCollection\repos\AlturosDestinations_Alturos.Yolo\src\Alturos.Yolo\ImageResizer.cs","59","9","66","10","0","0","0","0","0","0","0","0","0","0","0","8","8","1","0","0","0","0","3","1","0","0","8","8","3","0","0","0","0","0","0","0","0","0","0","0"
