"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Compiler","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L366","AutoPropertiesTarget","AutoFixture.AutoPropertiesTarget","L104","L103","D:\DataCollection\repos\AutoFixture_AutoFixture\Src\AutoFixture\AutoPropertiesTarget.cs","16","5","101","6","0.833333","4","0","0","0","0","0","0","0","0","45","2","45","1","0","0","27","86","0","1","0","0","0","0","1","6","0","5","0","8","2","0","0","2","2","8","0","7","0","5","1","8","0","45","27","86","0","1","0","1","6","0","5","0","8","8","0","7","0","8","0","0","2","0","0","0","0","0","0","0","0","1","1","0"
"L442","BehaviorRoot","AutoFixture.BehaviorRoot","L104","L103","D:\DataCollection\repos\AutoFixture_AutoFixture\Src\AutoFixture\BehaviorRoot.cs","16","5","101","6","0.833333","4","0","0","0","0","0","0","0","0","45","2","45","1","0","0","27","86","0","1","0","0","0","0","1","6","0","5","0","8","2","0","0","2","2","8","0","7","0","5","1","8","0","45","27","86","0","1","0","1","6","0","5","0","8","8","0","7","0","8","0","0","2","0","0","0","0","0","0","0","0","1","1","0"
"L462","BooleanSwitch","AutoFixture.BooleanSwitch","L104","L103","D:\DataCollection\repos\AutoFixture_AutoFixture\Src\AutoFixture\BooleanSwitch.cs","9","5","76","6","0.6","3","0","0","0","0","0","0","0","0","17","1","17","1","0","0","31","68","0","0","0","0","0","0","0","4","0","4","0","5","1","0","0","1","1","8","0","5","0","3","2","5","0","17","31","68","0","0","0","0","4","0","4","0","5","8","0","5","0","5","0","0","1","0","0","0","0","0","0","0","0","1","0","0"
"L492","ByteSequenceGenerator","AutoFixture.ByteSequenceGenerator","L104","L103","D:\DataCollection\repos\AutoFixture_AutoFixture\Src\AutoFixture\ByteSequenceGenerator.cs","9","5","66","6","0.6","3","0","0","0","0","0","0","0","0","15","1","15","1","0","0","30","58","0","0","0","0","0","0","0","4","0","4","0","5","1","0","0","1","1","7","0","5","0","3","2","5","0","15","30","58","0","0","0","0","4","0","4","0","5","7","0","5","0","5","0","0","1","0","0","0","0","0","0","0","0","1","0","0"
"L514","CharSequenceGenerator","AutoFixture.CharSequenceGenerator","L104","L103","D:\DataCollection\repos\AutoFixture_AutoFixture\Src\AutoFixture\CharSequenceGenerator.cs","8","5","51","6","1","3","0","0","0","0","0","0","0","0","14","1","14","1","0","0","28","44","0","0","0","0","0","0","0","3","0","2","0","4","1","0","0","1","1","8","0","3","0","3","0","4","0","14","28","44","0","0","0","0","3","0","2","0","4","8","0","3","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L543","CollectionFiller","AutoFixture.CollectionFiller","L104","L103","D:\DataCollection\repos\AutoFixture_AutoFixture\Src\AutoFixture\CollectionFiller.cs","10","5","96","6","1","1","0","0","0","0","0","0","0","0","62","0","62","4","0","0","22","87","0","0","0","0","0","0","0","4","0","4","0","4","0","0","0","1","0","10","0","4","0","5","0","5","0","62","22","87","0","0","0","0","4","0","4","0","4","10","0","4","0","7","0","0","1","0","0","0","0","0","1","0","0","0","0","0"
"L617","CompositeCustomization","AutoFixture.CompositeCustomization","L104","L103","D:\DataCollection\repos\AutoFixture_AutoFixture\Src\AutoFixture\CompositeCustomization.cs","10","5","46","6","1","2","0","0","0","0","0","0","0","0","14","1","14","1","0","0","19","37","0","1","0","0","0","0","1","4","0","4","0","5","1","0","0","1","1","3","0","5","0","5","0","5","0","14","19","37","0","1","0","1","4","0","4","0","5","3","0","5","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L648","ConstrainedStringGenerator","AutoFixture.ConstrainedStringGenerator","L104","L103","D:\DataCollection\repos\AutoFixture_AutoFixture\Src\AutoFixture\ConstrainedStringGenerator.cs","10","5","50","6","1","4","0","0","0","0","0","0","0","0","11","1","11","1","0","0","27","41","0","0","0","0","0","0","0","2","0","1","0","3","1","0","0","4","1","12","0","2","0","2","0","6","0","11","27","41","0","0","0","0","2","0","1","0","3","12","0","2","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L689","ConstructorCustomization","AutoFixture.ConstructorCustomization","L104","L103","D:\DataCollection\repos\AutoFixture_AutoFixture\Src\AutoFixture\ConstructorCustomization.cs","10","5","55","6","1","5","0","0","0","0","0","0","0","0","26","1","26","1","0","0","19","46","0","2","0","0","0","0","2","4","0","4","0","5","1","0","0","3","1","7","0","5","0","5","0","7","0","26","19","46","0","2","0","2","4","0","4","0","5","7","0","5","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L730","CurrentDateTimeCustomization","AutoFixture.CurrentDateTimeCustomization","L104","L103","D:\DataCollection\repos\AutoFixture_AutoFixture\Src\AutoFixture\CurrentDateTimeCustomization.cs","17","5","32","6","1","3","0","0","0","0","0","0","0","0","16","1","16","1","0","0","11","16","0","0","0","0","0","0","0","1","0","1","0","2","1","0","0","1","1","3","0","2","0","2","0","2","0","16","11","16","0","0","0","0","1","0","1","0","2","3","0","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
