"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L615","Build","Build","L100","L614","D:\DataCollection\repos\AvaloniaUI_Avalonia.Xaml.Behaviors\build\build\Build.cs","11","1","128","2","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","93","118","0","6","0","0","0","0","6","15","0","13","6","15","0","0","0","0","0","4","0","13","6","0","14","15","0","0","93","118","0","6","0","6","15","0","13","6","15","4","0","13","6","18","0","0","4","0","0","0","0","1","0","0","1","0","2"
"L2983","ModuleInit","ModuleInit","L100","L2706","D:\DataCollection\repos\AvaloniaUI_Avalonia.Xaml.Behaviors\tests\Avalonia.Xaml.Interactions.UnitTests\ModuleInit.cs","4","1","13","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","10","10","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","3","0","1","0","0","2","1","0","0","10","10","0","0","0","0","1","0","1","0","1","3","0","1","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L2370","App","BehaviorsTestApplication.App","L2337","L2336","D:\DataCollection\repos\AvaloniaUI_Avalonia.Xaml.Behaviors\samples\BehaviorsTestApplication\App.axaml.cs","8","1","27","2","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","19","20","0","0","0","0","0","0","0","2","0","2","0","2","0","0","0","2","0","6","0","2","0","0","3","4","0","0","19","20","0","0","0","0","2","0","2","0","2","6","0","2","0","4","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L2408","Program","BehaviorsTestApplication.Program","L2337","L2336","D:\DataCollection\repos\AvaloniaUI_Avalonia.Xaml.Behaviors\samples\BehaviorsTestApplication\Program.cs","9","1","26","2","0","3","0","0","0","0","0","0","0","0","0","0","0","1","0","0","17","18","0","0","0","0","0","0","0","2","0","1","0","2","0","0","0","0","0","4","0","1","0","0","2","2","0","0","17","18","0","0","0","0","2","0","1","0","2","4","0","1","0","2","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L2611","App","DraggableDemo.App","L2603","L2602","D:\DataCollection\repos\AvaloniaUI_Avalonia.Xaml.Behaviors\samples\DraggableDemo\App.axaml.cs","7","1","23","2","0","1","0","0","0","0","0","0","0","0","0","0","0","2","0","0","15","17","0","0","0","0","0","0","0","2","0","2","0","2","0","0","0","1","0","4","0","2","0","0","3","3","0","0","15","17","0","0","0","0","2","0","2","0","2","4","0","2","0","3","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L2614","MainWindow","DraggableDemo.MainWindow","L2603","L2602","D:\DataCollection\repos\AvaloniaUI_Avalonia.Xaml.Behaviors\samples\DraggableDemo\MainWindow.axaml.cs","10","1","59","2","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","39","50","0","3","0","0","0","0","3","7","0","6","2","7","0","0","0","0","0","9","0","6","2","0","7","7","0","0","39","50","0","3","0","3","7","0","6","2","7","9","0","6","2","8","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L2700","Program","DraggableDemo.Program","L2603","L2602","D:\DataCollection\repos\AvaloniaUI_Avalonia.Xaml.Behaviors\samples\DraggableDemo\Program.cs","8","1","21","2","0","3","0","0","0","0","0","0","0","0","0","0","0","2","0","0","13","14","0","0","0","0","0","0","0","2","0","2","0","2","0","0","0","0","0","3","0","2","0","0","3","2","0","0","13","14","0","0","0","0","2","0","2","0","2","3","0","2","0","2","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L3171","App","DragAndDropSample.App","L3155","L3154","D:\DataCollection\repos\AvaloniaUI_Avalonia.Xaml.Behaviors\samples\DragAndDropSample\App.axaml.cs","9","1","25","2","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","15","17","0","0","0","0","0","0","0","2","0","2","0","2","0","0","0","2","0","4","0","2","0","0","3","4","0","0","15","17","0","0","0","0","2","0","2","0","2","4","0","2","0","3","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L3272","Program","DragAndDropSample.Program","L3155","L3154","D:\DataCollection\repos\AvaloniaUI_Avalonia.Xaml.Behaviors\samples\DragAndDropSample\Program.cs","10","1","29","2","0.333333","3","0","0","0","0","0","0","0","0","1","0","1","2","0","0","15","20","0","0","0","0","0","0","0","2","0","2","0","2","0","0","0","0","0","3","0","2","0","1","2","2","0","1","15","20","0","0","0","0","2","0","2","0","2","3","0","2","0","2","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L3279","ViewLocator","DragAndDropSample.ViewLocator","L3155","L3154","D:\DataCollection\repos\AvaloniaUI_Avalonia.Xaml.Behaviors\samples\DragAndDropSample\ViewLocator.cs","8","1","29","2","0","1","0","0","0","0","0","0","0","0","0","0","0","2","0","0","20","22","0","0","0","0","0","0","0","2","0","2","0","2","0","0","0","0","0","6","0","2","0","0","3","2","0","0","20","22","0","0","0","0","2","0","2","0","2","6","0","2","0","6","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L2387","ClassesToStringConverter","BehaviorsTestApplication.Converters.ClassesToStringConverter","L2386","L2336","D:\DataCollection\repos\AvaloniaUI_Avalonia.Xaml.Behaviors\samples\BehaviorsTestApplication\Converters\ClassesToStringConverter.cs","10","1","23","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","12","14","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","3","0","1","0","0","2","1","0","0","12","14","0","0","0","0","1","0","1","0","1","3","0","1","0","5","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L2425","ItemViewModel","BehaviorsTestApplication.ViewModels.ItemViewModel","L2420","L2336","D:\DataCollection\repos\AvaloniaUI_Avalonia.Xaml.Behaviors\samples\BehaviorsTestApplication\ViewModels\ItemViewModel.cs","7","1","30","2","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","15","24","0","2","0","0","0","0","2","6","0","6","2","6","1","0","0","0","1","1","0","6","2","0","7","6","0","0","15","24","0","2","0","2","6","0","6","2","6","1","0","6","2","6","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L2453","MainWindowViewModel","BehaviorsTestApplication.ViewModels.MainWindowViewModel","L2420","L2336","D:\DataCollection\repos\AvaloniaUI_Avalonia.Xaml.Behaviors\samples\BehaviorsTestApplication\ViewModels\MainWindowViewModel.cs","11","1","110","6","0","2","0","0.544643","1","2","0","2","0.52","0.577778","0","1","0","0","52","52","83","100","0","7","0","0","0","0","7","15","0","14","6","15","1","0","0","0","1","22","0","14","6","0","15","15","0","0","83","100","0","7","0","7","15","0","14","6","15","22","0","14","6","15","0","0","15","0","0","0","12","0","0","0","1","0","2"
"L2519","ItemView","BehaviorsTestApplication.Views.ItemView","L2518","L2336","D:\DataCollection\repos\AvaloniaUI_Avalonia.Xaml.Behaviors\samples\BehaviorsTestApplication\Views\ItemView.axaml.cs","7","1","18","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","11","12","0","0","0","0","0","0","0","2","0","1","0","2","0","0","0","0","0","2","0","1","0","0","2","2","0","0","11","12","0","0","0","0","2","0","1","0","2","2","0","1","0","2","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L2381","MainView","BehaviorsTestApplication.Views.MainView","L2518","L2336","D:\DataCollection\repos\AvaloniaUI_Avalonia.Xaml.Behaviors\samples\BehaviorsTestApplication\Views\MainView.axaml.cs","6","1","17","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","11","12","0","0","0","0","0","0","0","2","0","1","0","2","0","0","0","0","0","2","0","1","0","0","2","2","0","0","11","12","0","0","0","0","2","0","1","0","2","2","0","1","0","2","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L2376","MainWindow","BehaviorsTestApplication.Views.MainWindow","L2518","L2336","D:\DataCollection\repos\AvaloniaUI_Avalonia.Xaml.Behaviors\samples\BehaviorsTestApplication\Views\MainWindow.axaml.cs","8","1","21","2","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","13","14","0","0","0","0","0","0","0","2","0","1","0","2","0","0","0","1","0","4","0","1","0","0","2","3","0","0","13","14","0","0","0","0","2","0","1","0","2","4","0","1","0","2","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L2621","Item","DraggableDemo.Models.Item","L2652","L2602","D:\DataCollection\repos\AvaloniaUI_Avalonia.Xaml.Behaviors\samples\DraggableDemo\Models\Item.cs","3","1","12","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","7","10","0","3","0","0","0","0","3","7","0","7","3","7","0","0","0","0","0","0","0","7","3","0","8","7","0","0","7","10","0","3","0","3","7","0","7","3","7","0","0","7","3","7","0","0","1","0","0","0","0","0","0","0","1","0","0"
