"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DLOC","LDC","LLDC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L622","Main","Build.Main()int","L615","L614","D:\DataCollection\repos\AvaloniaUI_Avalonia.Xaml.Behaviors\build\build\Build.cs","13","5","13","64","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L631","get_Configuration","Build.Configuration.getstring","L615","L614","D:\DataCollection\repos\AvaloniaUI_Avalonia.Xaml.Behaviors\build\build\Build.cs","22","35","22","39","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L634","set_Configuration","Build.Configuration.setvoid","L615","L614","D:\DataCollection\repos\AvaloniaUI_Avalonia.Xaml.Behaviors\build\build\Build.cs","22","40","22","44","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L636","get_VersionSuffix","Build.VersionSuffix.getstring","L615","L614","D:\DataCollection\repos\AvaloniaUI_Avalonia.Xaml.Behaviors\build\build\Build.cs","25","35","25","39","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L639","set_VersionSuffix","Build.VersionSuffix.setvoid","L615","L614","D:\DataCollection\repos\AvaloniaUI_Avalonia.Xaml.Behaviors\build\build\Build.cs","25","40","25","44","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L641","get_PublishFramework","Build.PublishFramework.getstring","L615","L614","D:\DataCollection\repos\AvaloniaUI_Avalonia.Xaml.Behaviors\build\build\Build.cs","28","38","28","42","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L644","set_PublishFramework","Build.PublishFramework.setvoid","L615","L614","D:\DataCollection\repos\AvaloniaUI_Avalonia.Xaml.Behaviors\build\build\Build.cs","28","43","28","47","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L646","get_PublishRuntime","Build.PublishRuntime.getstring","L615","L614","D:\DataCollection\repos\AvaloniaUI_Avalonia.Xaml.Behaviors\build\build\Build.cs","31","36","31","40","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L649","set_PublishRuntime","Build.PublishRuntime.setvoid","L615","L614","D:\DataCollection\repos\AvaloniaUI_Avalonia.Xaml.Behaviors\build\build\Build.cs","31","41","31","45","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L651","get_PublishProject","Build.PublishProject.getstring","L615","L614","D:\DataCollection\repos\AvaloniaUI_Avalonia.Xaml.Behaviors\build\build\Build.cs","34","36","34","40","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
