"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L4948","YarnSpinnerLexer","YarnSpinnerLexer","L100","L4168","D:\DataCollection\repos\Blecki_dwarfcorp\YarnSpinner\YarnSpinnerLexer.cs","30","1","783","2","0","1","0","0","0","0","0","0","0","0","0","0","0","2","0","0","735","754","0","6","0","0","0","0","6","11","0","9","0","11","0","0","0","0","0","16","0","9","0","0","10","11","0","0","735","754","0","6","0","6","11","0","9","0","11","16","0","9","0","14","0","0","4","0","0","0","0","1","0","0","1","0","2"
"L4953","YarnSpinnerParser","YarnSpinnerParser","L100","L4168","D:\DataCollection\repos\Blecki_dwarfcorp\YarnSpinner\YarnSpinnerParser.cs","33","1","2807","2","0","47","0","0.0652367","3","18","0","8","0.0706306","0.0727003","0","0","0","3","196","196","1580","1751","0","4","0","0","0","0","4","38","0","35","1","38","0","0","0","19","0","840","0","35","1","0","36","57","0","0","2694","2775","0","50","0","32","377","0","374","2","449","1457","0","446","2","161","0","0","177","0","0","3","60","45","2","2","47","1","20"
"L6249","YarnSpinnerParserBaseListener","YarnSpinnerParserBaseListener","L100","L4168","D:\DataCollection\repos\Blecki_dwarfcorp\YarnSpinner\YarnSpinnerParserBaseListener.cs","34","1","614","2","0.989247","45","0","0","0","0","0","0","0","0","478","1","478","92","0","0","96","581","0","0","0","0","0","0","0","92","0","92","0","180","1","2","2","0","1","0","0","180","0","92","1","92","0","478","96","581","0","0","0","0","92","0","92","0","180","0","0","180","0","92","0","0","12","0","0","1","0","1","0","2","1","0","8"
"L6369","YarnSpinnerParserBaseVisitor","YarnSpinnerParserBaseVisitor<Result>","L100","L4168","D:\DataCollection\repos\Blecki_dwarfcorp\YarnSpinner\YarnSpinnerParserBaseVisitor.cs","33","1","494","2","0.977778","45","0","0","0","0","0","0","0","0","414","1","414","44","0","0","48","462","0","0","0","0","0","0","0","44","0","44","0","88","1","1","1","0","1","44","0","88","0","44","1","44","0","414","48","462","0","0","0","0","44","0","44","0","88","44","0","88","0","44","0","0","10","0","0","0","0","1","0","1","1","0","7"
"L305","PsdInvalidException","PhotoshopFile.PsdInvalidException","L120","L103","D:\DataCollection\repos\Blecki_dwarfcorp\PSD\PsdFile\Exceptions.cs","23","3","34","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","12","0","0","0","0","0","0","0","2","0","2","0","2","0","0","0","0","0","0","0","2","0","0","3","2","0","0","11","12","0","0","0","0","2","0","2","0","2","0","0","2","0","2","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L633","RleException","PhotoshopFile.RleException","L120","L103","D:\DataCollection\repos\Blecki_dwarfcorp\PSD\PsdFile\Exceptions.cs","36","3","42","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","7","0","0","0","0","0","0","0","2","0","2","0","2","0","0","0","0","0","0","0","2","0","0","3","2","0","0","6","7","0","0","0","0","2","0","2","0","2","0","0","2","0","2","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L733","ImageResource","PhotoshopFile.ImageResource","L120","L103","D:\DataCollection\repos\Blecki_dwarfcorp\PSD\PsdFile\ImageResource.cs","113","3","168","4","0.25","4","0","0","0","0","0","0","0","0","10","0","9","2","0","0","37","56","0","3","0","0","0","0","3","9","0","7","2","9","0","5","6","7","0","14","0","7","2","2","6","16","0","10","37","56","0","3","0","3","9","0","7","2","9","14","0","7","2","10","0","0","3","0","0","0","0","1","0","1","1","0","0"
"L792","ImageResourceFactory","PhotoshopFile.ImageResourceFactory","L120","L103","D:\DataCollection\repos\Blecki_dwarfcorp\PSD\PsdFile\ImageResource.cs","173","3","228","4","0.5","11","0","0","0","0","0","0","0","0","8","0","3","1","0","0","44","56","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","13","0","28","0","1","0","1","1","14","0","8","44","56","0","0","0","0","1","0","1","0","1","28","0","1","0","9","0","0","3","0","0","1","0","0","0","2","1","0","0"
"L862","ImageResources","PhotoshopFile.ImageResources","L120","L103","D:\DataCollection\repos\Blecki_dwarfcorp\PSD\PsdFile\ImageResource.cs","230","3","264","4","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","32","33","0","0","0","0","0","0","0","3","0","3","0","3","0","0","0","1","0","10","0","3","0","0","4","4","0","0","32","35","0","0","0","0","3","0","3","0","3","10","0","3","0","5","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L829","AlphaChannelNames","PhotoshopFile.AlphaChannelNames","L120","L103","D:\DataCollection\repos\Blecki_dwarfcorp\PSD\PsdFile\ImageResources\AlphaChannelNames.cs","22","3","53","4","0.333333","3","0","0","0","0","0","0","0","0","4","1","3","1","0","0","26","32","0","3","0","0","0","0","0","3","0","2","0","12","1","0","0","3","1","6","0","9","2","1","2","6","0","4","26","32","0","3","0","0","3","0","2","0","12","6","0","9","2","5","0","0","1","0","0","0","0","0","0","0","1","0","0"
