"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DLOC","LDC","LLDC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L4951",".ctor","YarnSpinnerLexer.YarnSpinnerLexer(ICharStream)void","L4948","L4168","D:\DataCollection\repos\Blecki_dwarfcorp\YarnSpinner\YarnSpinnerLexer.cs","89","2","90","47","0","0","0","0","0","0","0","0","0","0","0","2","2","1","0","0","0","0","0","1","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L6202",".ctor","YarnSpinnerLexer.YarnSpinnerLexer(ICharStream, TextWriter, TextWriter)void","L4948","L4168","D:\DataCollection\repos\Blecki_dwarfcorp\YarnSpinner\YarnSpinnerLexer.cs","92","2","96","3","0","0","0","0","0","0","0","0","0","0","0","5","5","1","0","0","0","0","1","3","0","0","5","5","1","0","0","0","0","0","0","0","0","0","0","0"
"L6219","get_Vocabulary","YarnSpinnerLexer.Vocabulary.getIVocabulary","L4948","L4168","D:\DataCollection\repos\Blecki_dwarfcorp\YarnSpinner\YarnSpinnerLexer.cs","131","3","134","4","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","0","1","0","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L6221","get_GrammarFileName","YarnSpinnerLexer.GrammarFileName.getstring","L4948","L4168","D:\DataCollection\repos\Blecki_dwarfcorp\YarnSpinner\YarnSpinnerLexer.cs","137","43","137","80","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","1","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0"
"L6222","get_RuleNames","YarnSpinnerLexer.RuleNames.getstring[]","L4948","L4168","D:\DataCollection\repos\Blecki_dwarfcorp\YarnSpinner\YarnSpinnerLexer.cs","139","39","139","64","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","1","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0"
"L6224","get_ChannelNames","YarnSpinnerLexer.ChannelNames.getstring[]","L4948","L4168","D:\DataCollection\repos\Blecki_dwarfcorp\YarnSpinner\YarnSpinnerLexer.cs","141","42","141","70","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","1","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0"
"L6226","get_ModeNames","YarnSpinnerLexer.ModeNames.getstring[]","L4948","L4168","D:\DataCollection\repos\Blecki_dwarfcorp\YarnSpinner\YarnSpinnerLexer.cs","143","39","143","64","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","1","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0"
"L6228","get_SerializedAtn","YarnSpinnerLexer.SerializedAtn.getstring","L4948","L4168","D:\DataCollection\repos\Blecki_dwarfcorp\YarnSpinner\YarnSpinnerLexer.cs","145","41","145","83","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","1","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0"
"L6231",".cctor","YarnSpinnerLexer.YarnSpinnerLexer()void","L4948","L4168","D:\DataCollection\repos\Blecki_dwarfcorp\YarnSpinner\YarnSpinnerLexer.cs","147","2","152","3","0","0","0","0","0","0","0","0","0","0","0","6","6","2","0","0","0","0","3","0","0","0","6","6","3","0","0","0","0","0","0","0","0","0","0","0"
"L6232","Sempred","YarnSpinnerLexer.Sempred(RuleContext, int, int)bool","L4948","L4168","D:\DataCollection\repos\Blecki_dwarfcorp\YarnSpinner\YarnSpinnerLexer.cs","153","2","158","3","0","0","0","0","0","0","0","0","0","0","0","6","6","2","0","0","0","1","3","3","0","0","6","6","3","0","0","0","0","0","0","0","0","0","0","0"
"L6239","SHORTCUT_TEXT_sempred","YarnSpinnerLexer.SHORTCUT_TEXT_sempred(RuleContext, int)bool","L4948","L4168","D:\DataCollection\repos\Blecki_dwarfcorp\YarnSpinner\YarnSpinnerLexer.cs","159","2","164","3","0","0","0","0","0","0","0","0","0","0","0","6","6","2","0","0","0","0","3","2","0","0","6","6","3","0","0","0","0","0","0","0","0","0","0","0"
"L6876","get_Vocabulary","YarnSpinnerParser.Vocabulary.getIVocabulary","L4953","L4168","D:\DataCollection\repos\Blecki_dwarfcorp\YarnSpinner\YarnSpinnerParser.cs","110","3","113","4","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","0","1","0","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
