"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L123","CircularProgressBar","EDHM_UI_Patcher.CircularProgressBar","L104","L103","D:\DataCollection\repos\BlueMystical_EDHM_UI\source\EDHM_UI_Patcher\Custom Controls\CircularProgressBar.cs","9","2","421","3","0","2","0","0.467573","3","24","0","5","0.324455","0.363333","3","0","0","3","134","109","274","405","0","13","0","0","0","0","13","35","0","29","13","35","0","0","0","0","0","124","0","29","13","0","30","35","0","3","284","413","0","13","0","13","35","0","29","13","35","124","0","29","13","60","0","0","35","0","0","1","20","1","1","0","1","0","12"
"L1078","Form1","EDHM_UI_Patcher.Form1","L104","L103","D:\DataCollection\repos\BlueMystical_EDHM_UI\source\EDHM_UI_Patcher\Form1.cs","9","5","780","6","0","16","0","0.107721","3","22","0","4","0.156736","0.177049","93","0","11","5","121","108","771","736","0","0","0","0","0","0","0","12","0","2","0","12","0","0","0","70","0","360","0","2","0","0","3","82","0","93","771","971","0","0","0","0","12","0","2","0","12","360","0","2","0","98","0","0","68","0","0","5","44","1","3","5","1","0","14"
"L1088","VersionInfo","EDHM_UI_Patcher.VersionInfo","L104","L103","D:\DataCollection\repos\BlueMystical_EDHM_UI\source\EDHM_UI_Patcher\Form1.cs","782","5","801","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","20","0","10","0","0","0","0","10","21","0","21","10","21","0","0","0","0","0","0","0","21","10","0","22","21","0","0","15","20","0","10","0","10","21","0","21","10","21","0","0","21","10","21","0","0","7","0","0","0","0","0","0","0","1","0","6"
"L1540","file_job","EDHM_UI_Patcher.file_job","L104","L103","D:\DataCollection\repos\BlueMystical_EDHM_UI\source\EDHM_UI_Patcher\Form1.cs","803","5","813","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","11","0","4","0","0","0","0","4","9","0","9","4","9","0","0","0","0","0","0","0","9","4","0","10","9","0","0","9","11","0","4","0","4","9","0","9","4","9","0","0","9","4","9","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L1675","Mensajero","EDHM_UI_Patcher.Mensajero","L104","L103","D:\DataCollection\repos\BlueMystical_EDHM_UI\source\EDHM_UI_Patcher\Mensajero.cs","38","2","1817","3","0.944444","4","0","0.706523","21","180","0","22","0.606742","0.686356","362","0","223","7","1080","825","1214","1620","0","0","0","0","0","0","0","25","0","17","0","25","0","0","0","14","0","708","0","17","0","17","1","39","0","362","1221","1780","0","0","0","0","25","0","17","0","25","708","0","17","0","189","0","0","189","0","0","13","156","1","4","1","1","0","26"
"L2084","MensajeroControl","EDHM_UI_Patcher.MensajeroControl","L104","L103","D:\DataCollection\repos\BlueMystical_EDHM_UI\source\EDHM_UI_Patcher\Mensajero.cs","1820","2","1938","3","0.869565","3","0","0.184211","1","1","0","1","0.302521","0.296875","13","0","12","1","36","19","49","109","0","9","0","0","0","0","9","22","0","22","9","22","0","0","0","2","0","11","0","22","9","20","3","24","0","14","59","119","0","9","0","9","23","0","23","9","23","11","0","23","9","25","0","0","17","0","0","0","10","0","0","0","1","0","6"
"L1987","MensajeroEventArgs","EDHM_UI_Patcher.MensajeroEventArgs","L104","L103","D:\DataCollection\repos\BlueMystical_EDHM_UI\source\EDHM_UI_Patcher\Mensajero.cs","1941","2","1959","3","0.625","0","0","0","0","0","0","0","0","0","3","0","3","0","0","0","15","19","0","2","0","0","0","0","2","7","0","7","2","7","0","0","0","0","0","3","0","7","2","5","3","7","0","3","15","19","0","2","0","2","7","0","7","2","7","3","0","7","2","7","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L2153","MensajeroColors","EDHM_UI_Patcher.MensajeroColors","L104","L103","D:\DataCollection\repos\BlueMystical_EDHM_UI\source\EDHM_UI_Patcher\Mensajero.cs","1962","2","1982","3","0.0833333","0","0","0","0","0","0","0","0","0","4","0","1","0","0","0","16","21","0","5","0","0","0","0","5","11","0","11","5","11","0","0","0","0","0","5","0","11","5","1","11","11","0","4","16","21","0","5","0","5","11","0","11","5","11","5","0","11","5","15","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L2523","Program","EDHM_UI_Patcher.Program","L104","L103","D:\DataCollection\repos\BlueMystical_EDHM_UI\source\EDHM_UI_Patcher\Program.cs","6","2","26","3","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","17","21","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0","5","0","0","0","0","1","2","0","0","17","21","0","0","0","0","1","0","0","0","1","5","0","0","0","2","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L2541","CustomProgressBar","EDHM_UI_Patcher.CustomProgressBar","L104","L103","D:\DataCollection\repos\BlueMystical_EDHM_UI\source\EDHM_UI_Patcher\Custom Controls\ProgressBar.cs","13","2","63","3","0.666667","1","0","0","0","0","0","0","0","0","10","0","2","1","0","0","30","51","0","2","0","0","0","0","2","6","0","5","2","6","0","0","0","0","0","15","0","5","2","4","2","6","0","10","30","51","0","2","0","2","6","0","5","2","6","15","0","5","2","8","0","0","1","0","0","0","0","0","0","0","1","0","0"
