"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DLOC","LDC","LLDC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L187",".ctor","EDHM_UI_Patcher.CircularProgressBar.CircularProgressBar()void","L123","L103","D:\DataCollection\repos\BlueMystical_EDHM_UI\source\EDHM_UI_Patcher\Custom Controls\CircularProgressBar.cs","45","3","57","4","0","0","0","0","0","0","0","0","0","0","0","13","13","1","0","0","0","5","10","0","0","0","13","13","10","0","0","0","0","0","0","0","0","0","0","0"
"L246","get_Value","EDHM_UI_Patcher.CircularProgressBar.Value.getlong","L123","L103","D:\DataCollection\repos\BlueMystical_EDHM_UI\source\EDHM_UI_Patcher\Custom Controls\CircularProgressBar.cs","67","4","67","31","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","1","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0"
"L231","set_Value","EDHM_UI_Patcher.CircularProgressBar.Value.setvoid","L123","L103","D:\DataCollection\repos\BlueMystical_EDHM_UI\source\EDHM_UI_Patcher\Custom Controls\CircularProgressBar.cs","68","4","72","5","0","0","0","0","0","0","0","0","0","0","0","5","5","2","0","0","0","0","2","1","0","0","5","5","2","0","0","0","0","0","0","0","0","0","0","0"
"L257","get_Value_Inner","EDHM_UI_Patcher.CircularProgressBar.Value_Inner.getlong","L123","L103","D:\DataCollection\repos\BlueMystical_EDHM_UI\source\EDHM_UI_Patcher\Custom Controls\CircularProgressBar.cs","78","4","78","32","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","1","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0"
"L233","set_Value_Inner","EDHM_UI_Patcher.CircularProgressBar.Value_Inner.setvoid","L123","L103","D:\DataCollection\repos\BlueMystical_EDHM_UI\source\EDHM_UI_Patcher\Custom Controls\CircularProgressBar.cs","79","4","83","5","0","0","0","0","0","0","0","0","0","0","0","5","5","2","0","0","0","0","2","1","0","0","5","5","2","0","0","0","0","0","0","0","0","0","0","0"
"L260","get_Maximum","EDHM_UI_Patcher.CircularProgressBar.Maximum.getlong","L123","L103","D:\DataCollection\repos\BlueMystical_EDHM_UI\source\EDHM_UI_Patcher\Custom Controls\CircularProgressBar.cs","89","4","89","33","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","1","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0"
"L261","set_Maximum","EDHM_UI_Patcher.CircularProgressBar.Maximum.setvoid","L123","L103","D:\DataCollection\repos\BlueMystical_EDHM_UI\source\EDHM_UI_Patcher\Custom Controls\CircularProgressBar.cs","90","4","96","5","0","0","0","0","0","0","0","0","0","0","0","7","7","2","0","0","0","0","4","1","0","0","7","7","4","0","0","0","0","0","0","0","0","0","0","0"
"L263","get_ProgressColor1","EDHM_UI_Patcher.CircularProgressBar.ProgressColor1.getSystem.Drawing.Color","L123","L103","D:\DataCollection\repos\BlueMystical_EDHM_UI\source\EDHM_UI_Patcher\Custom Controls\CircularProgressBar.cs","102","4","102","40","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","1","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0"
"L265","set_ProgressColor1","EDHM_UI_Patcher.CircularProgressBar.ProgressColor1.setvoid","L123","L103","D:\DataCollection\repos\BlueMystical_EDHM_UI\source\EDHM_UI_Patcher\Custom Controls\CircularProgressBar.cs","103","4","107","5","0","0","0","0","0","0","0","0","0","0","0","5","5","1","0","0","0","0","2","1","0","0","5","5","2","0","0","0","0","0","0","0","0","0","0","0"
"L267","get_ProgressColor2","EDHM_UI_Patcher.CircularProgressBar.ProgressColor2.getSystem.Drawing.Color","L123","L103","D:\DataCollection\repos\BlueMystical_EDHM_UI\source\EDHM_UI_Patcher\Custom Controls\CircularProgressBar.cs","113","4","113","40","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","1","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0"
"L269","set_ProgressColor2","EDHM_UI_Patcher.CircularProgressBar.ProgressColor2.setvoid","L123","L103","D:\DataCollection\repos\BlueMystical_EDHM_UI\source\EDHM_UI_Patcher\Custom Controls\CircularProgressBar.cs","114","4","118","5","0","0","0","0","0","0","0","0","0","0","0","5","5","1","0","0","0","0","2","1","0","0","5","5","2","0","0","0","0","0","0","0","0","0","0","0"
"L271","get_InnerBarColor","EDHM_UI_Patcher.CircularProgressBar.InnerBarColor.getSystem.Drawing.Color","L123","L103","D:\DataCollection\repos\BlueMystical_EDHM_UI\source\EDHM_UI_Patcher\Custom Controls\CircularProgressBar.cs","124","4","124","39","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","1","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0"
"L273","set_InnerBarColor","EDHM_UI_Patcher.CircularProgressBar.InnerBarColor.setvoid","L123","L103","D:\DataCollection\repos\BlueMystical_EDHM_UI\source\EDHM_UI_Patcher\Custom Controls\CircularProgressBar.cs","125","4","129","5","0","0","0","0","0","0","0","0","0","0","0","5","5","1","0","0","0","0","2","1","0","0","5","5","2","0","0","0","0","0","0","0","0","0","0","0"
"L275","get_LineColor","EDHM_UI_Patcher.CircularProgressBar.LineColor.getSystem.Drawing.Color","L123","L103","D:\DataCollection\repos\BlueMystical_EDHM_UI\source\EDHM_UI_Patcher\Custom Controls\CircularProgressBar.cs","135","4","135","35","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","1","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0"
"L277","set_LineColor","EDHM_UI_Patcher.CircularProgressBar.LineColor.setvoid","L123","L103","D:\DataCollection\repos\BlueMystical_EDHM_UI\source\EDHM_UI_Patcher\Custom Controls\CircularProgressBar.cs","136","4","140","5","0","0","0","0","0","0","0","0","0","0","0","5","5","1","0","0","0","0","2","1","0","0","5","5","2","0","0","0","0","0","0","0","0","0","0","0"
