"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L39134","HashFile","HashFile","L100","L39099","D:\DataCollection\repos\ClassicUO_ClassicUO\tools\ManifestCreator\Program.cs","102","1","126","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","21","25","0","2","0","0","0","0","2","5","0","5","0","5","0","0","0","0","0","7","0","5","0","0","6","5","0","0","21","25","0","2","0","2","5","0","5","0","5","7","0","5","0","5","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L39126","ManifestRelease","ManifestRelease","L100","L39099","D:\DataCollection\repos\ClassicUO_ClassicUO\tools\ManifestCreator\Program.cs","128","1","157","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","25","30","0","3","0","0","0","0","3","5","0","5","0","5","0","0","0","0","0","11","0","5","0","0","6","5","0","0","25","30","0","3","0","3","5","0","5","0","5","11","0","5","0","6","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L9682","Client","ClassicUO.Client","L144","L9377","D:\DataCollection\repos\ClassicUO_ClassicUO\src\ClassicUO.Client\Client.cs","51","5","208","6","0","21","0","0","0","0","0","0","0","0","8","0","0","1","0","0","111","158","0","4","0","0","0","0","4","11","0","7","4","11","0","0","0","27","0","65","0","7","4","0","8","38","0","8","111","158","0","4","0","4","11","0","7","4","11","65","0","7","4","26","0","0","6","0","0","2","0","0","1","2","1","0","2"
"L9769","InvalidClientVersion","ClassicUO.InvalidClientVersion","L144","L9377","D:\DataCollection\repos\ClassicUO_ClassicUO\src\ClassicUO.Client\ClientException.cs","37","5","42","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","6","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","1","0","0","2","1","0","0","6","6","0","0","0","0","1","0","1","0","1","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L9755","InvalidClientDirectory","ClassicUO.InvalidClientDirectory","L144","L9377","D:\DataCollection\repos\ClassicUO_ClassicUO\src\ClassicUO.Client\ClientException.cs","44","5","49","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","6","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","1","0","0","2","1","0","0","6","6","0","0","0","0","1","0","1","0","1","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L9716","CUOEnviroment","ClassicUO.CUOEnviroment","L144","L9377","D:\DataCollection\repos\ClassicUO_ClassicUO\src\ClassicUO.Client\CUOEnviroment.cs","40","5","63","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18","24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","18","24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L9702","GameController","ClassicUO.GameController","L144","L9377","D:\DataCollection\repos\ClassicUO_ClassicUO\src\ClassicUO.Client\GameController.cs","57","5","879","6","0","57","0","0","0","0","0","0","0","0","22","0","0","3","0","0","597","823","0","4","0","0","0","0","4","30","0","16","3","30","0","0","0","96","0","334","0","16","3","0","17","126","0","22","597","823","0","4","0","4","30","0","16","3","30","334","0","16","3","127","0","0","19","0","0","3","0","1","3","7","1","0","7"
"L35287","Bootstrap","ClassicUO.Bootstrap","L144","L9377","D:\DataCollection\repos\ClassicUO_ClassicUO\src\ClassicUO.Client\Main.cs","51","5","528","6","0","16","0","0","0","0","0","0","0","0","19","0","0","1","0","0","294","478","0","0","0","0","0","0","0","3","0","1","0","3","0","0","0","49","0","178","0","1","0","0","2","52","0","19","294","478","0","0","0","0","3","0","1","0","3","178","0","1","0","88","0","0","15","0","0","4","0","0","2","3","1","0","9"
"L11780","Time","ClassicUO.Time","L144","L9377","D:\DataCollection\repos\ClassicUO_ClassicUO\src\ClassicUO.Client\Time.cs","35","5","39","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L2593","CRuntime","StbRectPackSharp.CRuntime","L2587","L103","D:\DataCollection\repos\ClassicUO_ClassicUO\src\ClassicUO.Utility\StbRectPack\CRuntime.cs","6","2","86","3","0","1","0","0","0","0","0","0","0","0","0","0","0","3","0","0","66","81","0","0","0","0","0","0","0","7","0","4","0","7","0","0","0","1","0","29","0","4","0","0","5","8","0","0","66","81","0","0","0","0","8","0","5","0","8","29","0","5","0","13","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L2684","Packer","StbRectPackSharp.Packer","L2587","L103","D:\DataCollection\repos\ClassicUO_ClassicUO\src\ClassicUO.Utility\StbRectPack\Packer.cs","10","5","85","3","0.4","3","0","0","0","0","0","0","0","0","10","0","9","1","0","0","55","76","0","1","0","0","0","0","1","5","0","4","1","5","0","0","0","4","0","19","0","4","1","2","3","9","0","10","55","76","0","1","0","1","5","0","4","1","5","19","0","4","1","8","0","0","1","0","0","1","0","0","0","0","1","0","0"
"L2736","StbRectPack","StbRectPackSharp.StbRectPack","L2587","L103","D:\DataCollection\repos\ClassicUO_ClassicUO\src\ClassicUO.Utility\StbRectPack\StbRectPack.cs","6","2","54","3","0","5","0","0","0","0","0","0","0","0","0","0","0","4","0","0","254","287","0","0","0","0","0","0","0","9","0","9","0","9","0","0","0","1","0","161","0","9","0","0","10","10","0","2","315","349","0","0","0","0","11","0","11","0","11","173","0","11","0","58","0","0","8","0","0","6","0","1","1","0","5","0","1"
"L2887","TextEdit","StbTextEditSharp.TextEdit","L2847","L103","D:\DataCollection\repos\ClassicUO_ClassicUO\src\ClassicUO.Utility\StbTextedit\TextEdit.cs","39","5","1032","6","0","7","0","0.0416125","1","8","0","2","0.0402415","0.0409731","12","0","0","1","40","32","780","994","0","1","0","0","0","0","1","32","0","30","1","32","0","0","0","9","0","414","0","30","1","0","31","41","0","12","780","994","0","1","0","1","32","0","30","1","32","414","0","30","1","162","0","0","21","0","0","5","6","0","3","1","1","0","10"
