"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DLOC","LDC","LLDC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L39152",".ctor","HashFile.HashFile(string, string)void","L39134","L39099","D:\DataCollection\repos\ClassicUO_ClassicUO\tools\ManifestCreator\Program.cs","104","5","108","6","0","0","0","0","0","0","0","0","0","0","0","5","5","1","0","0","0","2","2","2","0","0","5","5","2","0","0","0","0","0","0","0","0","0","0","0"
"L39155","get_Filename","HashFile.Filename.getstring","L39134","L39099","D:\DataCollection\repos\ClassicUO_ClassicUO\tools\ManifestCreator\Program.cs","110","30","110","34","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L39157","get_Hash","HashFile.Hash.getstring","L39134","L39099","D:\DataCollection\repos\ClassicUO_ClassicUO\tools\ManifestCreator\Program.cs","111","26","111","30","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L39163","Save","HashFile.Save(XmlWriter)void","L39134","L39099","D:\DataCollection\repos\ClassicUO_ClassicUO\tools\ManifestCreator\Program.cs","114","5","120","6","0","0","0","0","0","0","0","0","0","0","0","7","7","1","0","0","0","2","4","1","0","0","7","7","4","0","0","0","0","0","0","0","0","0","0","0"
"L39168","ToString","HashFile.ToString()string","L39134","L39099","D:\DataCollection\repos\ClassicUO_ClassicUO\tools\ManifestCreator\Program.cs","122","5","125","6","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","2","1","0","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L39137",".ctor","ManifestRelease.ManifestRelease(string, string, List<HashFile>)void","L39126","L39099","D:\DataCollection\repos\ClassicUO_ClassicUO\tools\ManifestCreator\Program.cs","130","5","135","6","0","0","0","0","0","0","0","0","0","0","0","6","6","1","0","0","0","3","3","3","0","0","6","6","3","0","0","0","0","0","0","0","0","0","0","0"
"L39175","get_Version","ManifestRelease.Version.getstring","L39126","L39099","D:\DataCollection\repos\ClassicUO_ClassicUO\tools\ManifestCreator\Program.cs","137","29","137","33","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L39177","get_Name","ManifestRelease.Name.getstring","L39126","L39099","D:\DataCollection\repos\ClassicUO_ClassicUO\tools\ManifestCreator\Program.cs","138","26","138","30","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L39141","get_Files","ManifestRelease.Files.getList<HashFile>","L39126","L39099","D:\DataCollection\repos\ClassicUO_ClassicUO\tools\ManifestCreator\Program.cs","139","35","139","39","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L39185","Save","ManifestRelease.Save(XmlWriter)void","L39126","L39099","D:\DataCollection\repos\ClassicUO_ClassicUO\tools\ManifestCreator\Program.cs","142","5","156","6","0","0","0","0","0","0","0","0","0","0","0","13","15","2","0","0","0","3","8","1","0","0","13","15","8","0","0","0","0","0","0","0","0","0","0","0"
"L9683","get_Version","ClassicUO.Client.Version.getClassicUO.Utility.ClientVersion","L9682","L9377","D:\DataCollection\repos\ClassicUO_ClassicUO\src\ClassicUO.Client\Client.cs","53","47","53","51","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L9686","set_Version","ClassicUO.Client.Version.setvoid","L9682","L9377","D:\DataCollection\repos\ClassicUO_ClassicUO\src\ClassicUO.Client\Client.cs","53","52","53","64","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L9688","get_Protocol","ClassicUO.Client.Protocol.getClassicUO.Game.Data.ClientFlags","L9682","L9377","D:\DataCollection\repos\ClassicUO_ClassicUO\src\ClassicUO.Client\Client.cs","54","46","54","50","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L9694","set_Protocol","ClassicUO.Client.Protocol.setvoid","L9682","L9377","D:\DataCollection\repos\ClassicUO_ClassicUO\src\ClassicUO.Client\Client.cs","54","51","54","55","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L9696","get_ClientPath","ClassicUO.Client.ClientPath.getstring","L9682","L9377","D:\DataCollection\repos\ClassicUO_ClassicUO\src\ClassicUO.Client\Client.cs","55","43","55","47","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L9699","set_ClientPath","ClassicUO.Client.ClientPath.setvoid","L9682","L9377","D:\DataCollection\repos\ClassicUO_ClassicUO\src\ClassicUO.Client\Client.cs","55","48","55","60","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L9701","get_Game","ClassicUO.Client.Game.getClassicUO.GameController","L9682","L9377","D:\DataCollection\repos\ClassicUO_ClassicUO\src\ClassicUO.Client\Client.cs","56","45","56","49","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L9707","set_Game","ClassicUO.Client.Game.setvoid","L9682","L9377","D:\DataCollection\repos\ClassicUO_ClassicUO\src\ClassicUO.Client\Client.cs","56","50","56","62","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
