"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L137","ModuleBdbAccelAnimation","BDB.ModuleBdbAccelAnimation","L104","L103","D:\DataCollection\repos\CobaltWolf_Bluedog-Design-Bureau\Source\VisualStudio\BDB\BDB\AccelAnimation.cs","9","5","250","6","0.047619","0","0","0","0","0","0","0","0","0","7","0","1","7","0","0","172","242","0","5","0","0","0","0","5","20","0","20","0","20","0","0","0","0","0","68","0","20","0","1","20","20","0","7","172","242","0","5","0","5","20","0","20","0","20","68","0","20","0","29","0","0","3","0","0","0","0","1","0","0","1","0","1"
"L310","ModuleBdbAnimatedEngine","BDB.ModuleBdbAnimatedEngine","L104","L103","D:\DataCollection\repos\CobaltWolf_Bluedog-Design-Bureau\Source\VisualStudio\BDB\BDB\AnimatedEngine.cs","15","5","302","3","0","0","0","0","0","0","0","0","0","0","12","0","0","2","0","0","240","288","0","0","0","0","0","0","0","10","0","6","0","10","0","0","0","0","0","105","0","6","0","0","7","10","0","12","240","288","0","0","0","0","10","0","6","0","10","105","0","6","0","57","0","0","3","0","0","1","0","1","1","0","1","0","0"
"L385","ModuleBdbAnimatedMultiModeEngine","BDB.ModuleBdbAnimatedMultiModeEngine","L104","L103","D:\DataCollection\repos\CobaltWolf_Bluedog-Design-Bureau\Source\VisualStudio\BDB\BDB\AnimatedEngine.cs","304","5","414","6","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","94","111","0","0","0","0","0","0","0","5","0","5","0","5","0","0","0","0","0","41","0","5","0","0","6","5","0","0","94","111","0","0","0","0","5","0","5","0","5","41","0","5","0","19","0","0","2","0","0","1","0","1","0","0","1","0","0"
"L412","ModuleBdbYoyoDespin","BDB.ModuleBdbYoyoDespin","L104","L103","D:\DataCollection\repos\CobaltWolf_Bluedog-Design-Bureau\Source\VisualStudio\BDB\BDB\AnimationMass.cs","9","5","395","6","0","0","0","0","0","0","0","0","0","0","47","0","0","3","0","0","269","387","0","0","0","0","0","0","0","12","0","12","0","12","0","0","0","0","0","168","0","12","0","0","13","12","0","47","269","387","0","0","0","0","12","0","12","0","12","168","0","12","0","43","0","0","7","0","0","1","0","1","1","0","1","0","4"
"L498","ModuleBdbAnimationMass","BDB.ModuleBdbAnimationMass","L104","L103","D:\DataCollection\repos\CobaltWolf_Bluedog-Design-Bureau\Source\VisualStudio\BDB\BDB\AnimationMass.cs","397","5","533","6","0","0","0","0","0","0","0","0","0","0","3","0","0","2","0","0","114","137","0","0","0","0","0","0","0","7","0","4","0","7","0","0","0","0","0","50","0","4","0","0","5","7","0","3","114","137","0","0","0","0","7","0","4","0","7","50","0","4","0","24","0","0","3","0","0","1","0","1","1","0","1","0","0"
"L566","ModuleBdbAtlasBoosterSkirt","BDB.ModuleBdbAtlasBoosterSkirt","L104","L103","D:\DataCollection\repos\CobaltWolf_Bluedog-Design-Bureau\Source\VisualStudio\BDB\BDB\Atlas.cs","9","5","52","6","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","36","44","0","0","0","0","0","0","0","2","0","2","0","2","0","0","0","0","0","15","0","2","0","0","3","2","0","0","36","44","0","0","0","0","2","0","2","0","2","15","0","2","0","10","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L591","ModuleBdbBoiloff","BDB.ModuleBdbBoiloff","L104","L103","D:\DataCollection\repos\CobaltWolf_Bluedog-Design-Bureau\Source\VisualStudio\BDB\BDB\Boiloff.cs","9","5","484","6","0","2","0","0","0","0","0","0","0","0","17","0","0","2","0","0","388","476","0","0","0","0","0","0","0","17","0","7","0","17","0","0","0","2","0","200","0","7","0","0","8","19","0","17","388","476","0","0","0","0","17","0","7","0","17","200","0","7","0","84","0","0","7","0","0","2","0","1","2","0","1","0","3"
"L608","CryoResourceItem","BDB.CryoResourceItem","L104","L103","D:\DataCollection\repos\CobaltWolf_Bluedog-Design-Bureau\Source\VisualStudio\BDB\BDB\Boiloff.cs","486","5","587","6","0","0","0","0","0","0","0","0","0","0","2","0","0","1","0","0","94","102","0","0","0","0","0","0","0","6","0","6","0","6","0","0","0","0","0","41","0","6","0","0","7","6","0","2","94","102","0","0","0","0","6","0","6","0","6","41","0","6","0","12","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L814","BdbBoiloffPartInfo","BDB.BdbBoiloffPartInfo","L104","L103","D:\DataCollection\repos\CobaltWolf_Bluedog-Design-Bureau\Source\VisualStudio\BDB\BDB\Boiloff.cs","589","5","618","6","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","27","30","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","1","0","13","0","1","0","0","2","2","0","0","27","30","0","0","0","0","1","0","1","0","1","13","0","1","0","6","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L831","ModuleBdbCutDrogue","BDB.ModuleBdbCutDrogue","L104","L103","D:\DataCollection\repos\CobaltWolf_Bluedog-Design-Bureau\Source\VisualStudio\BDB\BDB\CutDrogue.cs","9","5","62","6","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","45","54","0","0","0","0","0","0","0","2","0","2","0","2","0","0","0","0","0","19","0","2","0","0","3","2","0","0","45","54","0","0","0","0","2","0","2","0","2","19","0","2","0","14","0","0","2","0","0","1","0","0","1","0","1","0","0"
"L849","ModuleBdbDepthMask","BDB.ModuleBdbDepthMask","L104","L103","D:\DataCollection\repos\CobaltWolf_Bluedog-Design-Bureau\Source\VisualStudio\BDB\BDB\DepthMask.cs","12","5","159","6","0","0","0","0","0","0","0","0","0","0","4","0","0","2","0","0","106","148","0","0","0","0","0","0","0","7","0","4","0","7","0","0","0","0","0","53","0","4","0","0","5","7","0","4","106","148","0","0","0","0","7","0","4","0","7","53","0","4","0","25","0","0","3","0","0","1","0","1","1","0","1","0","0"
"L923","ModuleBdbCoronaHS","BDB.ModuleBdbCoronaHS","L104","L103","D:\DataCollection\repos\CobaltWolf_Bluedog-Design-Bureau\Source\VisualStudio\BDB\BDB\Keyhole.cs","6","5","82","6","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","64","77","0","0","0","0","0","0","0","8","0","4","0","8","0","0","0","0","0","23","0","4","0","0","5","8","0","0","64","77","0","0","0","0","8","0","4","0","8","23","0","4","0","13","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L954","ModuleBdbSequentialFire","BDB.ModuleBdbSequentialFire","L104","L103","D:\DataCollection\repos\CobaltWolf_Bluedog-Design-Bureau\Source\VisualStudio\BDB\BDB\Mercury.cs","9","5","109","6","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","87","101","0","0","0","0","0","0","0","5","0","3","0","5","0","0","0","0","0","44","0","3","0","0","4","5","0","1","87","101","0","0","0","0","5","0","3","0","5","44","0","3","0","23","0","0","1","0","0","1","0","0","0","0","1","0","0"
"L993","ModuleBdbMercuryLES","BDB.ModuleBdbMercuryLES","L104","L103","D:\DataCollection\repos\CobaltWolf_Bluedog-Design-Bureau\Source\VisualStudio\BDB\BDB\Mercury.cs","111","5","210","6","0.142857","0","0","0","0","0","0","0","0","0","9","0","1","1","0","0","78","100","0","0","0","0","0","0","0","6","0","6","0","6","0","0","0","0","0","28","0","6","0","1","6","6","0","9","78","100","0","0","0","0","6","0","6","0","6","28","0","6","0","16","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L1015","ModuleBdbMercuryAbortChuteController","BDB.ModuleBdbMercuryAbortChuteController","L104","L103","D:\DataCollection\repos\CobaltWolf_Bluedog-Design-Bureau\Source\VisualStudio\BDB\BDB\Mercury.cs","212","5","273","6","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","55","62","0","0","0","0","0","0","0","2","0","2","0","2","0","0","0","1","0","30","0","2","0","0","3","3","0","0","55","62","0","0","0","0","2","0","2","0","2","30","0","2","0","16","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L1031","ModuleBdbMercuryLandingBag","BDB.ModuleBdbMercuryLandingBag","L104","L103","D:\DataCollection\repos\CobaltWolf_Bluedog-Design-Bureau\Source\VisualStudio\BDB\BDB\Mercury.cs","275","5","595","6","0","0","0","0","0","0","0","0","0","0","7","0","0","8","0","0","229","321","0","6","0","0","0","0","6","27","0","25","0","27","0","0","0","0","0","94","0","25","0","0","26","27","0","7","229","321","0","6","0","6","27","0","25","0","27","94","0","25","0","60","0","0","7","0","0","1","0","1","1","0","1","0","4"
"L1122","ModuleAnchoredDecouplerBdb","BDB.ModuleAnchoredDecouplerBdb","L104","L103","D:\DataCollection\repos\CobaltWolf_Bluedog-Design-Bureau\Source\VisualStudio\BDB\BDB\ModuleAnchoredDecoupler2.cs","9","5","54","6","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","39","46","0","0","0","0","0","0","0","3","0","3","0","3","0","0","0","0","0","17","0","3","0","0","4","3","0","0","39","46","0","0","0","0","3","0","3","0","3","17","0","3","0","9","0","0","2","0","0","0","0","1","0","0","1","0","0"
