"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DLOC","LDC","LLDC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L170","ToggleAnimationEditor","BDB.ModuleBdbAccelAnimation.ToggleAnimationEditor()void","L137","L103","D:\DataCollection\repos\CobaltWolf_Bluedog-Design-Bureau\Source\VisualStudio\BDB\BDB\AccelAnimation.cs","46","9","50","10","0","0","0","0","0","0","0","0","0","0","0","5","5","1","0","0","0","1","1","0","0","0","5","5","1","0","0","0","0","0","0","0","0","0","0","0"
"L181","Deploy","BDB.ModuleBdbAccelAnimation.Deploy()void","L137","L103","D:\DataCollection\repos\CobaltWolf_Bluedog-Design-Bureau\Source\VisualStudio\BDB\BDB\AccelAnimation.cs","52","9","56","10","0","0","0","0","0","0","0","0","0","0","0","5","5","1","0","0","0","1","1","0","0","0","5","5","1","0","0","0","0","0","0","0","0","0","0","0"
"L182","DeployAction","BDB.ModuleBdbAccelAnimation.DeployAction(KSPActionParam)void","L137","L103","D:\DataCollection\repos\CobaltWolf_Bluedog-Design-Bureau\Source\VisualStudio\BDB\BDB\AccelAnimation.cs","58","9","62","10","0","0","0","0","0","0","0","0","0","0","0","5","5","1","0","0","0","1","1","1","0","0","5","5","1","0","0","0","0","0","0","0","0","0","0","0"
"L188","OnStart","BDB.ModuleBdbAccelAnimation.OnStart(StartState)void","L137","L103","D:\DataCollection\repos\CobaltWolf_Bluedog-Design-Bureau\Source\VisualStudio\BDB\BDB\AccelAnimation.cs","64","9","79","10","0","0","0","0","0","0","0","0","0","0","0","16","16","1","0","0","0","2","13","1","0","0","16","16","13","0","0","0","0","0","0","0","0","0","0","0"
"L179","SetDeployed","BDB.ModuleBdbAccelAnimation.SetDeployed(bool)void","L137","L103","D:\DataCollection\repos\CobaltWolf_Bluedog-Design-Bureau\Source\VisualStudio\BDB\BDB\AccelAnimation.cs","81","9","94","10","0","0","0","0","0","0","0","0","0","0","0","14","14","3","0","0","0","3","8","1","0","0","14","14","8","0","0","0","0","0","0","0","0","0","0","0"
"L212","CanDeploy","BDB.ModuleBdbAccelAnimation.CanDeploy()bool","L137","L103","D:\DataCollection\repos\CobaltWolf_Bluedog-Design-Bureau\Source\VisualStudio\BDB\BDB\AccelAnimation.cs","96","9","99","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","0","1","0","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L196","SpringAnchor","BDB.ModuleBdbAccelAnimation.SpringAnchor()float","L137","L103","D:\DataCollection\repos\CobaltWolf_Bluedog-Design-Bureau\Source\VisualStudio\BDB\BDB\AccelAnimation.cs","101","9","107","10","0","0","0","0","0","0","0","0","0","0","0","7","7","2","0","0","0","0","3","0","0","0","7","7","3","0","0","0","0","0","0","0","0","0","0","0"
"L213","FixedUpdate","BDB.ModuleBdbAccelAnimation.FixedUpdate()void","L137","L103","D:\DataCollection\repos\CobaltWolf_Bluedog-Design-Bureau\Source\VisualStudio\BDB\BDB\AccelAnimation.cs","109","9","141","10","0","0","0","0","0","0","0","2","0","0","0","25","33","5","0","0","0","2","17","0","0","2","25","33","17","0","0","0","0","0","0","0","0","0","0","0"
"L198","SetAnimation","BDB.ModuleBdbAccelAnimation.SetAnimation(float, float)void","L137","L103","D:\DataCollection\repos\CobaltWolf_Bluedog-Design-Bureau\Source\VisualStudio\BDB\BDB\AccelAnimation.cs","143","9","152","10","0","0","0","0","0","0","0","1","0","0","0","9","10","2","0","0","0","0","4","2","0","1","9","10","4","0","0","0","0","0","0","0","0","0","0","0"
"L266","SetUpAnimation","BDB.ModuleBdbAccelAnimation.SetUpAnimation(string, Part)AnimationState[]","L137","L103","D:\DataCollection\repos\CobaltWolf_Bluedog-Design-Bureau\Source\VisualStudio\BDB\BDB\AccelAnimation.cs","154","9","169","10","0","0","0","0","0","0","0","0","0","0","0","15","16","2","0","0","0","0","10","2","0","0","15","16","10","0","0","0","0","0","0","0","0","0","0","0"
