"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DLOC","LDC","LLDC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L156","Initialize","KilledPiece.Initialize(Sprite, Vector2)void","L132","L103","D:\DataCollection\repos\Colanderp_UnityTutorials\MatchTutorial\Assets\Scripts\KilledPiece.cs","16","5","28","6","0","0","0","0","0","0","0","0","0","0","0","11","13","1","0","0","0","0","8","2","0","0","11","13","8","0","0","0","0","0","0","0","0","0","0","0"
"L175","Update","KilledPiece.Update()void","L132","L103","D:\DataCollection\repos\Colanderp_UnityTutorials\MatchTutorial\Assets\Scripts\KilledPiece.cs","31","5","39","6","0","0","0","0","0","0","0","0","0","0","0","9","9","6","0","0","0","0","7","0","0","0","9","9","7","0","0","0","0","0","0","0","0","0","0","0"
"L232","Start","Match3.Start()void","L181","L103","D:\DataCollection\repos\Colanderp_UnityTutorials\MatchTutorial\Assets\Scripts\Match3.cs","30","5","33","6","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","1","1","0","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L235","Update","Match3.Update()void","L181","L103","D:\DataCollection\repos\Colanderp_UnityTutorials\MatchTutorial\Assets\Scripts\Match3.cs","35","5","87","6","0","0","0","0","0","0","0","7","0","0","0","47","53","9","0","0","0","11","30","0","0","7","47","53","30","0","0","1","0","0","0","0","0","1","0","0"
"L303","ApplyGravityToBoard","Match3.ApplyGravityToBoard()void","L181","L103","D:\DataCollection\repos\Colanderp_UnityTutorials\MatchTutorial\Assets\Scripts\Match3.cs","89","5","149","6","0","0","0","0","0","0","0","5","0","0","0","54","61","8","0","0","0","9","36","0","0","5","54","61","36","0","0","0","0","0","0","0","0","0","0","0"
"L258","getFlipped","Match3.getFlipped(NodePiece)FlippedPieces","L181","L103","D:\DataCollection\repos\Colanderp_UnityTutorials\MatchTutorial\Assets\Scripts\Match3.cs","151","5","163","6","0","0","0","0","0","0","0","0","0","0","0","13","13","3","0","0","0","1","6","1","0","0","13","13","6","0","0","0","0","0","0","0","0","0","0","0"
"L233","StartGame","Match3.StartGame()void","L181","L103","D:\DataCollection\repos\Colanderp_UnityTutorials\MatchTutorial\Assets\Scripts\Match3.cs","165","5","178","6","0","0","0","0","0","0","0","0","0","0","0","13","14","1","0","0","0","4","10","0","0","0","13","14","10","0","0","0","0","0","0","0","0","0","0","0"
"L370","InitializeBoard","Match3.InitializeBoard()void","L181","L103","D:\DataCollection\repos\Colanderp_UnityTutorials\MatchTutorial\Assets\Scripts\Match3.cs","180","5","190","6","0","0","0","0","0","0","0","0","0","0","0","11","11","4","0","0","0","3","4","0","0","0","11","11","4","0","0","0","0","0","0","0","0","0","0","0"
"L372","VerifyBoard","Match3.VerifyBoard()void","L181","L103","D:\DataCollection\repos\Colanderp_UnityTutorials\MatchTutorial\Assets\Scripts\Match3.cs","192","5","213","6","0","0","0","0","0","0","0","0","0","0","0","21","22","6","0","0","0","5","13","0","0","0","21","22","13","0","0","0","0","0","0","0","0","0","0","0"
"L374","InstantiateBoard","Match3.InstantiateBoard()void","L181","L103","D:\DataCollection\repos\Colanderp_UnityTutorials\MatchTutorial\Assets\Scripts\Match3.cs","215","5","233","6","0","0","0","0","0","0","0","0","0","0","0","18","19","4","0","0","0","4","12","0","0","0","18","19","12","0","0","0","0","0","0","0","0","0","0","0"
