"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L1265","FrmEditCredentialsSettings","WsusADComparator.FrmEditCredentialsSettings","L1250","L1249","D:\DataCollection\repos\DCourtel_Wsus_Package_Publisher\code\WsusAD Comparator\FrmEditCredentialsSettings.cs","12","5","57","6","0","2","0","0.259502","7","7","0","7","0","0","32","0","8","3","0","0","104","162","0","1","0","0","0","0","1","10","0","3","1","10","0","0","0","3","0","63","0","3","1","0","4","13","0","32","104","162","0","1","0","1","10","0","3","1","10","63","0","3","1","12","0","0","12","0","0","0","10","1","0","0","1","0","0"
"L1483","FrmEditWsusConnectionSettings","WsusADComparator.FrmEditWsusConnectionSettings","L1250","L1249","D:\DataCollection\repos\DCourtel_Wsus_Package_Publisher\code\WsusAD Comparator\FrmEditWsusConnectionSettings.cs","12","5","78","6","0.666667","0","0","0.33296","4","4","0","4","0","0","41","0","17","4","0","0","119","195","0","3","0","0","0","0","3","13","0","8","3","13","0","0","0","0","0","69","0","8","3","6","3","13","0","41","119","195","0","3","0","3","13","0","8","3","13","69","0","8","3","15","0","0","13","0","0","0","10","1","0","0","1","0","1"
"L1580","FrmOUSelector","WsusADComparator.FrmOUSelector","L1250","L1249","D:\DataCollection\repos\DCourtel_Wsus_Package_Publisher\code\WsusAD Comparator\FrmOUSelector.cs","13","5","184","6","0","3","0","0","0","0","0","0","0","0","29","0","14","4","0","0","183","262","0","2","0","0","0","0","2","19","0","1","0","19","0","0","0","6","0","94","0","1","0","0","2","25","0","29","183","262","0","2","0","2","19","0","1","0","19","94","0","1","0","34","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L1810","FrmWsusADComparator","WsusADComparator.FrmWsusADComparator","L1250","L1249","D:\DataCollection\repos\DCourtel_Wsus_Package_Publisher\code\WsusAD Comparator\FrmWsusADComparator.cs","12","5","520","6","0","10","0","0.1383","14","16","0","16","0","0","102","0","14","14","0","0","700","864","0","0","0","0","0","0","0","37","0","1","0","37","0","0","0","28","0","383","0","1","0","0","2","65","0","102","702","884","0","0","0","0","37","0","1","0","37","383","0","1","0","89","0","0","20","0","0","2","9","1","0","0","1","0","9"
"L1587","Localization","WsusADComparator.Localization","L1250","L1249","D:\DataCollection\repos\DCourtel_Wsus_Package_Publisher\code\WsusAD Comparator\Localization.cs","8","5","45","6","0","1","0","0","0","0","0","0","0","0","5","0","5","1","0","0","27","38","0","0","0","0","0","0","0","3","0","0","0","3","0","0","0","0","0","10","0","0","0","0","1","3","0","5","27","38","0","0","0","0","3","0","0","0","3","10","0","0","0","7","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L1812","Model","WsusADComparator.Model","L1250","L1249","D:\DataCollection\repos\DCourtel_Wsus_Package_Publisher\code\WsusAD Comparator\Model.cs","12","5","250","6","0.6","9","0","0","0","0","0","0","0","0","15","0","14","1","0","0","175","232","0","2","0","0","0","0","2","17","0","4","2","17","0","0","0","13","0","77","0","4","2","3","2","30","0","15","175","239","0","2","0","2","20","0","7","2","20","77","0","7","2","38","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L2836","Program","WsusADComparator.Program","L1250","L1249","D:\DataCollection\repos\DCourtel_Wsus_Package_Publisher\code\WsusAD Comparator\Program.cs","8","5","20","6","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","10","13","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0","3","0","0","0","0","1","2","0","0","10","13","0","0","0","0","1","0","0","0","1","3","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L2932","AddRegKeyAction","CustomUpdateEngine.AddRegKeyAction","L2891","L2890","D:\DataCollection\repos\DCourtel_Wsus_Package_Publisher\code\CustomUpdateEngine\Actions\AddRegKeyAction.cs","10","5","67","6","0","3","0","0","0","0","0","0","0","0","1","1","0","1","0","0","50","58","0","3","0","0","0","0","3","8","0","5","3","11","1","0","0","3","1","28","0","8","3","0","6","11","0","1","50","58","0","3","0","3","8","0","5","3","11","28","0","8","3","16","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L3023","AddRegValueAction","CustomUpdateEngine.AddRegValueAction","L2891","L2890","D:\DataCollection\repos\DCourtel_Wsus_Package_Publisher\code\CustomUpdateEngine\Actions\AddRegValueAction.cs","10","5","150","6","0","3","0","0.204724","1","7","0","1","0.148936","0.159664","2","1","0","1","21","19","123","141","0","6","0","0","0","0","6","17","0","9","6","20","1","0","0","3","1","66","0","12","6","0","10","20","0","2","123","141","0","6","0","6","17","0","9","6","20","66","0","12","6","43","0","0","15","0","0","1","11","0","1","0","1","0","2"
"L3131","ChangeRegDataAction","CustomUpdateEngine.ChangeRegDataAction","L2891","L2890","D:\DataCollection\repos\DCourtel_Wsus_Package_Publisher\code\CustomUpdateEngine\Actions\ChangeRegDataAction.cs","10","5","83","6","0","3","0","0","0","0","0","0","0","0","1","1","0","1","0","0","66","74","0","6","0","0","0","0","6","14","0","8","6","17","1","0","0","3","1","41","0","11","6","0","9","17","0","1","66","74","0","6","0","6","14","0","8","6","17","41","0","11","6","28","0","0","3","0","0","0","0","0","0","0","1","0","2"
"L3182","ChangeServiceAction","CustomUpdateEngine.ChangeServiceAction","L2891","L2890","D:\DataCollection\repos\DCourtel_Wsus_Package_Publisher\code\CustomUpdateEngine\Actions\ChangeServiceAction.cs","10","5","154","6","0","3","0","0.412214","1","26","0","1","0.586207","0.630769","0","1","0","1","85","82","132","145","0","2","0","0","0","0","2","7","0","4","2","10","1","0","0","3","1","80","0","7","2","0","5","10","0","0","132","145","0","2","0","2","7","0","4","2","10","80","0","7","2","38","0","0","15","0","0","1","12","0","1","0","1","0","1"
"L3215","CopyFileAction","CustomUpdateEngine.CopyFileAction","L2891","L2890","D:\DataCollection\repos\DCourtel_Wsus_Package_Publisher\code\CustomUpdateEngine\Actions\CopyFileAction.cs","10","5","60","6","0","4","0","0","0","0","0","0","0","0","0","1","0","1","0","0","43","51","0","2","0","0","0","0","2","6","0","4","2","9","1","0","0","4","1","24","0","7","2","0","5","10","0","0","43","51","0","2","0","2","6","0","4","2","9","24","0","7","2","11","0","0","1","0","0","0","0","0","0","0","1","0","0"
