"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DLOC","LDC","LLDC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L1293",".ctor","WsusADComparator.FrmEditCredentialsSettings.FrmEditCredentialsSettings()void","L1265","L1249","D:\DataCollection\repos\DCourtel_Wsus_Package_Publisher\code\WsusAD Comparator\FrmEditCredentialsSettings.cs","14","9","18","10","0","0","0","0","0","0","0","0","0","0","0","5","5","1","0","0","0","2","2","0","0","0","5","5","2","0","0","0","0","0","0","0","0","0","0","0"
"L1300",".ctor","WsusADComparator.FrmEditCredentialsSettings.FrmEditCredentialsSettings(string)void","L1265","L1249","D:\DataCollection\repos\DCourtel_Wsus_Package_Publisher\code\WsusAD Comparator\FrmEditCredentialsSettings.cs","20","9","23","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","1","1","1","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L1309","get_Credential","WsusADComparator.FrmEditCredentialsSettings.Credential.getWPP.Security.Credential","L1265","L1249","D:\DataCollection\repos\DCourtel_Wsus_Package_Publisher\code\WsusAD Comparator\FrmEditCredentialsSettings.cs","27","53","27","57","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L1296","set_Credential","WsusADComparator.FrmEditCredentialsSettings.Credential.setvoid","L1265","L1249","D:\DataCollection\repos\DCourtel_Wsus_Package_Publisher\code\WsusAD Comparator\FrmEditCredentialsSettings.cs","27","58","27","70","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L1313","btnOk_Click","WsusADComparator.FrmEditCredentialsSettings.btnOk_Click(object, System.EventArgs)void","L1265","L1249","D:\DataCollection\repos\DCourtel_Wsus_Package_Publisher\code\WsusAD Comparator\FrmEditCredentialsSettings.cs","33","9","39","10","0","0","0","0","0","0","0","0","0","0","0","6","7","1","0","0","0","3","3","2","0","0","6","7","3","0","0","0","0","0","0","0","0","0","0","0"
"L1328","btnCancel_Click","WsusADComparator.FrmEditCredentialsSettings.btnCancel_Click(object, System.EventArgs)void","L1265","L1249","D:\DataCollection\repos\DCourtel_Wsus_Package_Publisher\code\WsusAD Comparator\FrmEditCredentialsSettings.cs","41","9","44","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","0","1","2","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L1331","btnShowPassword_MouseDown","WsusADComparator.FrmEditCredentialsSettings.btnShowPassword_MouseDown(object, System.Windows.Forms.MouseEventArgs)void","L1265","L1249","D:\DataCollection\repos\DCourtel_Wsus_Package_Publisher\code\WsusAD Comparator\FrmEditCredentialsSettings.cs","46","9","49","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","0","1","2","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L1340","btnShowPassword_MouseUp","WsusADComparator.FrmEditCredentialsSettings.btnShowPassword_MouseUp(object, System.Windows.Forms.MouseEventArgs)void","L1265","L1249","D:\DataCollection\repos\DCourtel_Wsus_Package_Publisher\code\WsusAD Comparator\FrmEditCredentialsSettings.cs","51","9","54","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","0","1","2","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L1347","Dispose","WsusADComparator.FrmEditCredentialsSettings.Dispose(bool)void","L1265","L1249","D:\DataCollection\repos\DCourtel_Wsus_Package_Publisher\code\WsusAD Comparator\FrmEditCredentialsSettings.Designer.cs","14","9","21","10","0","0","0","0","0","0","0","4","4","0","0","8","8","3","0","0","0","0","3","1","0","4","8","8","3","0","0","0","0","0","0","0","0","0","0","0"
"L1294","InitializeComponent","WsusADComparator.FrmEditCredentialsSettings.InitializeComponent()void","L1265","L1249","D:\DataCollection\repos\DCourtel_Wsus_Package_Publisher\code\WsusAD Comparator\FrmEditCredentialsSettings.Designer.cs","29","9","107","10","0.337308","7","7","0","7","0.468354","0.351852","28","4","37","19","54","79","1","0","0","0","1","51","0","0","28","54","79","51","0","0","7","0","0","0","7","0","0","0","0"
