"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L3512","LoginForm","POExileDirection.LoginForm","L3429","L103","D:\DataCollection\repos\DeadlyCrush_DeadlyTrade\POExileDirection\Authentication\LoginForm.cs","13","5","24","6","0","1","0","0.462618","6","9","0","9","0","0","71","0","8","3","0","0","260","342","0","0","0","0","0","0","0","4","0","1","0","4","0","0","0","1","0","219","0","1","0","0","2","5","0","71","260","342","0","0","0","0","4","0","1","0","4","219","0","1","0","6","0","0","18","0","0","1","10","1","0","0","1","0","6"
"L3598","Phanteon","POExileDirection.Phanteon","L3429","L103","D:\DataCollection\repos\DeadlyCrush_DeadlyTrade\POExileDirection\DeadlyCommon\DeadlyTranslation.cs","9","5","21","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","13","0","3","0","0","0","0","3","7","0","7","3","7","0","0","0","0","0","3","0","7","3","0","8","7","0","0","12","13","0","3","0","3","7","0","7","3","7","3","0","7","3","7","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L3621","DeadlyTranslation","POExileDirection.DeadlyTranslation","L3429","L103","D:\DataCollection\repos\DeadlyCrush_DeadlyTrade\POExileDirection\DeadlyCommon\DeadlyTranslation.cs","23","5","2780","6","0","1","0","0.23876","3","6","0","6","0.228426","0.237199","36","0","0","1","630","630","2657","2758","0","0","0","0","0","0","0","25","0","2","0","25","0","0","0","1","0","2548","0","2","0","0","3","26","0","36","2657","2758","0","0","0","0","25","0","2","0","25","2548","0","2","0","25","0","0","114","0","0","11","49","0","0","1","1","0","63"
"L3793","NotificationContainer","POExileDirection.NotificationContainer","L3429","L103","D:\DataCollection\repos\DeadlyCrush_DeadlyTrade\POExileDirection\DeadlyNotification\NotificationContainer.cs","8","5","187","6","0","5","0","0","0","0","0","0","0","0","23","0","8","5","0","0","217","285","0","1","0","0","0","0","1","15","0","2","0","15","0","0","0","5","0","133","0","2","0","0","3","20","0","23","217","285","0","1","0","1","15","0","2","0","15","133","0","2","0","26","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L3890","RemainingForm","POExileDirection.RemainingForm","L3429","L103","D:\DataCollection\repos\DeadlyCrush_DeadlyTrade\POExileDirection\DeadlyNotification\RemainingForm.cs","14","5","61","6","0","2","0","0","0","0","0","0","0","0","20","0","8","5","0","0","94","133","0","0","0","0","0","0","0","8","0","3","0","8","0","0","0","2","0","56","0","3","0","0","4","10","0","20","94","133","0","0","0","0","8","0","3","0","8","56","0","3","0","10","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L3946","TradeHistory","POExileDirection.TradeHistory","L3429","L103","D:\DataCollection\repos\DeadlyCrush_DeadlyTrade\POExileDirection\DeadlyNotification\TradeHistory.cs","16","5","148","6","0","5","0","0.591233","7","11","0","7","0.157895","0.169811","54","0","8","4","21","18","290","382","0","1","0","0","0","0","1","13","0","1","0","13","0","0","0","5","0","204","0","1","0","0","2","18","0","54","290","382","0","1","0","1","13","0","1","0","13","204","0","1","0","24","0","0","27","0","0","1","19","1","0","0","1","0","6"
"L4043","FlaskICONTimer","POExileDirection.FlaskICONTimer","L3429","L103","D:\DataCollection\repos\DeadlyCrush_DeadlyTrade\POExileDirection\DeadlyOverlay\FlaskICONTimer.cs","13","5","328","6","0","9","0","0.189927","3","17","0","3","0.256329","0.301255","57","0","19","2","81","72","324","432","0","1","0","0","0","0","1","13","0","1","0","13","0","0","0","11","0","202","0","1","0","0","2","24","0","57","324","435","0","1","0","1","13","0","1","0","13","202","0","1","0","48","0","0","30","0","0","1","26","1","0","0","1","0","2"
"L4161","FlaskTimerCircleForm","POExileDirection.FlaskTimerCircleForm","L3429","L103","D:\DataCollection\repos\DeadlyCrush_DeadlyTrade\POExileDirection\DeadlyOverlay\FlaskTimerCircleForm.cs","10","5","244","6","0","5","0","0.663556","5","18","0","5","0.434043","0.473684","32","0","8","1","102","90","275","350","0","1","0","0","0","0","1","12","0","1","0","12","0","0","0","4","0","181","0","1","0","0","2","16","0","32","275","350","0","1","0","1","12","0","1","0","12","181","0","1","0","40","0","0","35","0","0","0","33","0","0","0","1","0","1"
"L4228","FossilForm","POExileDirection.FossilForm","L3429","L103","D:\DataCollection\repos\DeadlyCrush_DeadlyTrade\POExileDirection\DeadlyOverlay\FossilForm.cs","13","5","171","6","0","2","0","0.569196","8","16","0","10","0.383648","0.392593","41","0","8","3","61","53","334","407","0","0","0","0","0","0","0","12","0","1","0","12","0","0","0","2","0","253","0","1","0","0","2","14","0","41","334","407","0","0","0","0","12","0","1","0","12","253","0","1","0","26","0","0","27","0","0","1","19","1","0","0","1","0","6"
"L4302","LabyOverlayForm","POExileDirection.LabyOverlayForm","L3429","L103","D:\DataCollection\repos\DeadlyCrush_DeadlyTrade\POExileDirection\DeadlyOverlay\LabyOverlayForm.cs","14","5","244","6","0","4","0","0.475136","14","25","0","21","0.588745","0.606742","71","0","8","4","136","108","438","569","0","2","0","0","0","0","2","20","0","5","2","20","0","0","0","7","0","332","0","5","2","0","6","27","0","71","438","569","0","2","0","2","20","0","5","2","20","332","0","5","2","29","0","0","49","0","0","1","41","1","0","0","1","0","6"
"L4312","LaunchedOverlayIMAGEForm","POExileDirection.LaunchedOverlayIMAGEForm","L3429","L103","D:\DataCollection\repos\DeadlyCrush_DeadlyTrade\POExileDirection\DeadlyOverlay\LaunchedOverlayIMAGEForm.cs","13","5","167","6","0","4","0","0.702574","8","15","0","9","0.393548","0.410853","29","0","8","4","61","53","267","331","0","0","0","0","0","0","0","11","0","1","0","11","0","0","0","4","0","190","0","1","0","0","2","15","0","29","267","331","0","0","0","0","11","0","1","0","11","190","0","1","0","24","0","0","25","0","0","1","19","1","0","0","1","0","4"
"L4492","DeadlyPriceAPI","POExileDirection.DeadlyPriceAPI","L3429","L103","D:\DataCollection\repos\DeadlyCrush_DeadlyTrade\POExileDirection\DeadlyPriceCheck\DeadlyPriceAPI.cs","8","5","242","6","0","2","0","0","0","0","0","0","0","0","175","0","0","1","0","0","46","235","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","24","0","1","0","0","2","1","0","175","46","235","0","0","0","0","1","0","1","0","1","24","0","1","0","7","0","0","3","0","0","0","0","0","0","0","1","0","2"
