"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DLOC","LDC","LLDC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L3516",".ctor","POExileDirection.LoginForm.LoginForm()void","L3512","L103","D:\DataCollection\repos\DeadlyCrush_DeadlyTrade\POExileDirection\Authentication\LoginForm.cs","15","9","18","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","1","1","0","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L3519","label8_Click","POExileDirection.LoginForm.label8_Click(object, EventArgs)void","L3512","L103","D:\DataCollection\repos\DeadlyCrush_DeadlyTrade\POExileDirection\Authentication\LoginForm.cs","20","9","23","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","0","1","2","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L3529","Dispose","POExileDirection.LoginForm.Dispose(bool)void","L3512","L103","D:\DataCollection\repos\DeadlyCrush_DeadlyTrade\POExileDirection\Authentication\LoginForm.Designer.cs","14","9","21","10","0","0","0","0","0","0","0","4","4","0","0","8","8","3","0","0","0","0","3","1","0","4","8","8","3","0","0","0","0","0","0","0","0","0","0","0"
"L3517","InitializeComponent","POExileDirection.LoginForm.InitializeComponent()void","L3512","L103","D:\DataCollection\repos\DeadlyCrush_DeadlyTrade\POExileDirection\Authentication\LoginForm.Designer.cs","29","9","309","10","0.496524","6","9","0","9","0.455516","0.479263","67","4","128","104","217","281","1","0","0","0","1","214","0","0","67","217","281","214","0","0","13","0","0","1","7","0","0","0","6"
"L3599",".ctor","POExileDirection.Phanteon.Phanteon(string, string, string)void","L3598","L103","D:\DataCollection\repos\DeadlyCrush_DeadlyTrade\POExileDirection\DeadlyCommon\DeadlyTranslation.cs","11","9","16","10","0","0","0","0","0","0","0","0","0","0","0","6","6","1","0","0","0","3","3","3","0","0","6","6","3","0","0","0","0","0","0","0","0","0","0","0"
"L3609","get_strGodName","POExileDirection.Phanteon.strGodName.getstring","L3598","L103","D:\DataCollection\repos\DeadlyCrush_DeadlyTrade\POExileDirection\DeadlyCommon\DeadlyTranslation.cs","18","36","18","40","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L3603","set_strGodName","POExileDirection.Phanteon.strGodName.setvoid","L3598","L103","D:\DataCollection\repos\DeadlyCrush_DeadlyTrade\POExileDirection\DeadlyCommon\DeadlyTranslation.cs","18","41","18","45","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L3613","get_strMapName","POExileDirection.Phanteon.strMapName.getstring","L3598","L103","D:\DataCollection\repos\DeadlyCrush_DeadlyTrade\POExileDirection\DeadlyCommon\DeadlyTranslation.cs","19","36","19","40","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L3605","set_strMapName","POExileDirection.Phanteon.strMapName.setvoid","L3598","L103","D:\DataCollection\repos\DeadlyCrush_DeadlyTrade\POExileDirection\DeadlyCommon\DeadlyTranslation.cs","19","41","19","45","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L3617","get_strTier","POExileDirection.Phanteon.strTier.getstring","L3598","L103","D:\DataCollection\repos\DeadlyCrush_DeadlyTrade\POExileDirection\DeadlyCommon\DeadlyTranslation.cs","20","33","20","37","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L3607","set_strTier","POExileDirection.Phanteon.strTier.setvoid","L3598","L103","D:\DataCollection\repos\DeadlyCrush_DeadlyTrade\POExileDirection\DeadlyCommon\DeadlyTranslation.cs","20","38","20","42","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L3665","InitTranslateKOR","POExileDirection.DeadlyTranslation.InitTranslateKOR()void","L3621","L103","D:\DataCollection\repos\DeadlyCrush_DeadlyTrade\POExileDirection\DeadlyCommon\DeadlyTranslation.cs","61","9","91","10","0","0","0","0","0","0","0","20","0","0","0","27","31","1","0","0","0","24","24","0","0","20","27","31","24","0","0","1","0","0","0","0","0","1","0","0"
"L3710","InitFlaskImgPath","POExileDirection.DeadlyTranslation.InitFlaskImgPath()void","L3621","L103","D:\DataCollection\repos\DeadlyCrush_DeadlyTrade\POExileDirection\DeadlyCommon\DeadlyTranslation.cs","94","9","140","10","0","0","0","0","0","0","0","0","0","0","0","47","47","1","0","0","0","0","44","0","0","0","47","47","44","0","0","0","0","0","0","0","0","0","0","0"
"L3666","InitCurrency","POExileDirection.DeadlyTranslation.InitCurrency()void","L3621","L103","D:\DataCollection\repos\DeadlyCrush_DeadlyTrade\POExileDirection\DeadlyCommon\DeadlyTranslation.cs","144","9","209","4","0","0","0","0","0","0","0","0","0","0","0","65","66","1","0","0","0","0","62","0","0","0","65","66","62","0","0","0","0","0","0","0","0","0","0","0"
"L3668","InitFragments","POExileDirection.DeadlyTranslation.InitFragments()void","L3621","L103","D:\DataCollection\repos\DeadlyCrush_DeadlyTrade\POExileDirection\DeadlyCommon\DeadlyTranslation.cs","213","3","271","4","0","0","0","0","0","0","0","0","0","0","0","59","59","1","0","0","0","0","56","0","0","0","59","59","56","0","0","0","0","0","0","0","0","0","0","0"
"L3670","InitWatchstones","POExileDirection.DeadlyTranslation.InitWatchstones()void","L3621","L103","D:\DataCollection\repos\DeadlyCrush_DeadlyTrade\POExileDirection\DeadlyCommon\DeadlyTranslation.cs","275","3","284","4","0","0","0","0","0","0","0","0","0","0","0","10","10","1","0","0","0","0","7","0","0","0","10","10","7","0","0","0","0","0","0","0","0","0","0","0"
"L3672","InitOils","POExileDirection.DeadlyTranslation.InitOils()void","L3621","L103","D:\DataCollection\repos\DeadlyCrush_DeadlyTrade\POExileDirection\DeadlyCommon\DeadlyTranslation.cs","288","3","302","4","0","0","0","0","0","0","0","0","0","0","0","15","15","1","0","0","0","0","12","0","0","0","15","15","12","0","0","0","0","0","0","0","0","0","0","0"
"L3674","InitIncubators","POExileDirection.DeadlyTranslation.InitIncubators()void","L3621","L103","D:\DataCollection\repos\DeadlyCrush_DeadlyTrade\POExileDirection\DeadlyCommon\DeadlyTranslation.cs","306","9","333","10","1","1","1","0","1","1","1","0","0","28","28","28","28","1","0","0","0","0","25","0","0","0","28","28","25","0","0","7","0","0","0","7","0","0","0","0"
"L3676","InitScarabs","POExileDirection.DeadlyTranslation.InitScarabs()void","L3621","L103","D:\DataCollection\repos\DeadlyCrush_DeadlyTrade\POExileDirection\DeadlyCommon\DeadlyTranslation.cs","337","9","378","10","0","0","0","0","0","0","0","0","0","0","0","42","42","1","0","0","0","0","39","0","0","0","42","42","39","0","0","0","0","0","0","0","0","0","0","0"
"L3678","InitFossils","POExileDirection.DeadlyTranslation.InitFossils()void","L3621","L103","D:\DataCollection\repos\DeadlyCrush_DeadlyTrade\POExileDirection\DeadlyCommon\DeadlyTranslation.cs","382","9","409","4","1","1","1","0","1","1","1","0","0","28","28","28","28","1","0","0","0","0","25","0","0","0","28","28","25","0","0","7","0","0","0","7","0","0","0","0"
"L3680","InitResonators","POExileDirection.DeadlyTranslation.InitResonators()void","L3621","L103","D:\DataCollection\repos\DeadlyCrush_DeadlyTrade\POExileDirection\DeadlyCommon\DeadlyTranslation.cs","413","9","423","10","0","0","0","0","0","0","0","0","0","0","0","11","11","1","0","0","0","0","8","0","0","0","11","11","8","0","0","0","0","0","0","0","0","0","0","0"
"L3682","InitEssenses","POExileDirection.DeadlyTranslation.InitEssenses()void","L3621","L103","D:\DataCollection\repos\DeadlyCrush_DeadlyTrade\POExileDirection\DeadlyCommon\DeadlyTranslation.cs","427","9","534","10","0","0","0","0","0","0","0","0","0","0","0","108","108","1","0","0","0","0","105","0","0","0","108","108","105","0","0","4","0","0","1","0","0","0","0","4"
"L3684","InitDivinationCards","POExileDirection.DeadlyTranslation.InitDivinationCards()void","L3621","L103","D:\DataCollection\repos\DeadlyCrush_DeadlyTrade\POExileDirection\DeadlyCommon\DeadlyTranslation.cs","538","9","832","4","0","0","0","0","0","0","0","0","0","0","0","295","295","1","0","0","0","0","292","0","0","0","295","295","292","0","0","6","0","0","1","0","0","0","0","6"
"L3686","InitProphecies","POExileDirection.DeadlyTranslation.InitProphecies()void","L3621","L103","D:\DataCollection\repos\DeadlyCrush_DeadlyTrade\POExileDirection\DeadlyCommon\DeadlyTranslation.cs","836","9","1068","10","1","1","1","0","1","1","1","0","0","233","233","233","233","1","0","0","0","0","230","0","0","0","233","233","230","0","0","13","0","0","1","7","0","0","0","6"
