"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L3442","EtlBase","Kanji.DatabaseMaker.EtlBase","L111","L3429","D:\DataCollection\repos\Doublevil_Houhou-SRS\Kanji.DatabaseMaker\ETL\EtlBase.cs","8","5","27","6","0.333333","0","0","0","0","0","0","0","0","0","3","0","3","0","0","0","7","20","0","0","0","0","0","0","0","2","0","2","0","2","0","3","3","0","0","0","0","2","0","1","2","2","0","3","7","20","0","0","0","0","2","0","2","0","2","0","0","2","0","2","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L3446","KanjiEtl","Kanji.DatabaseMaker.KanjiEtl","L111","L3429","D:\DataCollection\repos\Doublevil_Houhou-SRS\Kanji.DatabaseMaker\ETL\KanjiEtl.cs","17","5","444","6","0.666667","15","0","0","0","0","0","0","0","0","74","1","34","1","0","0","280","428","0","3","0","0","0","0","3","15","0","5","3","17","1","0","0","40","1","133","0","7","3","4","2","55","0","74","280","428","0","3","0","3","15","0","5","3","17","133","0","7","3","56","0","0","7","0","0","1","0","0","1","3","1","0","2"
"L3737","RadicalEtl","Kanji.DatabaseMaker.RadicalEtl","L111","L3429","D:\DataCollection\repos\Doublevil_Houhou-SRS\Kanji.DatabaseMaker\ETL\RadicalEtl.cs","11","5","141","6","0.6","6","0","0","0","0","0","0","0","0","31","1","14","1","0","0","65","131","0","2","0","0","0","0","2","7","0","4","2","9","1","0","0","9","1","24","0","6","2","3","2","16","0","31","65","131","0","2","0","2","7","0","4","2","9","24","0","6","2","13","0","0","2","0","0","0","0","0","0","1","1","0","0"
"L3838","VocabEtl","Kanji.DatabaseMaker.VocabEtl","L111","L3429","D:\DataCollection\repos\Doublevil_Houhou-SRS\Kanji.DatabaseMaker\ETL\VocabEtl.cs","18","5","969","6","0.0909091","15","0","0.0469435","2","12","0","4","0.0546218","0.0647059","162","1","63","1","52","44","675","952","0","8","0","0","0","0","8","37","0","10","8","39","1","0","0","58","1","331","0","12","8","1","10","95","0","162","675","952","0","8","0","8","37","0","10","8","39","331","0","12","8","156","0","0","28","0","0","4","9","0","5","5","1","0","8"
"L3525","PathHelper","Kanji.DatabaseMaker.PathHelper","L111","L3429","D:\DataCollection\repos\Doublevil_Houhou-SRS\Kanji.DatabaseMaker\Helpers\PathHelper.cs","12","5","28","6","1","0","0","0","0","0","0","0","0","0","3","0","3","0","0","0","17","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","3","17","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3471","RadicalDictionary","Kanji.DatabaseMaker.RadicalDictionary","L111","L3429","D:\DataCollection\repos\Doublevil_Houhou-SRS\Kanji.DatabaseMaker\Models\RadicalDictionary.cs","8","5","10","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L3596","RadicalValue","Kanji.DatabaseMaker.RadicalValue","L111","L3429","D:\DataCollection\repos\Doublevil_Houhou-SRS\Kanji.DatabaseMaker\Models\RadicalValue.cs","9","5","13","6","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","0","2","0","0","0","0","2","4","0","4","2","4","0","0","0","0","0","0","0","4","2","0","5","4","0","0","5","5","0","2","0","2","4","0","4","2","4","0","0","4","2","4","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L4483","Program","Kanji.DatabaseMaker.Program","L111","L3429","D:\DataCollection\repos\Doublevil_Houhou-SRS\Kanji.DatabaseMaker\Program.cs","17","5","70","6","1","3","0","0","0","0","0","0","0","0","13","0","7","1","0","0","41","54","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","19","0","30","0","0","0","1","0","20","0","13","41","54","0","0","0","0","1","0","0","0","1","30","0","0","0","1","0","0","1","0","0","0","0","0","0","1","0","0","0"
"L6966","TrayWindow","Kanji.Interface.TrayWindow","L6341","L6335","D:\DataCollection\repos\Doublevil_Houhou-SRS\Kanji.Interface\TrayWindow.xaml.cs","21","5","73","6","0","3","0","0","0","0","0","0","0","0","4","0","0","7","0","0","41","53","0","0","0","0","0","0","0","8","0","1","0","8","0","0","0","8","0","12","0","1","0","0","2","16","0","4","41","53","0","0","0","0","8","0","1","0","8","12","0","1","0","9","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L6519","Program","Kanji.Interface.Program","L6341","L6335","D:\DataCollection\repos\Doublevil_Houhou-SRS\Kanji.Interface\Program.cs","20","5","227","6","0.5","17","0","0","0","0","0","0","0","0","50","0","24","6","0","0","84","208","0","0","0","0","0","0","0","8","0","3","0","8","0","0","0","16","0","38","0","3","0","2","2","24","0","50","84","208","0","0","0","0","8","0","3","0","8","38","0","3","0","14","0","0","4","0","0","0","0","1","0","2","1","0","0"
