"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DLOC","LDC","LLDC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L3443",".ctor","Kanji.DatabaseMaker.EtlBase.EtlBase()void","L3442","L3429","D:\DataCollection\repos\Doublevil_Houhou-SRS\Kanji.DatabaseMaker\ETL\EtlBase.cs","12","9","15","10","0","0","0","0","0","0","0","0","0","0","0","3","4","1","0","0","0","0","0","0","0","0","3","4","0","0","0","0","0","0","0","0","0","0","0","0"
"L3444","Execute","Kanji.DatabaseMaker.EtlBase.Execute()void","L3442","L3429","D:\DataCollection\repos\Doublevil_Houhou-SRS\Kanji.DatabaseMaker\ETL\EtlBase.cs","24","9","24","40","0","0","0","0","0","0","0","3","3","0","0","1","1","1","0","0","0","0","0","0","0","3","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L3491","get_KanjiCount","Kanji.DatabaseMaker.KanjiEtl.KanjiCount.getlong","L3446","L3429","D:\DataCollection\repos\Doublevil_Houhou-SRS\Kanji.DatabaseMaker\ETL\KanjiEtl.cs","65","34","65","38","0","0","0","0","0","0","0","3","3","0","0","1","1","1","0","0","0","0","0","0","0","3","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L3495","set_KanjiCount","Kanji.DatabaseMaker.KanjiEtl.KanjiCount.setvoid","L3446","L3429","D:\DataCollection\repos\Doublevil_Houhou-SRS\Kanji.DatabaseMaker\ETL\KanjiEtl.cs","65","39","65","51","0","0","0","0","0","0","0","3","3","0","0","1","1","1","0","0","0","0","0","1","0","3","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L3497","get_KanjiMeaningCount","Kanji.DatabaseMaker.KanjiEtl.KanjiMeaningCount.getlong","L3446","L3429","D:\DataCollection\repos\Doublevil_Houhou-SRS\Kanji.DatabaseMaker\ETL\KanjiEtl.cs","70","41","70","45","0","0","0","0","0","0","0","3","3","0","0","1","1","1","0","0","0","0","0","0","0","3","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L3501","set_KanjiMeaningCount","Kanji.DatabaseMaker.KanjiEtl.KanjiMeaningCount.setvoid","L3446","L3429","D:\DataCollection\repos\Doublevil_Houhou-SRS\Kanji.DatabaseMaker\ETL\KanjiEtl.cs","70","46","70","58","0","0","0","0","0","0","0","3","3","0","0","1","1","1","0","0","0","0","0","1","0","3","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L3503","get_KanjiRadicalCount","Kanji.DatabaseMaker.KanjiEtl.KanjiRadicalCount.getlong","L3446","L3429","D:\DataCollection\repos\Doublevil_Houhou-SRS\Kanji.DatabaseMaker\ETL\KanjiEtl.cs","75","41","75","45","0","0","0","0","0","0","0","3","3","0","0","1","1","1","0","0","0","0","0","0","0","3","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L3507","set_KanjiRadicalCount","Kanji.DatabaseMaker.KanjiEtl.KanjiRadicalCount.setvoid","L3446","L3429","D:\DataCollection\repos\Doublevil_Houhou-SRS\Kanji.DatabaseMaker\ETL\KanjiEtl.cs","75","46","75","58","0","0","0","0","0","0","0","3","3","0","0","1","1","1","0","0","0","0","0","1","0","3","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L3509",".ctor","Kanji.DatabaseMaker.KanjiEtl.KanjiEtl(Kanji.DatabaseMaker.RadicalDictionary)void","L3446","L3429","D:\DataCollection\repos\Doublevil_Houhou-SRS\Kanji.DatabaseMaker\ETL\KanjiEtl.cs","81","9","89","10","0","0","0","0","0","0","0","0","0","0","0","9","9","1","0","0","0","4","5","1","0","0","9","9","5","0","0","0","0","0","0","0","0","0","0","0"
"L3514","CreateJlptDictionary","Kanji.DatabaseMaker.KanjiEtl.CreateJlptDictionary()void","L3446","L3429","D:\DataCollection\repos\Doublevil_Houhou-SRS\Kanji.DatabaseMaker\ETL\KanjiEtl.cs","99","9","119","10","0","0","0","0","0","0","0","4","4","0","0","19","21","5","0","0","0","1","9","0","0","4","19","21","9","0","0","0","0","0","0","0","0","0","0","0"
