"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L114","DeploymentAttribute","AtlasGridDataLibrary.DeploymentAttribute","L104","L103","D:\DataCollection\repos\GrapeshotGames_ServerGridEditor\Src\AtlasGridDataLibrary\DeploymentOverrideAttribute.cs","12","5","14","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","1","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L121","DeploymentOverrideAttribute","AtlasGridDataLibrary.DeploymentOverrideAttribute","L104","L103","D:\DataCollection\repos\GrapeshotGames_ServerGridEditor\Src\AtlasGridDataLibrary\DeploymentOverrideAttribute.cs","16","5","18","6","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","1","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L124","DeploymentConstAttribute","AtlasGridDataLibrary.DeploymentConstAttribute","L104","L103","D:\DataCollection\repos\GrapeshotGames_ServerGridEditor\Src\AtlasGridDataLibrary\DeploymentOverrideAttribute.cs","19","5","21","6","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","1","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L125","DeploymentOverrideShouldSerializeContractResolver","AtlasGridDataLibrary.DeploymentOverrideShouldSerializeContractResolver","L104","L103","D:\DataCollection\repos\GrapeshotGames_ServerGridEditor\Src\AtlasGridDataLibrary\DeploymentOverrideAttribute.cs","24","5","41","6","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0","0","14","16","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","4","0","0","0","0","1","1","0","1","14","18","0","0","0","0","1","0","0","0","1","4","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L166","AtlasDataGridLoader","AtlasGridDataLibrary.AtlasDataGridLoader","L104","L103","D:\DataCollection\repos\GrapeshotGames_ServerGridEditor\Src\AtlasGridDataLibrary\ServerGrid.cs","12","5","51","6","0","1","0","0","0","0","0","0","0","0","2","0","0","1","0","0","38","40","0","0","0","0","0","0","0","7","0","6","0","7","0","0","0","0","0","11","0","6","0","0","7","7","0","2","38","40","0","0","0","0","7","0","6","0","7","11","0","6","0","7","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L193","AtlasGridData","AtlasGridDataLibrary.AtlasGridData","L104","L103","D:\DataCollection\repos\GrapeshotGames_ServerGridEditor\Src\AtlasGridDataLibrary\ServerGrid.cs","54","5","165","6","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","85","112","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","85","112","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L293","ServerData","AtlasGridDataLibrary.ServerData","L104","L103","D:\DataCollection\repos\GrapeshotGames_ServerGridEditor\Src\AtlasGridDataLibrary\ServerGrid.cs","168","5","250","6","0.5","0","0","0","0","0","0","0","0","0","1","0","1","1","0","0","78","83","0","0","0","0","0","0","0","1","0","1","0","1","0","1","1","0","0","6","0","1","0","1","1","1","0","1","78","83","0","0","0","0","1","0","1","0","1","6","0","1","0","2","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L321","ServerTemplateData","AtlasGridDataLibrary.ServerTemplateData","L104","L103","D:\DataCollection\repos\GrapeshotGames_ServerGridEditor\Src\AtlasGridDataLibrary\ServerGrid.cs","251","5","257","6","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","6","7","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0","1","0","0","1","0","0","0","6","7","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L361","SublevelSerializationObject","AtlasGridDataLibrary.SublevelSerializationObject","L104","L103","D:\DataCollection\repos\GrapeshotGames_ServerGridEditor\Src\AtlasGridDataLibrary\ServerGrid.cs","259","5","270","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","12","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L442","MoveableObjectData","AtlasGridDataLibrary.MoveableObjectData","L104","L103","D:\DataCollection\repos\GrapeshotGames_ServerGridEditor\Src\AtlasGridDataLibrary\ServerGrid.cs","272","5","276","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","0","0","0","0","0","0","0","1","0","0","0","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L378","IslandInstanceData","AtlasGridDataLibrary.IslandInstanceData","L104","L103","D:\DataCollection\repos\GrapeshotGames_ServerGridEditor\Src\AtlasGridDataLibrary\ServerGrid.cs","277","5","329","6","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","49","53","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","1","0","0","0","49","53","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0"
