"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DLOC","LDC","LLDC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L129","CreateProperty","AtlasGridDataLibrary.DeploymentOverrideShouldSerializeContractResolver.CreateProperty(System.Reflection.MemberInfo, MemberSerialization)JsonProperty","L125","L103","D:\DataCollection\repos\GrapeshotGames_ServerGridEditor\Src\AtlasGridDataLibrary\DeploymentOverrideAttribute.cs","28","9","40","10","0","0","0","0","0","0","0","1","1","0","0","10","11","1","0","0","0","0","4","2","0","1","11","13","4","0","0","0","0","0","0","0","0","0","0","0"
"L170","GetBaseDir","AtlasGridDataLibrary.AtlasDataGridLoader.GetBaseDir()string","L166","L103","D:\DataCollection\repos\GrapeshotGames_ServerGridEditor\Src\AtlasGridDataLibrary\ServerGrid.cs","14","9","17","10","0","0","0","0","0","0","0","1","0","0","0","4","4","1","0","0","0","0","1","0","0","1","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L192","Load","AtlasGridDataLibrary.AtlasDataGridLoader.Load()AtlasGridDataLibrary.AtlasGridData","L166","L103","D:\DataCollection\repos\GrapeshotGames_ServerGridEditor\Src\AtlasGridDataLibrary\ServerGrid.cs","19","9","22","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","2","1","0","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L199","Load","AtlasGridDataLibrary.AtlasDataGridLoader.Load(string)AtlasGridDataLibrary.AtlasGridData","L166","L103","D:\DataCollection\repos\GrapeshotGames_ServerGridEditor\Src\AtlasGridDataLibrary\ServerGrid.cs","23","9","26","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","2","1","1","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L197","LoadAbsolutePath","AtlasGridDataLibrary.AtlasDataGridLoader.LoadAbsolutePath(string)AtlasGridDataLibrary.AtlasGridData","L166","L103","D:\DataCollection\repos\GrapeshotGames_ServerGridEditor\Src\AtlasGridDataLibrary\ServerGrid.cs","27","9","33","10","0","0","0","0","0","0","0","1","0","0","0","7","7","1","0","0","0","0","4","1","0","1","7","7","4","0","0","0","0","0","0","0","0","0","0","0"
"L213","Save","AtlasGridDataLibrary.AtlasDataGridLoader.Save(AtlasGridDataLibrary.AtlasGridData)void","L166","L103","D:\DataCollection\repos\GrapeshotGames_ServerGridEditor\Src\AtlasGridDataLibrary\ServerGrid.cs","35","9","38","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","2","1","1","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L217","Save","AtlasGridDataLibrary.AtlasDataGridLoader.Save(AtlasGridDataLibrary.AtlasGridData, string)void","L166","L103","D:\DataCollection\repos\GrapeshotGames_ServerGridEditor\Src\AtlasGridDataLibrary\ServerGrid.cs","39","9","42","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","2","1","2","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L215","SaveAbsolutePath","AtlasGridDataLibrary.AtlasDataGridLoader.SaveAbsolutePath(AtlasGridDataLibrary.AtlasGridData, string)void","L166","L103","D:\DataCollection\repos\GrapeshotGames_ServerGridEditor\Src\AtlasGridDataLibrary\ServerGrid.cs","43","9","50","10","0","0","0","0","0","0","0","0","0","0","0","8","8","1","0","0","0","0","2","2","0","0","8","8","2","0","0","0","0","0","0","0","0","0","0","0"
"L398","GetGridLocationHumanReadable","AtlasGridDataLibrary.ServerData.GetGridLocationHumanReadable()string","L293","L103","D:\DataCollection\repos\GrapeshotGames_ServerGridEditor\Src\AtlasGridDataLibrary\ServerGrid.cs","241","9","249","10","0","0","0","0","0","0","0","0","0","0","0","9","9","2","0","0","0","0","6","0","0","0","9","9","6","0","0","0","0","0","0","0","0","0","0","0"
"L487","get_name","AtlasGridDataLibrary.SpawnRegionData.name.getstring","L392","L103","D:\DataCollection\repos\GrapeshotGames_ServerGridEditor\Src\AtlasGridDataLibrary\ServerGrid.cs","349","30","349","34","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L490","set_name","AtlasGridDataLibrary.SpawnRegionData.name.setvoid","L392","L103","D:\DataCollection\repos\GrapeshotGames_ServerGridEditor\Src\AtlasGridDataLibrary\ServerGrid.cs","349","35","349","39","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L495","get_Name","AtlasGridDataLibrary.SpawnerInfoData.Name.getstring","L300","L103","D:\DataCollection\repos\GrapeshotGames_ServerGridEditor\Src\AtlasGridDataLibrary\ServerGrid.cs","361","30","361","34","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L498","set_Name","AtlasGridDataLibrary.SpawnerInfoData.Name.setvoid","L300","L103","D:\DataCollection\repos\GrapeshotGames_ServerGridEditor\Src\AtlasGridDataLibrary\ServerGrid.cs","361","35","361","39","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L500","get_NPCSpawnEntries","AtlasGridDataLibrary.SpawnerInfoData.NPCSpawnEntries.getstring","L300","L103","D:\DataCollection\repos\GrapeshotGames_ServerGridEditor\Src\AtlasGridDataLibrary\ServerGrid.cs","362","41","362","45","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L503","set_NPCSpawnEntries","AtlasGridDataLibrary.SpawnerInfoData.NPCSpawnEntries.setvoid","L300","L103","D:\DataCollection\repos\GrapeshotGames_ServerGridEditor\Src\AtlasGridDataLibrary\ServerGrid.cs","362","46","362","50","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L505","get_NPCSpawnLimits","AtlasGridDataLibrary.SpawnerInfoData.NPCSpawnLimits.getstring","L300","L103","D:\DataCollection\repos\GrapeshotGames_ServerGridEditor\Src\AtlasGridDataLibrary\ServerGrid.cs","363","40","363","44","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L508","set_NPCSpawnLimits","AtlasGridDataLibrary.SpawnerInfoData.NPCSpawnLimits.setvoid","L300","L103","D:\DataCollection\repos\GrapeshotGames_ServerGridEditor\Src\AtlasGridDataLibrary\ServerGrid.cs","363","45","363","49","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L510","get_MaxDesiredNumEnemiesMultiplier","AtlasGridDataLibrary.SpawnerInfoData.MaxDesiredNumEnemiesMultiplier.getfloat","L300","L103","D:\DataCollection\repos\GrapeshotGames_ServerGridEditor\Src\AtlasGridDataLibrary\ServerGrid.cs","364","55","364","59","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L513","set_MaxDesiredNumEnemiesMultiplier","AtlasGridDataLibrary.SpawnerInfoData.MaxDesiredNumEnemiesMultiplier.setvoid","L300","L103","D:\DataCollection\repos\GrapeshotGames_ServerGridEditor\Src\AtlasGridDataLibrary\ServerGrid.cs","364","60","364","64","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L541","LoadAbsolutePath","AtlasGridDataLibrary.ServerGrid_ServerOnlyData.LoadAbsolutePath(string)AtlasGridDataLibrary.AtlasGridData","L530","L103","D:\DataCollection\repos\GrapeshotGames_ServerGridEditor\Src\AtlasGridDataLibrary\ServerGrid_ServerOnly.cs","25","9","31","10","0","0","0","0","0","0","0","0","0","0","0","7","7","1","0","0","0","0","4","1","0","0","7","7","4","0","0","0","0","0","0","0","0","0","0","0"
"L557","CopyFrom","AtlasGridDataLibrary.BackupConfigInfo.CopyFrom(AtlasGridDataLibrary.BackupConfigInfo)void","L268","L103","D:\DataCollection\repos\GrapeshotGames_ServerGridEditor\Src\AtlasGridDataLibrary\ServerGrid_ServerOnly.cs","86","9","97","10","0","0","0","0","0","0","0","0","0","0","0","12","12","1","0","0","0","0","9","1","0","0","12","12","9","0","0","0","0","0","0","0","0","0","0","0"
"L569","CopyFrom","AtlasGridDataLibrary.TribeLogConfigInfo.CopyFrom(AtlasGridDataLibrary.TribeLogConfigInfo)void","L260","L103","D:\DataCollection\repos\GrapeshotGames_ServerGridEditor\Src\AtlasGridDataLibrary\ServerGrid_ServerOnly.cs","105","9","109","10","0","0","0","0","0","0","0","0","0","0","0","5","5","1","0","0","0","1","2","1","0","0","5","5","2","0","0","0","0","0","0","0","0","0","0","0"
"L577","CopyFrom","AtlasGridDataLibrary.SharedLogConfigInfo.CopyFrom(AtlasGridDataLibrary.SharedLogConfigInfo)void","L264","L103","D:\DataCollection\repos\GrapeshotGames_ServerGridEditor\Src\AtlasGridDataLibrary\ServerGrid_ServerOnly.cs","126","9","133","10","0","0","0","0","0","0","0","0","0","0","0","8","8","1","0","0","0","1","5","1","0","0","8","8","5","0","0","0","0","0","0","0","0","0","0","0"
"L647","SetFrom","ServerGridEditor.DiscoveryZoneInstanceEx.SetFrom(AtlasGridDataLibrary.DiscoveryZoneData, string, float, float, float, float, float, int)AtlasGridDataLibrary.DiscoveryZoneData","L646","L587","D:\DataCollection\repos\GrapeshotGames_ServerGridEditor\Src\ServerGridEditor\Code\DiscoveryZone.cs","13","9","30","10","0","0","0","0","0","0","0","0","0","0","0","17","18","1","0","0","0","0","14","8","0","0","17","18","14","0","0","1","0","0","2","0","0","0","0","1"
