"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DLOC","LDC","LLDC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L133","Main","GZipUnzipper.Program.Main(string[])void","L112","L103","D:\DataCollection\repos\GregBahm_PlaceViewer\GzipUnzipper\GZipUnzipper\Program.cs","22","9","28","10","0","0","0","0","0","0","0","3","0","0","0","4","7","1","0","0","0","1","1","1","0","3","4","7","1","0","0","0","0","0","0","0","0","0","0"
"L142","ReorganizeTheData","GZipUnzipper.Program.ReorganizeTheData()void","L112","L103","D:\DataCollection\repos\GregBahm_PlaceViewer\GzipUnzipper\GZipUnzipper\Program.cs","30","9","43","10","0","0","0","0","0","0","0","0","0","0","0","14","14","3","0","0","0","0","7","0","0","0","14","14","7","0","0","0","0","0","0","0","0","0","0"
"L175","SortTheChunks","GZipUnzipper.Program.SortTheChunks()void","L112","L103","D:\DataCollection\repos\GregBahm_PlaceViewer\GzipUnzipper\GZipUnzipper\Program.cs","45","9","52","10","0","0","0","0","0","0","0","0","0","0","0","8","8","2","0","0","0","1","3","0","0","0","8","8","3","0","0","0","0","0","0","0","0","0","0"
"L177","SortingFile","GZipUnzipper.Program.SortingFile(string)void","L112","L103","D:\DataCollection\repos\GregBahm_PlaceViewer\GzipUnzipper\GZipUnzipper\Program.cs","54","9","61","10","0","0","0","0","0","0","0","0","0","0","0","7","8","1","0","0","0","0","4","1","0","0","7","8","4","0","0","0","0","0","0","0","0","0","0"
"L187","GetTicks","GZipUnzipper.Program.GetTicks(string)object","L112","L103","D:\DataCollection\repos\GregBahm_PlaceViewer\GzipUnzipper\GZipUnzipper\Program.cs","63","9","66","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","0","1","1","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0"
"L228","ChunkTheData","GZipUnzipper.Program.ChunkTheData()void","L112","L103","D:\DataCollection\repos\GregBahm_PlaceViewer\GzipUnzipper\GZipUnzipper\Program.cs","68","9","80","10","0","0","0","0","0","0","0","0","0","0","0","12","13","2","0","0","0","3","7","0","0","0","12","13","7","0","0","0","0","0","0","0","0","0","0"
"L140","ValidateData","GZipUnzipper.Program.ValidateData()void","L112","L103","D:\DataCollection\repos\GregBahm_PlaceViewer\GzipUnzipper\GZipUnzipper\Program.cs","162","9","183","10","0","0","0","0","0","0","0","0","0","0","0","22","22","4","0","0","0","0","13","0","0","0","22","22","13","0","0","0","0","0","0","0","0","0","0"
"L372","WriteFormattedData","GZipUnzipper.Program.WriteFormattedData()void","L112","L103","D:\DataCollection\repos\GregBahm_PlaceViewer\GzipUnzipper\GZipUnzipper\Program.cs","185","9","202","10","0","0","0","0","0","0","0","1","0","0","0","18","18","2","0","0","0","1","13","0","0","1","18","18","13","0","0","0","0","0","0","0","0","0","0"
"L384","GetHappyFormattedLine","GZipUnzipper.Program.GetHappyFormattedLine(string)string","L112","L103","D:\DataCollection\repos\GregBahm_PlaceViewer\GzipUnzipper\GZipUnzipper\Program.cs","204","9","227","10","0","0","0","0","0","0","0","2","0","0","0","22","24","3","0","0","0","7","12","1","0","2","22","24","12","0","0","0","0","0","0","0","0","0","0"
"L397","GetTime","GZipUnzipper.Program.GetTime(string)long","L112","L103","D:\DataCollection\repos\GregBahm_PlaceViewer\GzipUnzipper\GZipUnzipper\Program.cs","229","9","248","10","0","0","0","0","0","0","0","0","0","0","0","16","20","2","0","0","0","0","13","1","0","0","16","20","13","0","0","0","0","0","0","0","0","0","0"
