"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L2281","Program","openPDC.Program","L126","L2274","D:\DataCollection\repos\GridProtectionAlliance_openPDC\Source\Applications\openPDC\openPDCConsole\Program.cs","26","5","50","6","0","1","0","0","0","0","0","0","0","0","3","0","0","1","0","0","18","25","0","0","0","0","0","0","0","2","0","0","0","2","0","0","0","0","0","8","0","0","0","0","1","2","0","3","18","25","0","0","0","0","2","0","0","0","2","8","0","0","0","3","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L2283","ServiceClient","openPDC.ServiceClient","L126","L2274","D:\DataCollection\repos\GridProtectionAlliance_openPDC\Source\Applications\openPDC\openPDCConsole\ServiceClient.cs","40","5","89","6","0","0","0","0","0","0","0","0","0","0","5","0","0","1","0","0","39","50","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","20","0","0","0","0","1","1","0","5","39","50","0","0","0","0","1","0","0","0","1","20","0","0","0","6","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L1289","CommandItem","MacrodyneController.CommandItem","L1278","L1277","D:\DataCollection\repos\GridProtectionAlliance_openPDC\Source\Tools\MacrodyneController\CommandItem.cs","7","5","33","6","0.2","0","0","0","0","0","0","0","0","0","1","0","1","1","0","0","21","27","0","1","0","0","0","0","1","4","0","4","1","4","0","0","0","0","0","4","0","4","1","1","4","4","0","1","21","27","0","1","0","1","4","0","4","1","4","4","0","4","1","4","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L1306","DataInputItem","MacrodyneController.DataInputItem","L1278","L1277","D:\DataCollection\repos\GridProtectionAlliance_openPDC\Source\Tools\MacrodyneController\DataInputItem.cs","7","5","33","6","0.2","0","0","0","0","0","0","0","0","0","1","0","1","1","0","0","21","27","0","1","0","0","0","0","1","4","0","4","1","4","0","0","0","0","0","4","0","4","1","1","4","4","0","1","21","27","0","1","0","1","4","0","4","1","4","4","0","4","1","4","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L1319","MacrodyneController","MacrodyneController.MacrodyneController","L1278","L1277","D:\DataCollection\repos\GridProtectionAlliance_openPDC\Source\Tools\MacrodyneController\MacrodyneController.cs","30","5","387","6","0","2","0","0.0547773","1","2","0","2","0","0","129","0","8","4","0","0","691","885","0","0","0","0","0","0","0","31","0","1","0","31","0","0","0","4","0","476","0","1","0","0","2","35","0","129","691","885","0","0","0","0","31","0","1","0","31","476","0","1","0","61","0","0","16","0","0","1","6","1","0","0","1","0","8"
"L2216","Program","MacrodyneController.Program","L1278","L1277","D:\DataCollection\repos\GridProtectionAlliance_openPDC\Source\Tools\MacrodyneController\Program.cs","7","5","19","6","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","10","13","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0","3","0","0","0","0","1","2","0","0","10","13","0","0","0","0","1","0","0","0","1","3","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L2454","OracleSetup","ConfigurationSetupUtility.OracleSetup","L2416","L2415","D:\DataCollection\repos\GridProtectionAlliance_openPDC\Source\Tools\ConfigurationSetupUtility\OracleSetup.cs","40","5","412","6","1","0","0","0.148936","2","6","0","2","0.0723861","0.107843","84","0","74","1","27","22","196","373","0","11","0","0","0","0","11","28","0","27","9","28","0","0","0","0","0","113","0","27","9","28","0","28","0","84","196","373","0","11","0","11","28","0","27","9","28","113","0","27","9","52","0","0","16","0","0","0","9","0","0","0","0","0","7"
"L2751","AdvancedSettingsWindow","ConfigurationSetupUtility.AdvancedSettingsWindow","L2416","L2415","D:\DataCollection\repos\GridProtectionAlliance_openPDC\Source\Tools\ConfigurationSetupUtility\AdvancedSettingsWindow.xaml.cs","31","5","79","6","1","0","0","0","0","0","0","0","0","0","8","0","8","1","0","0","18","49","0","0","0","0","0","0","0","2","0","1","0","2","0","0","0","0","0","6","0","1","0","2","0","2","0","8","18","49","0","0","0","0","2","0","1","0","2","6","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2800","PostgresSetup","ConfigurationSetupUtility.PostgresSetup","L2416","L2415","D:\DataCollection\repos\GridProtectionAlliance_openPDC\Source\Tools\ConfigurationSetupUtility\PostgresSetup.cs","38","5","356","6","0.896552","0","0","0.379137","2","15","0","3","0.197492","0.239583","65","0","64","1","63","46","165","319","0","10","0","0","0","0","10","29","0","28","9","29","0","0","0","0","0","92","0","28","9","26","3","29","0","65","165","319","0","10","0","10","29","0","28","9","29","92","0","28","9","53","0","0","34","0","0","0","26","0","0","0","1","0","7"
"L4404","MySqlSetup","ConfigurationSetupUtility.MySqlSetup","L2416","L2415","D:\DataCollection\repos\GridProtectionAlliance_openPDC\Source\Tools\ConfigurationSetupUtility\MySqlSetup.cs","46","5","374","6","0.842105","0","0","0.240128","3","8","0","3","0.170213","0.179825","47","0","38","1","56","41","208","329","0","7","0","0","0","0","7","18","0","18","6","18","0","0","0","0","0","111","0","18","6","16","3","18","0","47","208","329","0","7","0","7","18","0","18","6","18","111","0","18","6","38","0","0","23","0","0","0","19","0","0","0","1","0","3"
