"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DLOC","LDC","LLDC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L2286","Main","openPDC.Program.Main(string[])void","L2281","L2274","D:\DataCollection\repos\GridProtectionAlliance_openPDC\Source\Applications\openPDC\openPDCConsole\Program.cs","30","9","42","10","0","0","0","0","0","0","0","2","0","0","0","9","13","1","0","0","0","0","6","1","0","2","9","13","6","0","0","0","0","0","0","0","0","0","0","0"
"L2316","OnConsoleClosing","openPDC.Program.OnConsoleClosing(object, System.ComponentModel.CancelEventArgs)void","L2281","L2274","D:\DataCollection\repos\GridProtectionAlliance_openPDC\Source\Applications\openPDC\openPDCConsole\Program.cs","44","9","49","10","0","0","0","0","0","0","0","1","0","0","0","5","6","2","0","0","0","0","2","2","0","1","5","6","2","0","0","0","0","0","0","0","0","0","0","0"
"L2322","ClientHelper_ReceivedServiceResponse","openPDC.ServiceClient.ClientHelper_ReceivedServiceResponse(object, GSF.EventArgs<GSF.ServiceProcess.ServiceResponse>)void","L2283","L2274","D:\DataCollection\repos\GridProtectionAlliance_openPDC\Source\Applications\openPDC\openPDCConsole\ServiceClient.cs","42","9","88","10","0","0","0","0","0","0","0","5","0","0","0","36","47","6","0","0","0","0","20","2","0","5","36","47","20","0","0","0","0","0","0","0","0","0","0","0"
"L1294",".ctor","MacrodyneController.CommandItem.CommandItem(GSF.PhasorProtocols.Macrodyne.DeviceCommand)void","L1289","L1277","D:\DataCollection\repos\GridProtectionAlliance_openPDC\Source\Tools\MacrodyneController\CommandItem.cs","11","9","14","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","0","1","1","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L1297","get_Command","MacrodyneController.CommandItem.Command.getGSF.PhasorProtocols.Macrodyne.DeviceCommand","L1289","L1277","D:\DataCollection\repos\GridProtectionAlliance_openPDC\Source\Tools\MacrodyneController\CommandItem.cs","18","13","21","14","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","0","1","0","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L1298","set_Command","MacrodyneController.CommandItem.Command.setvoid","L1289","L1277","D:\DataCollection\repos\GridProtectionAlliance_openPDC\Source\Tools\MacrodyneController\CommandItem.cs","22","13","25","14","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","0","1","1","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L1300","ToString","MacrodyneController.CommandItem.ToString()string","L1289","L1277","D:\DataCollection\repos\GridProtectionAlliance_openPDC\Source\Tools\MacrodyneController\CommandItem.cs","29","9","32","10","0","0","0","0","0","0","0","1","1","0","0","4","4","1","0","0","0","0","1","0","0","1","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L1311",".ctor","MacrodyneController.DataInputItem.DataInputItem(GSF.PhasorProtocols.Macrodyne.DataInputCommand)void","L1306","L1277","D:\DataCollection\repos\GridProtectionAlliance_openPDC\Source\Tools\MacrodyneController\DataInputItem.cs","11","9","14","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","0","1","1","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L1314","get_Command","MacrodyneController.DataInputItem.Command.getGSF.PhasorProtocols.Macrodyne.DataInputCommand","L1306","L1277","D:\DataCollection\repos\GridProtectionAlliance_openPDC\Source\Tools\MacrodyneController\DataInputItem.cs","18","13","21","14","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","0","1","0","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L1315","set_Command","MacrodyneController.DataInputItem.Command.setvoid","L1306","L1277","D:\DataCollection\repos\GridProtectionAlliance_openPDC\Source\Tools\MacrodyneController\DataInputItem.cs","22","13","25","14","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","0","1","1","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
