"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L113","Program","HotUpdateScripts.Program","L104","L103","D:\DataCollection\repos\JasonXuDeveloper_JEngine\UnityProject\HotUpdateScripts\Program.cs","31","5","54","6","0","0","0","0","0","0","0","0","0","0","3","0","0","2","0","0","20","17","0","0","0","0","0","0","0","2","0","2","0","2","0","0","0","0","0","3","0","2","0","0","3","2","0","3","20","24","0","0","0","0","2","0","2","0","2","3","0","2","0","2","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L191","JSaver","JEngine.Core.JSaver","L178","L103","D:\DataCollection\repos\JasonXuDeveloper_JEngine\UnityProject\HotUpdateScripts\JEngine\Core\JSaver.cs","33","5","257","6","0.923077","0","0","0","0","0","0","0","0","0","67","0","67","2","0","0","144","225","0","0","0","0","0","0","0","13","0","12","0","13","0","0","0","0","0","63","0","12","0","12","1","13","0","67","144","225","0","0","0","0","13","0","12","0","13","63","0","12","0","30","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L385","JGameObjectPool","JEngine.Core.JGameObjectPool","L178","L103","D:\DataCollection\repos\JasonXuDeveloper_JEngine\UnityProject\HotUpdateScripts\JEngine\Core\JObjectPool.cs","31","5","99","6","0.5","0","0","0","0","0","0","0","0","0","12","0","12","1","0","0","47","69","0","1","0","0","0","0","1","3","0","1","0","3","0","0","0","0","0","18","0","1","0","1","1","3","0","12","47","69","0","1","0","1","3","0","1","0","3","18","0","1","0","8","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L472","JBehaviour","JEngine.Core.JBehaviour","L178","L103","D:\DataCollection\repos\JasonXuDeveloper_JEngine\UnityProject\HotUpdateScripts\JEngine\Core\JBehaviour.cs","40","5","735","6","0.684211","1","0","0","0","0","0","0","0","0","136","1","119","1","0","0","396","683","0","0","0","0","0","0","0","31","0","18","0","37","1","5","5","0","1","158","0","24","0","13","6","31","0","136","396","696","0","0","0","0","31","0","18","0","37","158","0","24","0","75","0","0","5","0","0","1","0","0","1","0","1","0","3"
"L844","JAction","JEngine.Core.JAction","L178","L103","D:\DataCollection\repos\JasonXuDeveloper_JEngine\UnityProject\HotUpdateScripts\JEngine\Core\JAction.cs","35","5","662","6","0.947368","1","0","0","0","0","0","0","0","0","116","0","113","1","0","0","318","427","0","0","0","0","0","0","0","25","0","18","0","25","0","0","0","9","0","108","0","18","0","18","1","34","0","119","399","628","0","0","0","0","34","0","27","0","34","132","0","27","0","39","0","0","8","0","0","2","0","1","0","0","2","0","5"
"L1213","JPrefab","JEngine.Core.JPrefab","L178","L103","D:\DataCollection\repos\JasonXuDeveloper_JEngine\UnityProject\HotUpdateScripts\JEngine\Core\JPrefab.cs","35","5","318","6","0.714286","0","0","0","0","0","0","0","0","0","56","0","56","1","0","0","177","284","0","0","0","0","0","0","0","17","0","13","0","17","0","0","0","0","0","74","0","13","0","10","4","17","0","56","177","284","0","0","0","0","17","0","13","0","17","74","0","13","0","37","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L1344","Singleton","JEngine.Core.Singleton<T>","L178","L103","D:\DataCollection\repos\JasonXuDeveloper_JEngine\UnityProject\HotUpdateScripts\JEngine\Core\Singleton.cs","33","5","47","6","0.5","0","0","0","0","0","0","0","0","0","4","0","4","0","0","0","12","15","0","1","0","0","0","0","1","2","0","1","0","2","0","0","0","0","0","3","0","1","0","1","1","2","0","4","12","15","0","1","0","1","2","0","1","0","2","3","0","1","0","3","0","0","1","0","0","1","0","0","0","0","1","0","0"
"L1354","MonoSingleton","JEngine.Core.MonoSingleton<T>","L178","L103","D:\DataCollection\repos\JasonXuDeveloper_JEngine\UnityProject\HotUpdateScripts\JEngine\Core\Singleton.cs","53","5","67","6","0.5","0","0","0","0","0","0","0","0","0","4","0","4","0","0","0","12","15","0","1","0","0","0","0","1","2","0","1","0","2","0","0","0","0","0","3","0","1","0","1","1","2","0","4","12","15","0","1","0","1","2","0","1","0","2","3","0","1","0","3","0","0","1","0","0","1","0","0","0","0","1","0","0"
"L1636","JExtensions","JEngine.Core.JExtensions","L178","L103","D:\DataCollection\repos\JasonXuDeveloper_JEngine\UnityProject\HotUpdateScripts\JEngine\Core\JExtensions.cs","33","5","191","6","0.888889","1","0","0","0","0","0","0","0","0","55","0","55","8","0","0","95","159","0","0","0","0","0","0","0","8","0","8","0","8","0","0","0","4","0","34","0","8","0","8","1","12","0","55","95","159","0","0","0","0","8","0","8","0","8","34","0","8","0","23","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L2638","JValidation","JEngine.Core.JValidation","L178","L103","D:\DataCollection\repos\JasonXuDeveloper_JEngine\UnityProject\HotUpdateScripts\JEngine\Core\JValidation.cs","31","5","43","6","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","11","13","0","0","0","0","0","0","0","2","0","2","0","2","0","0","0","0","0","2","0","2","0","0","3","2","0","0","11","13","0","0","0","0","2","0","2","0","2","2","0","2","0","2","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L2649","StringValidation","JEngine.Core.StringValidation","L178","L103","D:\DataCollection\repos\JasonXuDeveloper_JEngine\UnityProject\HotUpdateScripts\JEngine\Core\JValidation.cs","46","5","175","6","1","1","0","0","0","0","0","0","0","0","14","0","14","1","0","0","113","130","0","0","0","0","0","0","0","2","0","2","0","2","0","0","0","1","0","68","0","2","0","3","0","3","0","14","113","130","0","0","0","0","2","0","2","0","2","68","0","2","0","31","0","0","4","0","0","1","0","0","1","0","0","0","3"
"L1376","JEvent","JEngine.Event.JEvent","L1370","L103","D:\DataCollection\repos\JasonXuDeveloper_JEngine\UnityProject\HotUpdateScripts\JEngine\Event\JEvent.cs","37","5","249","6","0.8","3","0","0","0","0","0","0","0","0","34","0","20","2","0","0","154","204","0","1","0","0","0","0","1","6","0","4","0","6","0","0","0","0","0","71","0","4","0","4","1","6","0","34","154","213","0","1","0","1","7","0","5","0","7","71","0","5","0","33","0","0","2","0","0","1","0","1","0","0","1","0","0"
"L1495","SubscriberAttribute","JEngine.Event.SubscriberAttribute","L1370","L103","D:\DataCollection\repos\JasonXuDeveloper_JEngine\UnityProject\HotUpdateScripts\JEngine\Event\EventAttributes.cs","29","5","44","6","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","16","0","0","0","0","0","0","0","2","0","2","0","2","0","0","0","0","0","2","0","2","0","0","3","2","0","0","14","16","0","0","0","0","2","0","2","0","2","2","0","2","0","2","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L1719","OtherClass","JEngine.Examples.OtherClass","L1702","L103","D:\DataCollection\repos\JasonXuDeveloper_JEngine\UnityProject\HotUpdateScripts\JEngine\Examples\Core\ConvertDemo.cs","33","5","33","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L1720","Demo1","JEngine.Examples.Demo1","L1702","L103","D:\DataCollection\repos\JasonXuDeveloper_JEngine\UnityProject\HotUpdateScripts\JEngine\Examples\Core\ConvertDemo.cs","35","5","35","47","0","3","0","0","0","0","0","0","0","0","0","2","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","37","3","0","0","0","3","0","0","24","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","37","0","0","24","0","0","0","0","2","0","0","0","0","0","0","0","1","1","0"
"L1723","Demo2","JEngine.Examples.Demo2","L1702","L103","D:\DataCollection\repos\JasonXuDeveloper_JEngine\UnityProject\HotUpdateScripts\JEngine\Examples\Core\ConvertDemo.cs","37","5","37","47","0","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","2","0","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","1","1","0"
