"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DLOC","LDC","LLDC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L117","SetupGame","HotUpdateScripts.Program.SetupGame()void","L113","L103","D:\DataCollection\repos\JasonXuDeveloper_JEngine\UnityProject\HotUpdateScripts\Program.cs","33","9","46","10","0","0","0","0","0","0","0","1","0","0","0","13","7","1","0","0","0","0","2","0","0","1","13","14","2","0","0","0","0","0","0","0","0","0","0","0"
"L177","RunGame","HotUpdateScripts.Program.RunGame()void","L113","L103","D:\DataCollection\repos\JasonXuDeveloper_JEngine\UnityProject\HotUpdateScripts\Program.cs","48","9","53","10","0","0","0","0","0","0","0","2","0","0","0","4","6","1","0","0","0","0","1","0","0","2","4","6","1","0","0","0","0","0","0","0","0","0","0","0"
"L140","<>f__(void, [object, System.Threading.Tasks.UnobservedTaskExceptionEventArgs])","HotUpdateScripts.Program.SetupGame()void.<>f__(void, [object, System.Threading.Tasks.UnobservedTaskExceptionEventArgs])","L117","L103","D:\DataCollection\repos\JasonXuDeveloper_JEngine\UnityProject\HotUpdateScripts\Program.cs","37","77","45","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L194","AddJSaverKeys","JEngine.Core.JSaver.AddJSaverKeys(string)void","L191","L103","D:\DataCollection\repos\JasonXuDeveloper_JEngine\UnityProject\HotUpdateScripts\JEngine\Core\JSaver.cs","38","9","48","10","0","0","0","0","0","0","0","0","0","0","0","11","11","2","0","0","0","0","6","1","0","0","11","11","6","0","0","0","0","0","0","0","0","0","0","0"
"L243","SaveAsString","JEngine.Core.JSaver.SaveAsString<T>(string, T, string)string","L191","L103","D:\DataCollection\repos\JasonXuDeveloper_JEngine\UnityProject\HotUpdateScripts\JEngine\Core\JSaver.cs","57","9","75","10","0","0","0","0","0","0","0","7","7","0","0","18","19","3","0","0","0","1","11","3","0","7","18","19","11","0","0","0","0","0","0","0","0","0","0","0"
"L272","GetString","JEngine.Core.JSaver.GetString(string, string)string","L191","L103","D:\DataCollection\repos\JasonXuDeveloper_JEngine\UnityProject\HotUpdateScripts\JEngine\Core\JSaver.cs","83","9","116","10","0","0","0","0","0","0","0","6","6","0","0","34","34","6","0","0","0","1","18","2","0","6","34","34","18","0","0","0","0","0","0","0","0","0","0","0"
"L287","GetInt","JEngine.Core.JSaver.GetInt(string, int, string)int","L191","L103","D:\DataCollection\repos\JasonXuDeveloper_JEngine\UnityProject\HotUpdateScripts\JEngine\Core\JSaver.cs","124","9","131","10","0","0","0","0","0","0","0","6","6","0","0","8","8","2","0","0","0","1","3","3","0","6","8","8","3","0","0","0","0","0","0","0","0","0","0","0"
"L297","GetShort","JEngine.Core.JSaver.GetShort(string, short, string)short","L191","L103","D:\DataCollection\repos\JasonXuDeveloper_JEngine\UnityProject\HotUpdateScripts\JEngine\Core\JSaver.cs","139","9","146","10","0","0","0","0","0","0","0","6","6","0","0","8","8","2","0","0","0","1","3","3","0","6","8","8","3","0","0","0","0","0","0","0","0","0","0","0"
"L310","GetLong","JEngine.Core.JSaver.GetLong(string, long, string)long","L191","L103","D:\DataCollection\repos\JasonXuDeveloper_JEngine\UnityProject\HotUpdateScripts\JEngine\Core\JSaver.cs","154","9","161","10","0","0","0","0","0","0","0","6","6","0","0","8","8","2","0","0","0","1","3","3","0","6","8","8","3","0","0","0","0","0","0","0","0","0","0","0"
"L323","GetDecimal","JEngine.Core.JSaver.GetDecimal(string, decimal, string)decimal","L191","L103","D:\DataCollection\repos\JasonXuDeveloper_JEngine\UnityProject\HotUpdateScripts\JEngine\Core\JSaver.cs","169","9","176","10","0","0","0","0","0","0","0","6","6","0","0","8","8","2","0","0","0","1","3","3","0","6","8","8","3","0","0","0","0","0","0","0","0","0","0","0"
