"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L113","Bootstrap","KerbalismBootstrap.Bootstrap","L104","L103","D:\DataCollection\repos\Kerbalism_Kerbalism\src\KerbalismBootstrap\Bootstrap.cs","46","2","179","3","0","2","0","0","0","0","0","0","0","0","13","0","0","1","0","0","96","129","0","2","0","0","0","0","2","6","0","4","2","6","0","0","0","0","0","53","0","4","2","0","5","6","0","13","103","134","0","2","0","2","6","0","4","2","6","53","0","4","2","21","0","0","5","0","0","2","0","0","1","0","2","0","2"
"L220","AddonLoaderWrapper","KerbalismBootstrap.AddonLoaderWrapper","L104","L103","D:\DataCollection\repos\Kerbalism_Kerbalism\src\KerbalismBootstrap\Bootstrap.cs","182","2","210","3","0.5","0","0","0","0","0","0","0","0","0","1","0","1","1","0","0","27","16","0","0","0","0","0","0","0","2","0","1","0","2","0","0","0","0","0","2","0","1","0","1","1","2","0","1","27","29","0","0","0","0","2","0","1","0","2","2","0","1","0","2","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L665","Computer","KERBALISM.Computer","L429","L428","D:\DataCollection\repos\Kerbalism_Kerbalism\src\Kerbalism\Automation\Computer.cs","32","2","364","3","0.571429","61","0","0","0","0","0","0","0","0","45","0","5","1","0","0","245","329","0","0","0","0","0","0","0","6","0","6","0","6","0","0","0","47","0","216","0","6","0","4","3","53","0","45","245","333","0","0","0","0","6","0","6","0","6","216","0","6","0","136","0","0","12","0","0","3","0","0","3","2","1","0","6"
"L841","Device","KERBALISM.Device","L429","L428","D:\DataCollection\repos\Kerbalism_Kerbalism\src\Kerbalism\Automation\Device.cs","8","2","77","3","0.636364","0","0","0","0","0","0","0","0","0","10","0","10","1","0","0","26","59","0","6","0","0","0","0","6","11","0","10","1","11","0","3","38","0","0","4","0","10","1","7","4","11","0","10","38","70","0","6","0","6","12","0","11","1","12","7","0","11","1","12","0","0","3","0","0","0","0","0","0","0","2","0","1"
"L1180","LoadedDevice","KERBALISM.LoadedDevice<T>","L429","L428","D:\DataCollection\repos\Kerbalism_Kerbalism\src\Kerbalism\Automation\Device.cs","79","2","91","3","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","11","13","0","6","0","0","0","0","0","1","0","1","0","12","1","17","17","1","1","1","0","11","1","0","2","2","0","0","11","13","0","6","0","0","1","0","1","0","12","1","0","11","1","1","0","0","2","0","0","0","0","0","0","0","1","1","0"
"L1189","ProtoDevice","KERBALISM.ProtoDevice<T>","L429","L428","D:\DataCollection\repos\Kerbalism_Kerbalism\src\Kerbalism\Automation\Device.cs","93","2","109","3","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","15","17","0","6","0","0","0","0","0","1","0","1","0","12","1","17","17","1","1","3","0","11","1","0","2","2","0","0","15","17","0","6","0","0","1","0","1","0","12","3","0","11","1","1","0","0","2","0","0","0","0","0","0","0","1","1","0"
"L1206","VesselDevice","KERBALISM.VesselDevice","L429","L428","D:\DataCollection\repos\Kerbalism_Kerbalism\src\Kerbalism\Automation\Device.cs","111","2","125","3","0","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","13","15","0","6","0","0","0","0","0","1","0","1","0","12","1","1","1","1","1","2","0","11","1","0","2","2","0","0","13","15","0","6","0","0","1","0","1","0","12","2","0","11","1","1","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L974","AntennaRTDevice","KERBALISM.AntennaRTDevice","L429","L428","D:\DataCollection\repos\Kerbalism_Kerbalism\src\Kerbalism\Automation\Devices\AntennaRT.cs","6","2","25","3","0","4","0","0","0","0","0","0","0","0","0","2","0","2","0","0","13","20","0","7","0","0","0","0","1","4","0","4","0","16","2","0","0","3","1","1","0","15","1","0","5","7","0","0","13","20","0","7","0","1","4","0","4","0","16","1","0","15","1","5","0","0","2","0","0","1","0","1","0","0","1","0","0"
"L1081","ProtoAntennaRTDevice","KERBALISM.ProtoAntennaRTDevice","L429","L428","D:\DataCollection\repos\Kerbalism_Kerbalism\src\Kerbalism\Automation\Devices\AntennaRT.cs","27","2","47","3","0","5","0","0","0","0","0","0","0","0","0","2","0","2","0","0","14","21","0","7","0","0","0","0","1","4","0","4","0","16","2","0","0","3","1","1","0","15","1","0","5","7","0","0","14","21","0","7","0","1","4","0","4","0","16","1","0","15","1","5","0","0","2","0","0","1","0","1","0","0","1","0","0"
"L969","AntennaDevice","KERBALISM.AntennaDevice","L429","L428","D:\DataCollection\repos\Kerbalism_Kerbalism\src\Kerbalism\Automation\Devices\Antenna.cs","8","2","77","3","0.166667","4","0","0","0","0","0","0","0","0","8","2","1","1","0","0","55","70","0","8","0","0","0","0","2","5","0","5","0","17","2","0","0","2","1","25","0","16","1","1","5","7","0","8","55","70","0","8","0","2","5","0","5","0","17","25","0","16","1","23","0","0","1","0","0","1","0","0","0","0","1","0","0"
