"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DLOC","LDC","LLDC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L121","get_Kbins","KerbalismBootstrap.Bootstrap.Kbins.getSystem.Collections.Generic.List<KerbalismBootstrap.Bootstrap.Kbin>","L113","L103","D:\DataCollection\repos\Kerbalism_Kerbalism\src\KerbalismBootstrap\Bootstrap.cs","51","29","51","33","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L131","set_Kbins","KerbalismBootstrap.Bootstrap.Kbins.setvoid","L113","L103","D:\DataCollection\repos\Kerbalism_Kerbalism\src\KerbalismBootstrap\Bootstrap.cs","51","34","51","46","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L136","get_KSPVersion","KerbalismBootstrap.Bootstrap.KSPVersion.getSystem.Version","L113","L103","D:\DataCollection\repos\Kerbalism_Kerbalism\src\KerbalismBootstrap\Bootstrap.cs","52","31","52","35","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L142","set_KSPVersion","KerbalismBootstrap.Bootstrap.KSPVersion.setvoid","L113","L103","D:\DataCollection\repos\Kerbalism_Kerbalism\src\KerbalismBootstrap\Bootstrap.cs","52","36","52","48","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L151","ParseKbinVersion","KerbalismBootstrap.Bootstrap.ParseKbinVersion(System.Xml.XmlNode, string)int","L113","L103","D:\DataCollection\repos\Kerbalism_Kerbalism\src\KerbalismBootstrap\Bootstrap.cs","62","3","65","4","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","0","1","2","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L169","Start","KerbalismBootstrap.Bootstrap.Start()void","L113","L103","D:\DataCollection\repos\Kerbalism_Kerbalism\src\KerbalismBootstrap\Bootstrap.cs","67","3","178","4","0","0","0","0","0","0","0","13","0","0","0","85","112","16","0","0","0","5","52","0","0","13","85","112","52","0","0","3","0","0","2","0","1","0","0","2"
"L379",".cctor","KerbalismBootstrap.AddonLoaderWrapper.AddonLoaderWrapper()void","L220","L103","D:\DataCollection\repos\Kerbalism_Kerbalism\src\KerbalismBootstrap\Bootstrap.cs","187","3","204","4","0","0","0","0","0","0","0","0","0","0","0","18","5","1","0","0","0","0","1","0","0","0","18","18","1","0","0","0","0","0","0","0","0","0","0","0"
"L414","StartAddon","KerbalismBootstrap.AddonLoaderWrapper.StartAddon(AssemblyLoader.LoadedAssembly, System.Type, KSPAddon, KSPAddon.Startup)void","L220","L103","D:\DataCollection\repos\Kerbalism_Kerbalism\src\KerbalismBootstrap\Bootstrap.cs","206","3","209","4","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","0","1","4","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L666",".ctor","KERBALISM.Computer.Computer(ConfigNode)void","L665","L428","D:\DataCollection\repos\Kerbalism_Kerbalism\src\Kerbalism\Automation\Computer.cs","35","3","47","4","0","0","0","0","0","0","0","1","0","0","0","10","13","3","0","0","0","0","5","1","0","1","10","13","5","0","0","0","0","0","0","0","0","0","0","0"
"L692","Save","KERBALISM.Computer.Save(ConfigNode)void","L665","L428","D:\DataCollection\repos\Kerbalism_Kerbalism\src\Kerbalism\Automation\Computer.cs","49","3","58","4","0","0","0","0","0","0","0","2","0","0","0","9","10","3","0","0","0","0","5","1","0","2","9","10","5","0","0","0","0","0","0","0","0","0","0","0"
