"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L116032","KeySelectionForm","Toolbox.KeySelectionForm","L134","L43470","D:\DataCollection\repos\KillzXGaming_Switch-Toolbox\File_Format_Library\GUI\KeySelection.cs","15","5","65","6","0","4","0","0.181651","1","1","0","1","0","0","32","1","8","3","0","0","132","184","0","10","0","0","0","0","0","8","0","1","2","50","1","0","0","4","1","89","0","12","4","0","2","12","0","32","132","184","0","10","0","0","8","0","1","2","50","89","0","12","4","15","0","0","13","0","0","0","10","1","0","0","1","0","1"
"L118647","ApplicationCloseDialog","Toolbox.ApplicationCloseDialog","L134","L118457","D:\DataCollection\repos\KillzXGaming_Switch-Toolbox\Toolbox\GUI\ApplicationCloseDialog.cs","13","5","25","6","0","1","0","0.60596","12","12","0","12","0","0","23","0","8","2","0","0","76","111","0","0","0","0","0","0","0","4","0","1","0","4","0","0","0","0","0","51","0","1","0","0","2","4","0","23","76","111","0","0","0","0","4","0","1","0","4","51","0","1","0","6","0","0","12","0","0","0","10","1","0","0","1","0","0"
"L118670","CreditsWindow","Toolbox.CreditsWindow","L134","L118457","D:\DataCollection\repos\KillzXGaming_Switch-Toolbox\Toolbox\GUI\Credits.cs","13","5","34","6","0","1","0","0","0","0","0","0","0","0","26","0","8","5","0","0","96","139","0","0","0","0","0","0","0","6","0","1","0","6","0","0","0","1","0","64","0","1","0","0","2","7","0","26","96","139","0","0","0","0","6","0","1","0","6","64","0","1","0","8","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L118707","FileAssociationForm","Toolbox.FileAssociationForm","L134","L118457","D:\DataCollection\repos\KillzXGaming_Switch-Toolbox\Toolbox\GUI\FileAssociationForm.cs","19","5","86","6","0","8","0","0.183757","3","3","0","3","0","0","32","1","8","2","0","0","149","199","0","10","0","0","0","0","0","6","0","1","0","48","1","0","0","12","1","91","0","12","2","0","2","18","0","32","149","199","0","10","0","0","6","0","1","0","48","91","0","12","2","15","0","0","13","0","0","0","10","1","0","0","1","0","1"
"L118740","FileAssociation","Toolbox.FileAssociation","L134","L118457","D:\DataCollection\repos\KillzXGaming_Switch-Toolbox\Toolbox\GUI\FileAssociationForm.cs","88","5","94","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","7","0","4","0","0","0","0","4","8","0","8","4","8","0","0","0","0","0","0","0","8","4","0","9","8","0","0","7","7","0","4","0","4","8","0","8","4","8","0","0","8","4","8","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L118737","FileAssociations","Toolbox.FileAssociations","L134","L118457","D:\DataCollection\repos\KillzXGaming_Switch-Toolbox\Toolbox\GUI\FileAssociationForm.cs","96","5","158","6","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","55","63","0","0","0","0","0","0","0","5","0","3","0","5","0","0","0","8","0","17","0","3","0","0","4","13","0","0","55","63","0","0","0","0","5","0","3","0","5","17","0","3","0","8","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L118826","GithubIssueDialog","Toolbox.GithubIssueDialog","L134","L118457","D:\DataCollection\repos\KillzXGaming_Switch-Toolbox\Toolbox\GUI\GithubIssueDialog.cs","15","5","60","6","0","6","0","0.527989","24","24","0","24","0","0","41","1","8","3","0","0","151","212","0","10","0","0","0","0","0","6","0","2","0","48","1","0","0","10","1","111","0","13","2","0","3","16","0","41","151","212","0","10","0","0","6","0","2","0","48","111","0","13","2","11","0","0","14","0","0","1","10","1","0","0","1","0","2"
"L118897","GithubUpdateDialog","Toolbox.GithubUpdateDialog","L134","L118457","D:\DataCollection\repos\KillzXGaming_Switch-Toolbox\Toolbox\GUI\GithubUpdateDialog.cs","15","5","41","6","0","5","0","0.37448","3","3","0","3","0","0","38","1","8","2","0","0","136","188","0","10","0","0","0","0","0","5","0","2","0","47","1","0","0","5","1","94","0","13","2","0","3","10","0","38","136","188","0","10","0","0","5","0","2","0","47","94","0","13","2","9","0","0","14","0","0","1","10","1","0","0","1","0","2"
"L118958","HashCalculatorForm","Toolbox.HashCalculatorForm","L134","L118457","D:\DataCollection\repos\KillzXGaming_Switch-Toolbox\Toolbox\GUI\HashCalculatorForm.cs","15","5","349","6","0","12","0","0.594627","126","131","0","131","0","0","84","1","8","2","0","0","521","656","0","10","0","0","0","0","0","19","0","4","0","61","1","0","0","18","1","369","0","15","2","0","5","37","0","84","521","667","0","10","0","0","19","0","4","0","61","369","0","15","2","72","0","0","28","0","0","2","12","1","1","2","1","0","11"
"L119101","PluginManager","Toolbox.PluginManager","L134","L118457","D:\DataCollection\repos\KillzXGaming_Switch-Toolbox\Toolbox\GUI\PluginManager.cs","14","5","34","6","0","1","0","0","0","0","0","0","0","0","23","0","8","1","0","0","72","108","0","0","0","0","0","0","0","3","0","1","0","3","0","0","0","1","0","46","0","1","0","0","2","4","0","23","72","108","0","0","0","0","3","0","1","0","3","46","0","1","0","6","0","0","1","0","0","0","0","0","0","0","1","0","0"
