"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DLOC","LDC","LLDC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L419","StringToWords","Program.StringToWords(string)System.Collections.Generic.List<string>","L417","L103","D:\DataCollection\repos\Koziev_NLP_Datasets\ParaphraseDetection\Code\DuplicateSearch_MinHashing\DuplicateSearch_MinHashing.cs","15","5","37","6","0","0","0","0","0","0","0","0","0","0","0","19","23","4","0","0","0","3","9","1","0","0","19","23","9","0","0","0","0","0","0","0","0","0","0","0"
"L454","SetsAreEqual","Program.SetsAreEqual(System.Collections.Generic.List<string>, System.Collections.Generic.List<string>)bool","L417","L103","D:\DataCollection\repos\Koziev_NLP_Datasets\ParaphraseDetection\Code\DuplicateSearch_MinHashing\DuplicateSearch_MinHashing.cs","40","5","65","6","0","0","0","0","0","0","0","0","0","0","0","22","26","6","0","0","0","0","9","2","0","0","22","26","9","0","0","0","0","0","0","0","0","0","0","0"
"L465","NormalizeSent","Program.NormalizeSent(string)string","L417","L103","D:\DataCollection\repos\Koziev_NLP_Datasets\ParaphraseDetection\Code\DuplicateSearch_MinHashing\DuplicateSearch_MinHashing.cs","67","5","77","6","0","0","0","0","0","0","0","0","0","0","0","9","11","2","0","0","0","0","4","1","0","0","9","11","4","0","0","0","0","0","0","0","0","0","0","0"
"L482","Main","Program.Main(string[])void","L417","L103","D:\DataCollection\repos\Koziev_NLP_Datasets\ParaphraseDetection\Code\DuplicateSearch_MinHashing\DuplicateSearch_MinHashing.cs","79","5","264","6","0","0","0","0","0","0","0","25","0","0","0","116","186","19","0","0","0","10","75","1","0","25","116","186","75","0","0","5","0","0","1","0","1","0","0","4"
"L117","CalcJackardSim","SetSimilarity2.Tools.CalcJackardSim(System.Collections.Generic.HashSet<int>, System.Collections.Generic.HashSet<int>)double","L113","L103","D:\DataCollection\repos\Koziev_NLP_Datasets\ParaphraseDetection\Code\DuplicateSearch_MinHashing\MinHash2.cs","12","9","15","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","0","1","2","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L153","NormalizeStr","SetSimilarity2.Tools.NormalizeStr(string)string","L113","L103","D:\DataCollection\repos\Koziev_NLP_Datasets\ParaphraseDetection\Code\DuplicateSearch_MinHashing\MinHash2.cs","17","9","45","10","0","0","0","0","0","0","0","17","0","0","0","10","29","2","0","0","0","0","5","1","0","17","10","29","5","0","0","0","0","0","0","0","0","0","0","0"
"L212",".ctor","SetSimilarity2.MinHash.MinHash(int)void","L184","L103","D:\DataCollection\repos\Koziev_NLP_Datasets\ParaphraseDetection\Code\DuplicateSearch_MinHashing\MinHash2.cs","56","9","71","10","0","0","0","0","0","0","0","0","0","0","0","14","16","2","0","0","0","0","9","1","0","0","14","16","9","0","0","0","0","0","0","0","0","0","0","0"
"L262","GetABC","SetSimilarity2.MinHash.GetABC()string","L184","L103","D:\DataCollection\repos\Koziev_NLP_Datasets\ParaphraseDetection\Code\DuplicateSearch_MinHashing\MinHash2.cs","73","9","92","10","0","0","0","0","0","0","0","0","0","0","0","16","20","2","0","0","0","0","11","0","0","0","16","20","11","0","0","0","0","0","0","0","0","0","0","0"
"L249","QHash","SetSimilarity2.MinHash.QHash(uint, uint, uint, uint, uint)int","L184","L103","D:\DataCollection\repos\Koziev_NLP_Datasets\ParaphraseDetection\Code\DuplicateSearch_MinHashing\MinHash2.cs","95","9","100","10","0","0","0","0","0","0","0","1","0","0","0","5","6","1","0","0","0","0","2","5","0","1","5","6","2","0","0","0","0","0","0","0","0","0","0","0"
"L307","GetSignatureMatrix","SetSimilarity2.MinHash.GetSignatureMatrix(System.Collections.Generic.List<System.Collections.Generic.HashSet<int>>)int[*,*]","L184","L103","D:\DataCollection\repos\Koziev_NLP_Datasets\ParaphraseDetection\Code\DuplicateSearch_MinHashing\MinHash2.cs","102","9","127","10","0","0","0","0","0","0","0","1","0","0","0","23","26","5","0","0","0","1","11","1","0","1","23","26","11","0","0","0","0","0","0","0","0","0","0","0"
"L322","ComputeSimilarity","SetSimilarity2.MinHash.ComputeSimilarity(int[*,*], int, int)double","L184","L103","D:\DataCollection\repos\Koziev_NLP_Datasets\ParaphraseDetection\Code\DuplicateSearch_MinHashing\MinHash2.cs","129","9","142","10","0","0","0","0","0","0","0","0","0","0","0","12","14","3","0","0","0","0","5","3","0","0","12","14","5","0","0","0","0","0","0","0","0","0","0","0"
"L341",".ctor","SetSimilarity2.LSH.LSH(int[*,*], System.Collections.Generic.List<System.Collections.Generic.HashSet<int>>)void","L330","L103","D:\DataCollection\repos\Koziev_NLP_Datasets\ParaphraseDetection\Code\DuplicateSearch_MinHashing\MinHash2.cs","156","9","195","10","0","0","0","0","0","0","0","2","0","0","0","33","40","6","0","0","0","0","17","2","0","2","33","40","17","0","0","0","0","0","0","0","0","0","0","0"
