"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L501","HarmonyDontPatchAllAttribute","MelonLoader.HarmonyDontPatchAllAttribute","L114","L103","D:\DataCollection\repos\LavaGang_MelonLoader\MelonLoader\Attributes\HarmonyDontPatchAllAttribute.cs","5","5","6","104","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","1","0","0","2","1","0","0","2","2","0","0","0","0","1","0","1","0","1","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L506","MelonAdditionalCreditsAttribute","MelonLoader.MelonAdditionalCreditsAttribute","L114","L103","D:\DataCollection\repos\LavaGang_MelonLoader\MelonLoader\Attributes\MelonAdditionalCreditsAttribute.cs","4","5","18","6","0.666667","0","0","0","0","0","0","0","0","0","7","0","7","0","0","0","7","15","0","1","0","0","0","0","1","3","0","2","1","3","0","0","0","0","0","1","0","2","1","2","1","3","0","7","7","15","0","1","0","1","3","0","2","1","3","1","0","2","1","3","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L517","MelonAdditionalDependenciesAttribute","MelonLoader.MelonAdditionalDependenciesAttribute","L114","L103","D:\DataCollection\repos\LavaGang_MelonLoader\MelonLoader\Attributes\MelonAdditionalDependenciesAttribute.cs","5","5","14","6","0.333333","0","0","0","0","0","0","0","0","0","3","0","3","0","0","0","6","10","0","1","0","0","0","0","1","3","0","2","1","3","0","0","0","0","0","1","0","2","1","1","2","3","0","3","6","10","0","1","0","1","3","0","2","1","3","1","0","2","1","3","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L529","MelonAuthorColorAttribute","MelonLoader.MelonAuthorColorAttribute","L114","L103","D:\DataCollection\repos\LavaGang_MelonLoader\MelonLoader\Attributes\MelonAuthorColorAttribute.cs","7","5","37","6","0.125","0","0","0","0","0","0","0","0","0","3","0","3","0","0","0","18","31","0","2","0","0","0","0","2","8","0","7","2","8","0","0","0","0","0","0","0","7","2","1","7","8","0","3","18","31","0","2","0","2","8","0","7","2","8","0","0","7","2","9","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L560","MelonColorAttribute","MelonLoader.MelonColorAttribute","L114","L103","D:\DataCollection\repos\LavaGang_MelonLoader\MelonLoader\Attributes\MelonColorAttribute.cs","7","5","37","6","0.125","0","0","0","0","0","0","0","0","0","3","0","3","0","0","0","18","31","0","2","0","0","0","0","2","8","0","7","2","8","0","0","0","0","0","0","0","7","2","1","7","8","0","3","18","31","0","2","0","2","8","0","7","2","8","0","0","7","2","9","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L581","MelonGameAttribute","MelonLoader.MelonGameAttribute","L114","L103","D:\DataCollection\repos\LavaGang_MelonLoader\MelonLoader\Attributes\MelonGameAttribute.cs","5","5","48","6","0.5","2","0","0","0","0","0","0","0","0","15","0","15","7","0","0","19","44","0","3","0","0","0","0","3","13","0","11","2","13","0","2","2","0","0","2","0","11","2","6","6","13","0","15","19","44","0","3","0","3","13","0","11","2","13","2","0","11","2","36","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L628","MelonGameVersionAttribute","MelonLoader.MelonGameVersionAttribute","L114","L103","D:\DataCollection\repos\LavaGang_MelonLoader\MelonLoader\Attributes\MelonGameVersionAttribute.cs","5","5","20","6","0.5","0","0","0","0","0","0","0","0","0","6","0","6","0","0","0","8","16","0","2","0","0","0","0","2","4","0","3","1","4","0","0","0","0","0","0","0","3","1","2","2","4","0","6","8","16","0","2","0","2","4","0","3","1","4","0","0","3","1","4","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L640","MelonIDAttribute","MelonLoader.MelonIDAttribute","L114","L103","D:\DataCollection\repos\LavaGang_MelonLoader\MelonLoader\Attributes\MelonIDAttribute.cs","5","5","15","6","0.25","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","9","11","0","1","0","0","0","0","1","4","0","3","1","4","0","0","0","0","0","0","0","3","1","1","3","4","0","1","9","11","0","1","0","1","4","0","3","1","4","0","0","3","1","4","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L651","MelonIncompatibleAssembliesAttribute","MelonLoader.MelonIncompatibleAssembliesAttribute","L114","L103","D:\DataCollection\repos\LavaGang_MelonLoader\MelonLoader\Attributes\MelonIncompatibleAssembliesAttribute.cs","5","5","14","6","0.333333","0","0","0","0","0","0","0","0","0","3","0","3","0","0","0","6","10","0","1","0","0","0","0","1","3","0","2","1","3","0","0","0","0","0","1","0","2","1","1","2","3","0","3","6","10","0","1","0","1","3","0","2","1","3","1","0","2","1","3","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L661","MelonInfoAttribute","MelonLoader.MelonInfoAttribute","L114","L103","D:\DataCollection\repos\LavaGang_MelonLoader\MelonLoader\Attributes\MelonInfoAttribute.cs","6","5","92","6","0.9","1","0","0","0","0","0","0","0","0","48","0","47","0","0","0","29","87","0","6","0","0","0","0","6","15","0","9","6","15","0","2","2","1","0","11","0","9","6","9","1","16","0","48","29","87","0","6","0","6","15","0","9","6","15","11","0","9","6","21","0","0","5","0","0","2","0","0","0","0","1","0","4"
"L738","MelonOptionalDependenciesAttribute","MelonLoader.MelonOptionalDependenciesAttribute","L114","L103","D:\DataCollection\repos\LavaGang_MelonLoader\MelonLoader\Attributes\MelonOptionalDependenciesAttribute.cs","5","5","14","6","0.333333","0","0","0","0","0","0","0","0","0","3","0","3","0","0","0","6","10","0","1","0","0","0","0","1","3","0","2","1","3","0","0","0","0","0","1","0","2","1","1","2","3","0","3","6","10","0","1","0","1","3","0","2","1","3","1","0","2","1","3","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L748","MelonPlatformAttribute","MelonLoader.MelonPlatformAttribute","L114","L103","D:\DataCollection\repos\LavaGang_MelonLoader\MelonLoader\Attributes\MelonPlatformAttribute.cs","6","5","24","6","0.25","1","0","0","0","0","0","0","0","0","1","0","1","1","0","0","8","15","0","1","0","0","0","0","1","4","0","3","1","4","0","0","0","0","0","0","0","3","1","1","3","4","0","1","13","19","0","1","0","1","4","0","3","1","4","0","0","3","1","6","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L770","MelonPlatformDomainAttribute","MelonLoader.MelonPlatformDomainAttribute","L114","L103","D:\DataCollection\repos\LavaGang_MelonLoader\MelonLoader\Attributes\MelonPlatformDomainAttribute.cs","5","5","23","6","0.25","1","0","0","0","0","0","0","0","0","1","0","1","1","0","0","8","15","0","1","0","0","0","0","1","4","0","3","1","4","0","0","0","0","0","0","0","3","1","1","3","4","0","1","13","19","0","1","0","1","4","0","3","1","4","0","0","3","1","6","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L788","MelonPriorityAttribute","MelonLoader.MelonPriorityAttribute","L114","L103","D:\DataCollection\repos\LavaGang_MelonLoader\MelonLoader\Attributes\MelonPriorityAttribute.cs","5","5","14","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","10","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","1","0","0","2","1","0","0","6","10","0","0","0","0","1","0","1","0","1","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L792","MelonProcessAttribute","MelonLoader.MelonProcessAttribute","L114","L103","D:\DataCollection\repos\LavaGang_MelonLoader\MelonLoader\Attributes\MelonProcessAttribute.cs","5","5","31","6","0.5","0","0","0","0","0","0","0","0","0","6","0","6","2","0","0","12","27","0","1","0","0","0","0","1","5","0","3","1","5","0","0","0","0","0","0","0","3","1","2","2","5","0","6","12","27","0","1","0","1","5","0","3","1","5","0","0","3","1","9","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L806","PatchShield","MelonLoader.PatchShield","L114","L103","D:\DataCollection\repos\LavaGang_MelonLoader\MelonLoader\Attributes\PatchShield.cs","9","2","61","3","0","1","0","0","0","0","0","0","0","0","0","0","0","5","0","0","45","53","0","0","0","0","0","0","0","6","0","0","0","6","0","1","1","0","0","17","0","0","0","0","1","6","0","0","45","53","0","0","0","0","6","0","0","0","6","17","0","0","0","13","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L855","RegisterTypeInIl2Cpp","MelonLoader.RegisterTypeInIl2Cpp","L114","L103","D:\DataCollection\repos\LavaGang_MelonLoader\MelonLoader\Attributes\RegisterTypeInIl2Cpp.cs","8","5","56","6","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","41","49","0","0","0","0","0","0","0","4","0","3","0","4","0","0","0","3","0","23","0","3","0","0","4","7","0","0","41","49","0","0","0","0","4","0","3","0","4","23","0","3","0","14","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L894","VerifyLoaderBuildAttribute","MelonLoader.VerifyLoaderBuildAttribute","L114","L103","D:\DataCollection\repos\LavaGang_MelonLoader\MelonLoader\Attributes\VerifyLoaderBuildAttribute.cs","5","5","17","6","0.25","0","0","0","0","0","0","0","0","0","3","0","3","1","0","0","8","13","0","1","0","0","0","0","1","4","0","3","1","4","0","0","0","0","0","1","0","3","1","1","3","4","0","3","8","13","0","1","0","1","4","0","3","1","4","1","0","3","1","6","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L906","VerifyLoaderVersionAttribute","MelonLoader.VerifyLoaderVersionAttribute","L114","L103","D:\DataCollection\repos\LavaGang_MelonLoader\MelonLoader\Attributes\VerifyLoaderVersionAttribute.cs","6","5","50","6","0.384615","1","0","0","0","0","0","0","0","0","15","0","15","2","0","0","22","45","0","5","0","0","0","0","5","14","0","12","2","14","0","0","0","2","0","2","0","12","2","5","8","16","0","15","22","45","0","5","0","5","14","0","12","2","14","2","0","12","2","18","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L1584","bHaptics","MelonLoader.bHaptics","L114","L103","D:\DataCollection\repos\LavaGang_MelonLoader\MelonLoader\BackwardsCompatibility\Melon\bHaptics.cs","8","5","257","6","0","8","0","0","0","0","0","0","0","0","0","0","0","24","0","0","138","158","0","1","0","0","0","0","1","25","0","24","0","25","0","0","0","3","0","3","0","24","0","0","25","28","0","0","204","250","0","1","0","1","33","0","32","0","33","15","0","32","0","28","0","0","11","0","0","0","0","1","0","0","6","0","4"
"L1800","Imports","MelonLoader.Imports","L114","L103","D:\DataCollection\repos\LavaGang_MelonLoader\MelonLoader\BackwardsCompatibility\Melon\Imports.cs","6","5","27","6","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","22","22","0","0","0","0","0","0","0","9","0","9","0","9","0","0","0","0","0","0","0","9","0","0","10","9","0","0","22","22","0","0","0","0","9","0","9","0","9","0","0","9","0","9","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L1817","Main","MelonLoader.Main","L114","L103","D:\DataCollection\repos\LavaGang_MelonLoader\MelonLoader\BackwardsCompatibility\Melon\Main.cs","7","5","20","6","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","14","14","0","0","0","0","0","0","0","2","0","2","0","2","0","0","0","0","0","0","0","2","0","0","3","2","0","0","14","14","0","0","0","0","2","0","2","0","2","0","0","2","0","2","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L1835","MelonConsole","MelonLoader.MelonConsole","L114","L103","D:\DataCollection\repos\LavaGang_MelonLoader\MelonLoader\BackwardsCompatibility\Melon\MelonConsole.cs","5","5","10","6","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","6","6","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","1","0","0","2","1","0","0","6","6","0","0","0","0","1","0","1","0","1","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L1838","MelonLoaderBase","MelonLoader.MelonLoaderBase","L114","L103","D:\DataCollection\repos\LavaGang_MelonLoader\MelonLoader\BackwardsCompatibility\Melon\MelonLoaderBase.cs","6","5","13","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","8","0","2","0","0","0","0","2","2","0","2","0","2","0","0","0","0","0","0","0","2","0","0","3","2","0","0","8","8","0","2","0","2","2","0","2","0","2","0","0","2","0","2","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L616","MelonModGameAttribute","MelonLoader.MelonModGameAttribute","L114","L103","D:\DataCollection\repos\LavaGang_MelonLoader\MelonLoader\BackwardsCompatibility\Melon\MelonModGameAttribute.cs","5","5","15","6","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","11","11","0","3","0","0","0","0","0","1","0","1","0","14","1","0","0","1","1","0","0","12","2","0","2","2","0","0","11","11","0","3","0","0","1","0","1","0","14","0","0","12","2","1","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L1849","MelonModInfoAttribute","MelonLoader.MelonModInfoAttribute","L114","L103","D:\DataCollection\repos\LavaGang_MelonLoader\MelonLoader\BackwardsCompatibility\Melon\MelonModInfoAttribute.cs","5","5","21","6","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","17","17","0","6","0","0","0","0","0","1","0","1","0","16","1","0","0","1","1","0","0","10","6","0","2","2","0","0","17","17","0","6","0","0","1","0","1","0","16","0","0","10","6","1","0","0","1","0","0","0","0","0","0","0","1","0","0"
