"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DLOC","LDC","LLDC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L505",".ctor","MelonLoader.HarmonyDontPatchAllAttribute.HarmonyDontPatchAllAttribute()void","L501","L103","D:\DataCollection\repos\LavaGang_MelonLoader\MelonLoader\Attributes\HarmonyDontPatchAllAttribute.cs","6","61","6","102","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L507","get_Credits","MelonLoader.MelonAdditionalCreditsAttribute.Credits.getstring","L506","L103","D:\DataCollection\repos\LavaGang_MelonLoader\MelonLoader\Attributes\MelonAdditionalCreditsAttribute.cs","9","33","9","37","0","0","0","0","0","0","0","3","3","0","0","1","1","1","0","0","0","0","0","0","0","3","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L511","set_Credits","MelonLoader.MelonAdditionalCreditsAttribute.Credits.setvoid","L506","L103","D:\DataCollection\repos\LavaGang_MelonLoader\MelonLoader\Attributes\MelonAdditionalCreditsAttribute.cs","9","38","9","51","0","0","0","0","0","0","0","3","3","0","0","1","1","1","0","0","0","0","0","1","0","3","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L513",".ctor","MelonLoader.MelonAdditionalCreditsAttribute.MelonAdditionalCreditsAttribute(string)void","L506","L103","D:\DataCollection\repos\LavaGang_MelonLoader\MelonLoader\Attributes\MelonAdditionalCreditsAttribute.cs","15","9","17","10","0","0","0","0","0","0","0","4","4","0","0","3","3","1","0","0","0","1","1","1","0","4","3","3","1","0","0","0","0","0","0","0","0","0","0","0"
"L518","get_AssemblyNames","MelonLoader.MelonAdditionalDependenciesAttribute.AssemblyNames.getstring[]","L517","L103","D:\DataCollection\repos\LavaGang_MelonLoader\MelonLoader\Attributes\MelonAdditionalDependenciesAttribute.cs","11","41","11","45","0","0","0","0","0","0","0","3","3","0","0","1","1","1","0","0","0","0","0","0","0","3","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L524","set_AssemblyNames","MelonLoader.MelonAdditionalDependenciesAttribute.AssemblyNames.setvoid","L517","L103","D:\DataCollection\repos\LavaGang_MelonLoader\MelonLoader\Attributes\MelonAdditionalDependenciesAttribute.cs","11","46","11","59","0","0","0","0","0","0","0","3","3","0","0","1","1","1","0","0","0","0","0","1","0","3","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L526",".ctor","MelonLoader.MelonAdditionalDependenciesAttribute.MelonAdditionalDependenciesAttribute(params string[])void","L517","L103","D:\DataCollection\repos\LavaGang_MelonLoader\MelonLoader\Attributes\MelonAdditionalDependenciesAttribute.cs","13","9","13","118","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","1","1","1","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0"
"L530","get_Color","MelonLoader.MelonAuthorColorAttribute.Color.getConsoleColor","L529","L103","D:\DataCollection\repos\LavaGang_MelonLoader\MelonLoader\Attributes\MelonAuthorColorAttribute.cs","16","13","16","73","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L536","set_Color","MelonLoader.MelonAuthorColorAttribute.Color.setvoid","L529","L103","D:\DataCollection\repos\LavaGang_MelonLoader\MelonLoader\Attributes\MelonAuthorColorAttribute.cs","17","13","17","81","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L538","get_DrawingColor","MelonLoader.MelonAuthorColorAttribute.DrawingColor.getColor","L529","L103","D:\DataCollection\repos\LavaGang_MelonLoader\MelonLoader\Attributes\MelonAuthorColorAttribute.cs","23","37","23","41","0","0","0","0","0","0","0","3","3","0","0","1","1","1","0","0","0","0","0","0","0","3","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L545","set_DrawingColor","MelonLoader.MelonAuthorColorAttribute.DrawingColor.setvoid","L529","L103","D:\DataCollection\repos\LavaGang_MelonLoader\MelonLoader\Attributes\MelonAuthorColorAttribute.cs","23","42","23","55","0","0","0","0","0","0","0","3","3","0","0","1","1","1","0","0","0","0","0","1","0","3","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L547",".ctor","MelonLoader.MelonAuthorColorAttribute.MelonAuthorColorAttribute()void","L529","L103","D:\DataCollection\repos\LavaGang_MelonLoader\MelonLoader\Attributes\MelonAuthorColorAttribute.cs","25","9","26","60","0","0","0","0","0","0","0","0","0","0","0","2","2","1","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L548",".ctor","MelonLoader.MelonAuthorColorAttribute.MelonAuthorColorAttribute(Color)void","L529","L103","D:\DataCollection\repos\LavaGang_MelonLoader\MelonLoader\Attributes\MelonAuthorColorAttribute.cs","28","9","29","44","0","0","0","0","0","0","0","0","0","0","0","2","2","1","0","0","0","0","0","1","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0"
