"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L5125","BigEndianBinaryReader","DvdLib.BigEndianBinaryReader","L5108","L5107","D:\DataCollection\repos\MediaBrowser_Emby\DvdLib\BigEndianBinaryReader.cs","9","5","32","6","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","21","24","0","0","0","0","0","0","0","4","0","3","0","4","0","0","0","0","0","5","0","3","0","0","4","4","0","0","21","24","0","0","0","0","4","0","3","0","4","5","0","3","0","4","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L21079","DeviceAvailableEventArgs","Rssdp.DeviceAvailableEventArgs","L21056","L21055","D:\DataCollection\repos\MediaBrowser_Emby\RSSDP\DeviceAvailableEventArgs.cs","12","2","61","3","0.666667","1","0","0","0","0","0","0","0","0","15","0","15","0","0","0","15","50","0","3","0","0","0","0","3","5","0","5","1","5","0","0","0","0","0","6","0","5","1","4","2","5","0","15","15","50","0","3","0","3","5","0","5","1","5","6","0","5","1","6","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L21104","DeviceEventArgs","Rssdp.DeviceEventArgs","L21056","L21055","D:\DataCollection\repos\MediaBrowser_Emby\RSSDP\DeviceEventArgs.cs","10","2","47","3","1","1","0","0","0","0","0","0","0","0","11","0","11","0","0","0","11","38","0","1","0","0","0","0","1","2","0","2","0","2","0","0","0","0","0","4","0","2","0","3","0","2","0","11","11","38","0","1","0","1","2","0","2","0","2","4","0","2","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L21116","DeviceUnavailableEventArgs","Rssdp.DeviceUnavailableEventArgs","L21056","L21055","D:\DataCollection\repos\MediaBrowser_Emby\RSSDP\DeviceUnavailableEventArgs.cs","11","2","58","3","1","1","0","0","0","0","0","0","0","0","15","0","15","0","0","0","14","48","0","2","0","0","0","0","2","3","0","3","0","3","0","0","0","0","0","6","0","3","0","4","0","3","0","15","14","48","0","2","0","2","3","0","3","0","3","6","0","3","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L21090","DiscoveredSsdpDevice","Rssdp.DiscoveredSsdpDevice","L21056","L21055","D:\DataCollection\repos\MediaBrowser_Emby\RSSDP\DiscoveredSsdpDevice.cs","15","2","95","3","1","1","0","0","0","0","0","0","0","0","31","0","31","2","0","0","28","81","0","6","0","0","0","0","6","14","0","14","6","14","0","0","0","0","0","6","0","14","6","15","0","14","0","31","28","81","0","6","0","6","14","0","14","6","14","6","0","14","6","16","0","0","3","0","0","0","0","1","0","0","0","0","2"
"L21107","SsdpDevice","Rssdp.SsdpDevice","L21056","L21055","D:\DataCollection\repos\MediaBrowser_Emby\RSSDP\SsdpDevice.cs","19","5","356","6","0.921053","4","0","0","0","0","0","0","0","0","133","0","133","1","0","0","126","338","0","18","0","0","0","0","18","41","0","37","17","41","0","2","2","3","0","49","0","37","17","35","3","44","0","133","126","338","0","18","0","18","41","0","37","17","41","49","0","37","17","57","0","0","11","0","0","0","0","0","0","0","1","0","10"
"L21954","SsdpEmbeddedDevice","Rssdp.SsdpEmbeddedDevice","L21056","L21055","D:\DataCollection\repos\MediaBrowser_Emby\RSSDP\SsdpEmbeddedDevice.cs","10","2","56","3","1","2","0","0","0","0","0","0","0","0","9","1","9","0","0","0","23","47","0","19","0","0","0","0","1","3","0","2","1","44","1","0","0","1","1","5","0","39","18","3","0","4","0","9","23","47","0","19","0","1","3","0","2","1","44","5","0","39","18","4","0","0","2","0","0","0","0","0","0","0","0","0","2"
"L21132","SsdpRootDevice","Rssdp.SsdpRootDevice","L21056","L21055","D:\DataCollection\repos\MediaBrowser_Emby\RSSDP\SsdpRootDevice.cs","16","2","78","3","1","1","0","0","0","0","0","0","0","0","27","1","27","0","0","0","19","63","0","21","0","0","0","0","3","7","0","7","3","48","1","0","0","1","1","2","0","44","20","8","0","8","0","27","19","63","0","21","0","3","7","0","7","3","48","2","0","44","20","8","0","0","2","0","0","0","0","0","0","0","0","0","2"
"L30164","GenericPriorityQueue","Priority_Queue.GenericPriorityQueue<TItem, TPriority>","L30157","L29181","D:\DataCollection\repos\MediaBrowser_Emby\MediaBrowser.Providers\Manager\GenericPriorityQueue.cs","16","5","414","6","0.642857","3","0","0","0","0","0","0","0","0","61","2","43","1","0","0","256","399","0","6","0","0","0","0","3","19","0","13","0","29","2","0","0","6","2","122","0","23","0","9","5","25","0","61","256","399","0","6","0","3","19","0","13","0","29","122","0","23","0","58","0","0","2","0","0","0","0","0","0","0","1","1","0"
"L30183","GenericPriorityQueueNode","Priority_Queue.GenericPriorityQueueNode<TPriority>","L30157","L29181","D:\DataCollection\repos\MediaBrowser_Emby\MediaBrowser.Providers\Manager\GenericPriorityQueueNode.cs","9","5","26","6","1","0","0","0","0","0","0","0","0","0","11","0","11","0","0","0","6","18","0","3","0","0","0","0","3","6","0","3","3","6","0","1","1","0","0","0","0","3","3","4","0","6","0","11","6","18","0","3","0","3","6","0","3","3","6","0","0","3","3","6","0","0","0","0","0","0","0","0","0","0","0","0","0"
