"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L625","BitmapWrapper","quick_picture_viewer.BitmapWrapper","L119","L103","D:\DataCollection\repos\ModuleArt_quick-picture-viewer\quick-picture-viewer\typewrappers\BitmapWrapper.cs","7","2","31","3","0","3","0","0","0","0","0","0","0","0","0","1","0","1","0","0","24","25","0","0","0","0","0","0","0","2","0","2","0","3","1","0","0","2","1","4","0","3","0","0","3","4","0","0","24","25","0","0","0","0","2","0","2","0","3","4","0","3","0","3","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L670","Cr2Wrapper","quick_picture_viewer.Cr2Wrapper","L119","L103","D:\DataCollection\repos\ModuleArt_quick-picture-viewer\quick-picture-viewer\typewrappers\Cr2Wrapper.cs","9","2","120","3","0","4","0","0","0","0","0","0","0","0","8","1","0","2","0","0","100","112","0","0","0","0","0","0","0","4","0","2","0","5","1","0","0","3","1","42","0","3","0","0","3","7","0","8","100","112","0","0","0","0","4","0","2","0","5","42","0","3","0","18","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L749","PartialStream","quick_picture_viewer.PartialStream","L119","L103","D:\DataCollection\repos\ModuleArt_quick-picture-viewer\quick-picture-viewer\typewrappers\Cr2Wrapper.cs","122","5","272","6","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","98","151","0","8","0","0","0","0","8","30","0","28","3","30","0","0","0","0","0","36","0","28","3","0","29","30","0","0","98","151","0","8","0","8","30","0","28","3","30","36","0","28","3","32","0","0","6","0","0","0","0","1","0","0","1","0","4"
"L1040","CustomJumplist","quick_picture_viewer.CustomJumplist","L119","L103","D:\DataCollection\repos\ModuleArt_quick-picture-viewer\quick-picture-viewer\helpers\CustomJumplist.cs","6","5","23","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","18","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","3","0","1","0","0","2","1","0","0","16","18","0","0","0","0","1","0","1","0","1","3","0","1","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L1087","CustomOpenFolderDialog","quick_picture_viewer.CustomOpenFolderDialog","L119","L103","D:\DataCollection\repos\ModuleArt_quick-picture-viewer\quick-picture-viewer\helpers\CustomOpenFolderDialog.cs","5","2","20","3","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","16","16","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","8","0","1","0","0","2","1","0","0","16","16","0","0","0","0","1","0","1","0","1","8","0","1","0","2","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L1115","CustomPanel","quick_picture_viewer.CustomPanel","L119","L103","D:\DataCollection\repos\ModuleArt_quick-picture-viewer\quick-picture-viewer\controls\CustomPanel.cs","5","2","34","3","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","29","30","0","0","0","0","0","0","0","2","0","1","0","2","0","0","0","2","0","11","0","1","0","0","2","4","0","0","29","30","0","0","0","0","2","0","1","0","2","11","0","1","0","9","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L1180","DdsTgaWrapper","quick_picture_viewer.DdsTgaWrapper","L119","L103","D:\DataCollection\repos\ModuleArt_quick-picture-viewer\quick-picture-viewer\typewrappers\DdsTgaWrapper.cs","9","2","76","3","0","3","0","0","0","0","0","0","0","0","0","1","0","1","0","0","63","68","0","0","0","0","0","0","0","2","0","2","0","3","1","0","0","2","1","23","0","3","0","0","3","4","0","0","63","68","0","0","0","0","2","0","2","0","3","23","0","3","0","10","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L1247","IcoWrapper","quick_picture_viewer.IcoWrapper","L119","L103","D:\DataCollection\repos\ModuleArt_quick-picture-viewer\quick-picture-viewer\typewrappers\IcoWrapper.cs","7","2","32","3","0","3","0","0","0","0","0","0","0","0","0","1","0","1","0","0","25","26","0","0","0","0","0","0","0","2","0","2","0","3","1","0","0","2","1","5","0","3","0","0","3","4","0","0","25","26","0","0","0","0","2","0","2","0","3","5","0","3","0","3","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L638","FileTypeMan","quick_picture_viewer.FileTypeMan","L119","L103","D:\DataCollection\repos\ModuleArt_quick-picture-viewer\quick-picture-viewer\typewrappers\system\FileTypeMan.cs","6","2","65","3","0","9","0","0","0","0","0","0","0","0","0","0","0","2","0","0","50","55","0","0","0","0","0","0","0","2","0","2","0","2","0","0","0","14","0","20","0","2","0","0","3","16","0","0","57","60","0","4","0","4","10","0","10","4","10","20","0","10","4","11","0","0","4","0","0","1","0","1","0","1","2","0","0"
"L626","TypeWrapper","quick_picture_viewer.TypeWrapper","L119","L103","D:\DataCollection\repos\ModuleArt_quick-picture-viewer\quick-picture-viewer\typewrappers\system\TypeWrapper.cs","3","2","8","3","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","6","0","0","0","0","0","0","0","1","0","1","0","1","0","7","7","0","0","0","0","1","0","0","2","1","0","0","6","6","0","0","0","0","1","0","1","0","1","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L1289","WebpWrapper","quick_picture_viewer.WebpWrapper","L119","L103","D:\DataCollection\repos\ModuleArt_quick-picture-viewer\quick-picture-viewer\typewrappers\WebpWrapper.cs","7","2","44","3","0","5","0","0","0","0","0","0","0","0","0","1","0","2","0","0","36","38","0","0","0","0","0","0","0","3","0","3","0","4","1","0","0","4","1","12","0","4","0","0","4","7","0","0","36","38","0","0","0","0","3","0","3","0","4","12","0","4","0","4","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L1355","MainHelper","quick_picture_viewer.MainHelper","L119","L103","D:\DataCollection\repos\ModuleArt_quick-picture-viewer\quick-picture-viewer\helpers\MainHelper.cs","7","2","49","3","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","38","43","0","0","0","0","0","0","0","2","0","2","0","2","0","0","0","0","0","29","0","2","0","0","3","2","0","0","38","43","0","0","0","0","2","0","2","0","2","29","0","2","0","13","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L1477","IcoEngine","quick_picture_viewer.IcoEngine","L119","L103","D:\DataCollection\repos\ModuleArt_quick-picture-viewer\quick-picture-viewer\typewrappers\engines\IcoEngine.cs","13","5","176","6","1","0","0","0","0","0","0","0","0","0","51","0","36","1","0","0","87","164","0","0","0","0","0","0","0","5","0","5","0","5","0","0","0","0","0","55","0","5","0","6","0","5","0","51","87","164","0","0","0","0","5","0","5","0","5","55","0","5","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0"
