"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DLOC","LDC","LLDC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L629",".ctor","quick_picture_viewer.BitmapWrapper.BitmapWrapper()void","L625","L103","D:\DataCollection\repos\ModuleArt_quick-picture-viewer\quick-picture-viewer\typewrappers\BitmapWrapper.cs","9","3","12","4","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","0","1","0","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L632","Open","quick_picture_viewer.BitmapWrapper.Open(string)quick_picture_viewer.FileTypeMan.OpenResult","L625","L103","D:\DataCollection\repos\ModuleArt_quick-picture-viewer\quick-picture-viewer\typewrappers\BitmapWrapper.cs","14","3","30","4","0","0","0","0","0","0","0","0","0","0","0","17","17","2","0","0","0","2","3","1","0","0","17","17","3","0","0","0","0","0","0","0","0","0","0","0"
"L679",".ctor","quick_picture_viewer.Cr2Wrapper.Cr2Wrapper()void","L670","L103","D:\DataCollection\repos\ModuleArt_quick-picture-viewer\quick-picture-viewer\typewrappers\Cr2Wrapper.cs","14","9","18","10","0","0","0","0","0","0","0","0","0","0","0","5","5","1","0","0","0","0","2","0","0","0","5","5","2","0","0","0","0","0","0","0","0","0","0","0"
"L682","Open","quick_picture_viewer.Cr2Wrapper.Open(string)quick_picture_viewer.FileTypeMan.OpenResult","L670","L103","D:\DataCollection\repos\ModuleArt_quick-picture-viewer\quick-picture-viewer\typewrappers\Cr2Wrapper.cs","20","9","47","10","0","0","0","0","0","0","0","0","0","0","0","28","28","3","0","0","0","3","6","1","0","0","28","28","6","0","0","0","0","0","0","0","0","0","0","0"
"L684","ConvertImage","quick_picture_viewer.Cr2Wrapper.ConvertImage(string)string","L670","L103","D:\DataCollection\repos\ModuleArt_quick-picture-viewer\quick-picture-viewer\typewrappers\Cr2Wrapper.cs","49","3","105","4","0","0","0","0","0","0","0","8","0","0","0","50","57","8","0","0","0","1","30","1","0","8","50","57","30","0","0","0","0","0","0","0","0","0","0","0"
"L822","GetJpegCodec","quick_picture_viewer.Cr2Wrapper.GetJpegCodec()System.Drawing.Imaging.ImageCodecInfo","L670","L103","D:\DataCollection\repos\ModuleArt_quick-picture-viewer\quick-picture-viewer\typewrappers\Cr2Wrapper.cs","107","3","119","4","0","0","0","0","0","0","0","0","0","0","0","12","13","6","0","0","0","0","4","0","0","0","12","13","4","0","0","0","0","0","0","0","0","0","0","0"
"L752",".ctor","quick_picture_viewer.PartialStream.PartialStream(System.IO.FileStream, uint, int)void","L749","L103","D:\DataCollection\repos\ModuleArt_quick-picture-viewer\quick-picture-viewer\typewrappers\Cr2Wrapper.cs","129","9","136","10","0","0","0","0","0","0","0","0","0","0","0","7","8","1","0","0","0","0","4","3","0","0","7","8","4","0","0","0","0","0","0","0","0","0","0","0"
"L851","get_CanRead","quick_picture_viewer.PartialStream.CanRead.getbool","L749","L103","D:\DataCollection\repos\ModuleArt_quick-picture-viewer\quick-picture-viewer\typewrappers\Cr2Wrapper.cs","140","13","140","40","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","1","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0"
"L855","get_CanSeek","quick_picture_viewer.PartialStream.CanSeek.getbool","L749","L103","D:\DataCollection\repos\ModuleArt_quick-picture-viewer\quick-picture-viewer\typewrappers\Cr2Wrapper.cs","145","13","145","40","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","1","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0"
"L859","get_CanTimeout","quick_picture_viewer.PartialStream.CanTimeout.getbool","L749","L103","D:\DataCollection\repos\ModuleArt_quick-picture-viewer\quick-picture-viewer\typewrappers\Cr2Wrapper.cs","150","13","150","43","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","1","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0"
"L862","get_CanWrite","quick_picture_viewer.PartialStream.CanWrite.getbool","L749","L103","D:\DataCollection\repos\ModuleArt_quick-picture-viewer\quick-picture-viewer\typewrappers\Cr2Wrapper.cs","155","13","155","41","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","1","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0"
"L866","get_Length","quick_picture_viewer.PartialStream.Length.getlong","L749","L103","D:\DataCollection\repos\ModuleArt_quick-picture-viewer\quick-picture-viewer\typewrappers\Cr2Wrapper.cs","160","13","160","37","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","1","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0"
"L868","get_Position","quick_picture_viewer.PartialStream.Position.getlong","L749","L103","D:\DataCollection\repos\ModuleArt_quick-picture-viewer\quick-picture-viewer\typewrappers\Cr2Wrapper.cs","165","13","165","51","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","1","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0"
"L877","set_Position","quick_picture_viewer.PartialStream.Position.setvoid","L749","L103","D:\DataCollection\repos\ModuleArt_quick-picture-viewer\quick-picture-viewer\typewrappers\Cr2Wrapper.cs","166","13","166","52","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","1","1","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0"
