"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L106","GetLatestBlockCoroutine","GetLatestBlockCoroutine","L100","L105","D:\DataCollection\repos\Nethereum_Unity3dSampleTemplate\Assets\GetLatestBlockCoroutine.cs","6","1","49","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","31","44","0","0","0","0","0","0","0","4","0","2","0","4","0","0","0","0","0","8","0","2","0","0","3","4","0","0","31","44","0","0","0","0","4","0","2","0","4","8","0","2","0","5","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L176","EtherTransferCoroutinesUnityWebRequest","EtherTransferCoroutinesUnityWebRequest","L100","L105","D:\DataCollection\repos\Nethereum_Unity3dSampleTemplate\Assets\EtherTransferCoroutinesUnityWebRequest.cs","23","1","187","2","0.25","1","0","0.191888","1","3","0","1","0.121212","0.135135","6","0","1","2","20","15","106","161","0","0","0","0","0","0","0","5","0","3","0","5","0","0","0","0","0","60","0","3","0","1","3","5","0","6","111","165","0","0","0","0","5","0","3","0","5","60","0","3","0","14","0","0","14","0","0","1","10","1","0","0","1","0","2"
"L362","TokenDeployAndSendCoroutinesUnityWebRequest","TokenDeployAndSendCoroutinesUnityWebRequest","L100","L105","D:\DataCollection\repos\Nethereum_Unity3dSampleTemplate\Assets\TokenDeployAndSendCoroutinesUnityWebRequest.cs","14","1","215","2","0.333333","10","0","0.246411","1","4","0","2","0.217822","0.211382","14","0","1","3","44","26","89","175","0","0","0","0","0","0","0","4","0","2","0","4","0","0","0","13","0","61","0","2","0","1","2","17","0","14","128","202","0","14","0","7","22","0","20","7","38","61","0","36","14","6","0","0","29","0","0","0","19","1","0","0","9","0","0"
"L592","TabsUIHorizontal","TabsUIHorizontal","L100","L105","D:\DataCollection\repos\Nethereum_Unity3dSampleTemplate\Assets\UITabs\scripts\TabsUIHorizontal.cs","5","1","15","2","0","2","0","0","0","0","0","0","0","0","0","1","0","1","0","0","9","11","0","0","0","0","0","0","0","2","0","0","0","8","1","0","0","1","1","2","0","3","0","0","1","3","0","0","9","11","0","0","0","0","2","0","0","0","8","2","0","3","0","2","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L609","MultiplatformErc20Coroutine","MultiplatformErc20Coroutine","L100","L105","D:\DataCollection\repos\Nethereum_Unity3dSampleTemplate\Assets\MultiplatformErc20Coroutine.cs","15","1","285","2","0","5","0","0.117825","2","5","0","2","0.173432","0.187817","7","0","0","1","47","37","198","271","0","0","0","0","0","0","0","13","0","12","0","13","0","0","0","8","0","90","0","12","0","0","13","21","0","7","198","271","0","0","0","0","13","0","12","0","13","90","0","12","0","24","0","0","19","0","0","0","18","0","0","0","1","0","0"
"L748","HdWalletExample","HdWalletExample","L100","L105","D:\DataCollection\repos\Nethereum_Unity3dSampleTemplate\Assets\HdWalletExample.cs","5","1","40","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","27","36","0","0","0","0","0","0","0","4","0","2","0","4","0","0","0","0","0","7","0","2","0","0","3","4","0","0","27","36","0","0","0","0","4","0","2","0","4","7","0","2","0","4","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L877","GetLatestBlockVanillaNethereum","GetLatestBlockVanillaNethereum","L100","L105","D:\DataCollection\repos\Nethereum_Unity3dSampleTemplate\Assets\GetLatestBlockVanillaNethereum.cs","10","1","63","2","0","0","0","0","0","0","0","0","0","0","5","0","1","3","0","0","37","54","0","0","0","0","0","0","0","5","0","2","0","5","0","0","0","0","0","14","0","2","0","0","3","5","0","5","37","54","0","0","0","0","5","0","2","0","5","14","0","2","0","6","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L949","MultiplatformTransferTaskWeb3","MultiplatformTransferTaskWeb3","L100","L105","D:\DataCollection\repos\Nethereum_Unity3dSampleTemplate\Assets\MultiplatformTransferTaskWeb3.cs","16","1","201","2","0","0","0","0.129272","1","2","0","1","0.139785","0.140845","0","0","0","1","26","20","143","186","0","0","0","0","0","0","0","14","0","10","0","14","0","0","0","0","0","55","0","10","0","0","11","14","0","0","143","186","0","0","0","0","14","0","10","0","14","55","0","10","0","20","0","0","10","0","0","0","9","0","0","0","1","0","0"
"L1133","MultiplatformTransferCoroutine","MultiplatformTransferCoroutine","L100","L105","D:\DataCollection\repos\Nethereum_Unity3dSampleTemplate\Assets\MultiplatformTransferCoroutine.cs","18","1","275","2","0","0","0","0.279395","3","8","0","3","0.25969","0.281081","6","0","0","1","67","52","186","258","0","0","0","0","0","0","0","13","0","12","0","13","0","0","0","0","0","80","0","12","0","0","13","13","0","6","186","258","0","0","0","0","13","0","12","0","13","80","0","12","0","26","0","0","27","0","0","0","26","0","0","0","1","0","0"
"L1213","MultiplatformErc20Web3Task","MultiplatformErc20Web3Task","L100","L105","D:\DataCollection\repos\Nethereum_Unity3dSampleTemplate\Assets\MultiplatformErc20Web3Task.cs","21","1","236","2","0","4","0","0.106618","1","2","0","1","0.12037","0.126582","5","0","0","1","26","20","159","216","0","0","0","0","0","0","0","14","0","10","0","14","0","0","0","6","0","67","0","10","0","0","11","20","0","5","159","216","0","0","0","0","14","0","10","0","14","67","0","10","0","19","0","0","10","0","0","0","9","0","0","0","1","0","0"
