"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DLOC","LDC","LLDC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L125","Start","GetLatestBlockCoroutine.Start()void","L106","L105","D:\DataCollection\repos\Nethereum_Unity3dSampleTemplate\Assets\GetLatestBlockCoroutine.cs","14","5","17","6","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","0","1","0","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L131","GetBlockNumberRequest","GetLatestBlockCoroutine.GetBlockNumberRequest()void","L106","L105","D:\DataCollection\repos\Nethereum_Unity3dSampleTemplate\Assets\GetLatestBlockCoroutine.cs","19","5","23","6","0","0","0","0","0","0","0","0","0","0","0","5","5","1","0","0","0","1","2","0","0","0","5","5","2","0","0","0","0","0","0","0","0","0","0","0"
"L132","GetBlockNumber","GetLatestBlockCoroutine.GetBlockNumber()System.Collections.IEnumerator","L106","L105","D:\DataCollection\repos\Nethereum_Unity3dSampleTemplate\Assets\GetLatestBlockCoroutine.cs","25","5","42","6","0","0","0","0","0","0","0","0","0","0","0","13","18","2","0","0","0","0","5","0","0","0","13","18","5","0","0","0","0","0","0","0","0","0","0","0"
"L175","Update","GetLatestBlockCoroutine.Update()void","L106","L105","D:\DataCollection\repos\Nethereum_Unity3dSampleTemplate\Assets\GetLatestBlockCoroutine.cs","45","5","48","6","0","0","0","0","0","0","0","0","0","0","0","3","4","1","0","0","0","0","0","0","0","0","3","4","0","0","0","0","0","0","0","0","0","0","0","0"
"L194",".ctor","EtherTransferCoroutinesUnityWebRequest.EtherTransferCoroutinesUnityWebRequest()void","L176","L105","D:\DataCollection\repos\Nethereum_Unity3dSampleTemplate\Assets\EtherTransferCoroutinesUnityWebRequest.cs","41","5","44","6","0","0","0","0","0","0","0","0","0","0","0","3","4","1","0","0","0","0","0","0","0","0","3","4","0","0","0","0","0","0","0","0","0","0","0","0"
"L195","Start","EtherTransferCoroutinesUnityWebRequest.Start()void","L176","L105","D:\DataCollection\repos\Nethereum_Unity3dSampleTemplate\Assets\EtherTransferCoroutinesUnityWebRequest.cs","46","5","53","6","0","0","0","0","0","0","0","0","0","0","0","6","8","1","0","0","0","0","4","0","0","0","6","8","4","0","0","0","0","0","0","0","0","0","0","0"
"L207","TransferRequest","EtherTransferCoroutinesUnityWebRequest.TransferRequest()void","L176","L105","D:\DataCollection\repos\Nethereum_Unity3dSampleTemplate\Assets\EtherTransferCoroutinesUnityWebRequest.cs","55","5","58","6","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","1","1","0","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L208","TransferEther","EtherTransferCoroutinesUnityWebRequest.TransferEther()System.Collections.IEnumerator","L176","L105","D:\DataCollection\repos\Nethereum_Unity3dSampleTemplate\Assets\EtherTransferCoroutinesUnityWebRequest.cs","68","5","173","6","0.238372","1","3","0","1","0.188679","0.197368","6","1","20","15","76","106","10","0","0","0","0","55","0","0","6","76","106","55","0","0","9","0","0","1","7","0","0","0","2"
"L361","Update","EtherTransferCoroutinesUnityWebRequest.Update()void","L176","L105","D:\DataCollection\repos\Nethereum_Unity3dSampleTemplate\Assets\EtherTransferCoroutinesUnityWebRequest.cs","178","5","180","3","0","0","0","0","0","0","0","0","0","0","0","2","3","1","0","0","0","0","0","0","0","0","2","3","0","0","0","0","0","0","0","0","0","0","0","0"
"L444","Start","TokenDeployAndSendCoroutinesUnityWebRequest.Start()void","L362","L105","D:\DataCollection\repos\Nethereum_Unity3dSampleTemplate\Assets\TokenDeployAndSendCoroutinesUnityWebRequest.cs","66","5","74","6","0","0","0","0","0","0","0","2","0","0","0","4","9","1","0","0","0","1","2","0","0","2","4","9","2","0","0","0","0","0","0","0","0","0","0","0"
