"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L131","AsyncEvent","Updater.AsyncEvent","L104","L103","D:\DataCollection\repos\NightlyRevenger_TataruHelper\Updater\AsyncEvent.cs","31","5","97","6","0.166667","1","0","0.43254","2","10","0","2","0.373134","0.392857","3","0","3","1","25","22","54","67","0","4","0","0","0","0","4","8","0","5","0","8","0","0","0","1","0","25","0","5","0","1","5","9","0","3","55","67","0","4","0","4","8","0","5","0","8","25","0","5","0","14","0","0","13","0","0","0","12","0","0","0","1","0","0"
"L193","AsyncEvent","Updater.AsyncEvent<T>","L104","L103","D:\DataCollection\repos\NightlyRevenger_TataruHelper\Updater\AsyncEvent.cs","103","5","169","6","0.166667","1","0","0.415441","2","10","0","2","0.373134","0.392857","4","0","4","1","25","22","54","67","0","4","0","0","0","0","4","8","0","5","0","8","0","0","0","1","0","25","0","5","0","1","5","9","0","4","55","67","0","4","0","4","8","0","5","0","8","25","0","5","0","14","0","0","13","0","0","0","12","0","0","0","1","0","0"
"L282","SquirrelUpdater","Updater.SquirrelUpdater","L104","L103","D:\DataCollection\repos\NightlyRevenger_TataruHelper\Updater\SquirrelUpdater.cs","17","5","364","6","0","4","0","0","0","0","0","0","0","0","5","0","0","2","0","0","284","233","0","1","0","0","0","0","1","17","0","8","1","17","0","0","0","3","0","67","0","8","1","0","9","20","0","5","284","348","0","1","0","1","17","0","8","1","17","67","0","8","1","50","0","0","5","0","0","3","0","1","1","0","1","0","2"
"L386","TaskExtensions","Updater.TaskExtensions","L104","L103","D:\DataCollection\repos\NightlyRevenger_TataruHelper\Updater\Utils\TaskExtensions.cs","9","5","37","6","0","1","0","0","0","0","0","0","0","0","0","0","0","3","0","0","25","29","0","0","0","0","0","0","0","3","0","3","0","3","0","0","0","0","0","5","0","3","0","0","4","3","0","0","25","29","0","0","0","0","3","0","3","0","3","5","0","3","0","3","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L2437","HttpReader","HttpUtilities.HttpReader","L2419","L2418","D:\DataCollection\repos\NightlyRevenger_TataruHelper\HttpUtilities\HttpReader.cs","12","5","286","6","0.0869565","3","0","0","0","0","0","0","0","0","1","0","1","1","0","0","187","275","0","7","0","0","0","0","7","27","0","22","7","27","0","0","0","5","0","97","0","22","7","2","21","32","0","1","187","275","0","7","0","7","27","0","22","7","27","97","0","22","7","62","0","0","7","0","0","2","0","0","2","0","1","0","4"
"L2526","HttpResponse","HttpUtilities.HttpResponse","L2419","L2418","D:\DataCollection\repos\NightlyRevenger_TataruHelper\HttpUtilities\HttpResponse.cs","7","5","35","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24","29","0","3","0","0","0","0","3","9","0","6","3","9","0","0","0","0","0","9","0","6","3","0","7","9","0","0","24","29","0","3","0","3","9","0","6","3","9","9","0","6","3","9","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L2930","GlobalTranslationSettings","Translation.GlobalTranslationSettings","L2742","L2734","D:\DataCollection\repos\NightlyRevenger_TataruHelper\Translation\GlobalTranslationSettings.cs","8","5","35","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","16","28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L2775","Helper","Translation.Helper","L2742","L2734","D:\DataCollection\repos\NightlyRevenger_TataruHelper\Translation\Utils\Helper.cs","15","5","239","6","0","1","0","0.188596","2","4","0","2","0.177778","0.133721","8","0","0","8","40","23","173","225","0","0","0","0","0","0","0","9","0","9","0","9","0","0","0","1","0","89","0","9","0","0","10","10","0","8","173","225","0","0","0","0","9","0","9","0","9","89","0","9","0","31","0","0","20","0","0","1","18","1","0","0","1","0","0"
"L3659","StringCipher","Translation.StringCipher","L2742","L2734","D:\DataCollection\repos\NightlyRevenger_TataruHelper\Translation\StringCipher.cs","14","5","57","6","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","38","44","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","20","0","1","0","0","2","1","0","0","38","44","0","0","0","0","1","0","1","0","1","20","0","1","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L4039","TranslatedMsg","Translation.TranslatedMsg","L2742","L2734","D:\DataCollection\repos\NightlyRevenger_TataruHelper\Translation\TranslatedMsg.cs","8","5","35","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21","28","0","1","0","0","0","0","1","3","0","3","0","3","0","0","0","0","0","7","0","3","0","0","4","3","0","0","21","28","0","1","0","1","3","0","3","0","3","7","0","3","0","4","0","0","1","0","0","0","0","0","0","0","1","0","0"
