"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DLOC","LDC","LLDC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L191","Invoke","Updater.AsyncEventHandler.Invoke()Task","L120","L103","D:\DataCollection\repos\NightlyRevenger_TataruHelper\Updater\AsyncEvent.cs","19","5","19","46","","","","0","","0","0","4","4","0","0","1","1","0","0","0","0","","0","0","0","4","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L231","Invoke","Updater.AsyncEventHandler<T>.Invoke(T)Task","L125","L103","D:\DataCollection\repos\NightlyRevenger_TataruHelper\Updater\AsyncEvent.cs","26","5","26","79","","","","0","","0","0","5","5","0","0","1","1","0","0","0","0","","0","1","0","5","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L137","get_Handlers","Updater.AsyncEvent.Handlers.getList<Updater.AsyncEventHandler>","L131","L103","D:\DataCollection\repos\NightlyRevenger_TataruHelper\Updater\AsyncEvent.cs","34","52","34","56","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L146","get_ErrorHandler","Updater.AsyncEvent.ErrorHandler.getAction<string, Exception>","L131","L103","D:\DataCollection\repos\NightlyRevenger_TataruHelper\Updater\AsyncEvent.cs","35","58","35","62","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L159","get_EventName","Updater.AsyncEvent.EventName.getstring","L131","L103","D:\DataCollection\repos\NightlyRevenger_TataruHelper\Updater\AsyncEvent.cs","36","36","36","40","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L162","get_HandlersCount","Updater.AsyncEvent.HandlersCount.getint","L131","L103","D:\DataCollection\repos\NightlyRevenger_TataruHelper\Updater\AsyncEvent.cs","40","13","44","14","0","0","0","0","0","0","0","0","0","0","0","5","5","1","0","0","0","1","2","0","0","0","5","5","2","0","0","0","0","0","0","0","0","0","0","0"
"L168",".ctor","Updater.AsyncEvent.AsyncEvent(Action<string, Exception>, string)void","L131","L103","D:\DataCollection\repos\NightlyRevenger_TataruHelper\Updater\AsyncEvent.cs","47","9","52","10","0","0","0","0","0","0","0","0","0","0","0","6","6","1","0","0","0","3","3","2","0","0","6","6","3","0","0","0","0","0","0","0","0","0","0","0"
"L176","Register","Updater.AsyncEvent.Register(Updater.AsyncEventHandler)void","L131","L103","D:\DataCollection\repos\NightlyRevenger_TataruHelper\Updater\AsyncEvent.cs","54","9","61","10","0","0","0","0","0","0","0","0","0","0","0","7","8","2","0","0","0","1","4","1","0","0","7","8","4","0","0","0","0","0","0","0","0","0","0","0"
"L185","Unregister","Updater.AsyncEvent.Unregister(Updater.AsyncEventHandler)void","L131","L103","D:\DataCollection\repos\NightlyRevenger_TataruHelper\Updater\AsyncEvent.cs","63","9","70","10","0","0","0","0","0","0","0","0","0","0","0","7","8","2","0","0","0","1","4","1","0","0","7","8","4","0","0","0","0","0","0","0","0","0","0","0"
"L187","InvokeAsync","Updater.AsyncEvent.InvokeAsync()Task","L131","L103","D:\DataCollection\repos\NightlyRevenger_TataruHelper\Updater\AsyncEvent.cs","72","9","96","10","1","2","10","0","2","1","1","0","0","25","22","23","25","5","0","0","0","3","12","0","0","0","23","25","12","0","0","7","0","0","0","7","0","0","0","0"
"L196","get_Handlers","Updater.AsyncEvent<T>.Handlers.getList<Updater.AsyncEventHandler<T>>","L193","L103","D:\DataCollection\repos\NightlyRevenger_TataruHelper\Updater\AsyncEvent.cs","106","55","106","59","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
