"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L6815","App","TrinityCreator.App","L115","L6812","D:\DataCollection\repos\NotCoffee418_TrinityCreator\TrinityCreator\App.xaml.cs","19","5","86","6","0.5","7","0","0","0","0","0","0","0","0","14","0","4","2","0","0","47","68","0","0","0","0","0","0","0","3","0","1","0","3","0","0","0","14","0","26","0","1","0","1","1","17","0","14","47","68","0","0","0","0","3","0","1","0","3","26","0","1","0","8","0","0","3","0","0","0","0","1","0","1","1","0","0"
"L1640","ADBReader","DBCViewer.ADBReader","L1626","L103","D:\DataCollection\repos\NotCoffee418_TrinityCreator\TrinityCreator.Shared\DBC\DBCViewer\ADBReader.cs","8","5","86","6","0","2","0","0","0","0","0","0","0","0","11","1","0","0","0","0","60","79","0","12","0","0","0","0","6","12","0","7","5","18","1","0","0","2","1","30","0","13","5","0","8","14","0","11","60","79","0","12","0","6","12","0","7","5","18","30","0","13","5","18","0","0","2","0","0","0","0","0","0","0","1","0","1"
"L1759","BinaryFormatter","DBCViewer.BinaryFormatter","L1626","L103","D:\DataCollection\repos\NotCoffee418_TrinityCreator\TrinityCreator.Shared\DBC\DBCViewer\BinaryFormatter.cs","6","5","133","6","0.666667","0","0","0","0","0","0","0","0","0","12","0","2","2","0","0","110","128","0","0","0","0","0","0","0","3","0","2","0","3","0","0","0","0","0","56","0","2","0","2","1","3","0","12","110","128","0","0","0","0","3","0","2","0","3","56","0","2","0","25","0","0","5","0","0","1","0","1","1","0","1","0","2"
"L1703","BinaryReaderExtensions","DBCViewer.BinaryReaderExtensions","L1626","L103","D:\DataCollection\repos\NotCoffee418_TrinityCreator\TrinityCreator.Shared\DBC\DBCViewer\BinaryFormatterExtensions.cs","65","5","183","6","0.75","2","0","0","0","0","0","0","0","0","24","0","23","7","0","0","67","119","0","0","0","0","0","0","0","7","0","7","0","7","0","0","0","0","0","39","0","7","0","6","2","7","0","24","67","119","0","0","0","0","7","0","7","0","7","39","0","7","0","12","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L1989","DB2Reader","DBCViewer.DB2Reader","L1626","L103","D:\DataCollection\repos\NotCoffee418_TrinityCreator\TrinityCreator.Shared\DBC\DBCViewer\DB2Reader.cs","8","5","88","6","0","2","0","0","0","0","0","0","0","0","12","1","0","0","0","0","63","81","0","12","0","0","0","0","6","12","0","7","5","18","1","0","0","2","1","31","0","13","5","0","8","14","0","12","63","81","0","12","0","6","12","0","7","5","18","31","0","13","5","19","0","0","2","0","0","0","0","0","0","0","1","0","1"
"L2035","DB3Reader","DBCViewer.DB3Reader","L1626","L103","D:\DataCollection\repos\NotCoffee418_TrinityCreator\TrinityCreator.Shared\DBC\DBCViewer\DB3Reader.cs","8","5","135","6","0","2","0","0.834848","2","12","0","2","0.75","0.726316","4","1","0","0","96","69","94","128","0","12","0","0","0","0","6","12","0","7","5","18","1","0","0","2","1","53","0","13","5","0","8","14","0","4","94","128","0","12","0","6","12","0","7","5","18","53","0","13","5","24","0","0","17","0","0","1","12","0","1","0","1","0","3"
"L2114","DB4Reader","DBCViewer.DB4Reader","L1626","L103","D:\DataCollection\repos\NotCoffee418_TrinityCreator\TrinityCreator.Shared\DBC\DBCViewer\DB4Reader.cs","8","5","136","6","0","2","0","0.837313","2","12","0","2","0.751938","0.729167","4","1","0","0","97","70","95","129","0","12","0","0","0","0","6","12","0","7","5","18","1","0","0","2","1","54","0","13","5","0","8","14","0","4","95","129","0","12","0","6","12","0","7","5","18","54","0","13","5","24","0","0","17","0","0","1","12","0","1","0","1","0","3"
"L2157","DBCReader","DBCViewer.DBCReader","L1626","L103","D:\DataCollection\repos\NotCoffee418_TrinityCreator\TrinityCreator.Shared\DBC\DBCViewer\DBCReader.cs","8","5","89","6","0","2","0","0","0","0","0","0","0","0","0","1","0","1","0","0","63","82","0","12","0","0","0","0","6","13","0","8","5","19","1","0","0","2","1","27","0","14","5","0","9","15","0","0","63","82","0","12","0","6","13","0","8","5","19","27","0","14","5","19","0","0","2","0","0","0","0","0","0","0","1","0","1"
"L2216","AreaTableRecord","DBCViewer.AreaTableRecord","L1626","L103","D:\DataCollection\repos\NotCoffee418_TrinityCreator\TrinityCreator.Shared\DBC\DBCViewer\DBCReaderGeneric.cs","7","5","38","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","32","32","0","29","0","0","0","0","29","58","0","29","29","58","0","0","0","0","0","0","0","29","29","0","30","58","0","0","32","32","0","29","0","29","58","0","29","29","58","0","0","29","29","58","0","0","13","0","0","0","0","0","0","0","1","0","12"
"L2362","DBCReaderGeneric","DBCViewer.DBCReaderGeneric<T>","L1626","L103","D:\DataCollection\repos\NotCoffee418_TrinityCreator\TrinityCreator.Shared\DBC\DBCViewer\DBCReaderGeneric.cs","40","5","137","6","0","1","0","0","0","0","0","0","0","0","2","0","0","0","0","0","75","98","0","5","0","0","0","0","5","10","0","6","4","10","0","0","0","2","0","40","0","6","4","0","7","12","0","2","75","98","0","5","0","5","10","0","6","4","10","40","0","6","4","21","0","0","2","0","0","1","0","0","1","0","1","0","0"
"L1433","DBReaderFactory","DBCViewer.DBReaderFactory","L1626","L103","D:\DataCollection\repos\NotCoffee418_TrinityCreator\TrinityCreator.Shared\DBC\DBCViewer\DBReaderFactory.cs","6","5","42","6","0","8","0","0","0","0","0","0","0","0","0","0","0","1","0","0","35","37","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","7","0","18","0","1","0","0","2","8","0","0","35","37","0","0","0","0","1","0","1","0","1","18","0","1","0","8","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L1572","STLReader","DBCViewer.STLReader","L1626","L103","D:\DataCollection\repos\NotCoffee418_TrinityCreator\TrinityCreator.Shared\DBC\DBCViewer\STLReader.cs","50","5","127","6","0","3","0","0","0","0","0","0","0","0","25","1","0","1","0","0","35","78","0","12","0","0","0","0","6","13","0","8","5","19","1","0","0","3","1","13","0","14","5","0","9","16","0","25","35","78","0","12","0","6","13","0","8","5","19","13","0","14","5","16","0","0","2","0","0","0","0","0","0","0","1","0","1"
"L1567","WDBReader","DBCViewer.WDBReader","L1626","L103","D:\DataCollection\repos\NotCoffee418_TrinityCreator\TrinityCreator.Shared\DBC\DBCViewer\WDBReader.cs","9","5","85","6","0","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","64","77","0","12","0","0","0","0","6","12","0","7","5","18","1","0","0","1","1","22","0","13","5","0","8","13","0","0","64","77","0","12","0","6","12","0","7","5","18","22","0","13","5","19","0","0","2","0","0","0","0","0","0","0","1","0","1"
"L545","SaveQuery","TrinityCreator.Shared.SaveQuery","L114","L103","D:\DataCollection\repos\NotCoffee418_TrinityCreator\TrinityCreator.Shared\Database\SaveQuery.cs","17","5","299","6","0.666667","7","0","0","0","0","0","0","0","0","54","0","27","2","0","0","209","283","0","0","0","0","0","0","0","6","0","5","0","6","0","0","0","13","0","108","0","5","0","4","2","19","0","54","209","283","0","0","0","0","6","0","5","0","6","108","0","5","0","44","0","0","5","0","0","2","0","1","1","0","1","0","2"
"L2612","Global","TrinityCreator.Shared.Global","L114","L103","D:\DataCollection\repos\NotCoffee418_TrinityCreator\TrinityCreator.Shared\Global.cs","12","5","25","6","0.125","3","0","0","0","0","0","0","0","0","3","0","3","0","0","0","8","14","0","4","0","0","0","0","4","7","0","7","3","7","0","0","0","0","0","0","0","7","3","1","7","7","0","3","8","14","0","4","0","4","7","0","7","3","7","0","0","7","3","7","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L116","Connection","TrinityCreator.Shared.Database.Connection","L104","L103","D:\DataCollection\repos\NotCoffee418_TrinityCreator\TrinityCreator.Shared\Database\Connection.cs","12","5","237","6","0.333333","7","0","0","0","0","0","0","0","0","24","0","18","1","0","0","186","226","0","0","0","0","0","0","0","9","0","8","0","9","0","1","1","4","0","98","0","8","0","3","6","13","0","24","186","226","0","0","0","0","9","0","8","0","9","98","0","8","0","31","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L301","DataType","TrinityCreator.Shared.Database.DataType","L104","L103","D:\DataCollection\repos\NotCoffee418_TrinityCreator\TrinityCreator.Shared\Database\DataType.cs","9","5","89","6","0.666667","0","0","0","0","0","0","0","0","0","20","0","12","2","0","0","57","81","0","0","0","0","0","0","0","2","0","2","0","2","0","0","0","0","0","34","0","2","0","2","1","2","0","20","57","81","0","0","0","0","2","0","2","0","2","34","0","2","0","15","0","0","3","0","0","1","0","1","1","0","1","0","0"
"L360","LookupQuery","TrinityCreator.Shared.Database.LookupQuery","L104","L103","D:\DataCollection\repos\NotCoffee418_TrinityCreator\TrinityCreator.Shared\Database\LookupQuery.cs","9","5","165","6","0.2","7","0","0","0","0","0","0","0","0","16","1","11","7","0","0","119","157","0","0","0","0","0","0","0","9","0","9","0","18","1","0","0","8","1","69","0","17","0","2","8","17","0","16","119","157","0","0","0","0","9","0","9","0","18","69","0","17","0","25","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L237","CExceptions","TrinityCreator.Shared.Data.CExceptions","L742","L103","D:\DataCollection\repos\NotCoffee418_TrinityCreator\TrinityCreator.Shared\Data\CExceptions.cs","9","5","12","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","2","0","0"
"L749","Coordinate","TrinityCreator.Shared.Data.Coordinate","L742","L103","D:\DataCollection\repos\NotCoffee418_TrinityCreator\TrinityCreator.Shared\Data\Coordinate.cs","11","5","75","6","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","52","65","0","4","0","0","0","0","4","12","0","12","4","12","0","0","0","1","0","12","0","12","4","0","13","13","0","0","52","65","0","4","0","4","12","0","12","4","12","12","0","12","4","12","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L791","CreatureFamily","TrinityCreator.Shared.Data.CreatureFamily","L742","L103","D:\DataCollection\repos\NotCoffee418_TrinityCreator\TrinityCreator.Shared\Data\CreatureFamily.cs","5","5","66","6","0","1","0","0","0","0","0","0","0","0","5","1","0","2","0","0","61","62","0","3","0","0","0","0","1","5","0","5","1","12","1","0","0","3","1","5","0","12","3","0","6","8","0","5","61","62","0","3","0","1","5","0","5","1","12","5","0","12","3","5","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L818","Currency","TrinityCreator.Shared.Data.Currency","L742","L103","D:\DataCollection\repos\NotCoffee418_TrinityCreator\TrinityCreator.Shared\Data\Currency.cs","8","5","148","6","0.166667","0","0","0","0","0","0","0","0","0","6","0","3","1","0","0","109","141","0","4","0","0","0","0","4","15","0","11","4","15","0","0","0","0","0","62","0","11","4","2","10","15","0","6","109","141","0","4","0","4","15","0","11","4","15","62","0","11","4","29","0","0","1","0","0","1","0","0","0","0","1","0","0"
"L898","CustomDisplayField","TrinityCreator.Shared.Data.CustomDisplayField","L742","L103","D:\DataCollection\repos\NotCoffee418_TrinityCreator\TrinityCreator.Shared\Data\CustomDisplayField.cs","11","5","123","6","1","2","0","0","0","0","0","0","0","0","33","0","28","1","0","0","63","113","0","6","0","0","0","0","6","14","0","8","6","14","0","0","0","0","0","24","0","8","6","9","0","14","0","33","63","113","0","6","0","6","14","0","8","6","14","24","0","8","6","22","0","0","2","0","0","0","0","0","0","0","0","0","2"
"L966","Damage","TrinityCreator.Shared.Data.Damage","L742","L103","D:\DataCollection\repos\NotCoffee418_TrinityCreator\TrinityCreator.Shared\Data\Damage.cs","5","5","94","6","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","64","90","0","6","0","0","0","0","6","11","0","11","4","11","0","0","0","1","0","27","0","11","4","0","12","12","0","0","64","90","0","6","0","6","11","0","11","4","11","27","0","11","4","13","0","0","2","0","0","0","0","0","0","0","1","0","1"
