"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DLOC","LDC","LLDC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L6817",".ctor","TrinityCreator.App.App()void","L6815","L6812","D:\DataCollection\repos\NotCoffee418_TrinityCreator\TrinityCreator\App.xaml.cs","21","9","65","10","0","0","0","0","0","0","0","8","0","0","0","30","45","5","0","0","0","11","20","0","0","8","30","45","20","0","0","1","0","0","0","0","0","1","0","0"
"L6868","Profile_ActiveProfileChangedEvent","TrinityCreator.App.Profile_ActiveProfileChangedEvent(object, System.EventArgs)void","L6815","L6812","D:\DataCollection\repos\NotCoffee418_TrinityCreator\TrinityCreator\App.xaml.cs","68","9","79","10","0","0","0","0","0","0","0","2","1","0","0","10","12","2","0","0","0","4","5","2","0","2","10","12","5","0","0","0","0","0","0","0","0","0","0","0"
"L6864","HandleArgs","TrinityCreator.App.HandleArgs()void","L6815","L6812","D:\DataCollection\repos\NotCoffee418_TrinityCreator\TrinityCreator\App.xaml.cs","81","9","85","10","0","0","0","0","0","0","0","1","0","0","0","4","5","1","0","0","0","0","1","0","0","1","4","5","1","0","0","0","0","0","0","0","0","0","0","0"
"L1646","get_RecordsCount","DBCViewer.ADBReader.RecordsCount.getint","L1640","L103","D:\DataCollection\repos\NotCoffee418_TrinityCreator\TrinityCreator.Shared\DBC\DBCViewer\ADBReader.cs","13","35","13","39","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L1649","set_RecordsCount","DBCViewer.ADBReader.RecordsCount.setvoid","L1640","L103","D:\DataCollection\repos\NotCoffee418_TrinityCreator\TrinityCreator.Shared\DBC\DBCViewer\ADBReader.cs","13","40","13","52","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L1651","get_FieldsCount","DBCViewer.ADBReader.FieldsCount.getint","L1640","L103","D:\DataCollection\repos\NotCoffee418_TrinityCreator\TrinityCreator.Shared\DBC\DBCViewer\ADBReader.cs","14","34","14","38","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L1654","set_FieldsCount","DBCViewer.ADBReader.FieldsCount.setvoid","L1640","L103","D:\DataCollection\repos\NotCoffee418_TrinityCreator\TrinityCreator.Shared\DBC\DBCViewer\ADBReader.cs","14","39","14","51","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L1656","get_RecordSize","DBCViewer.ADBReader.RecordSize.getint","L1640","L103","D:\DataCollection\repos\NotCoffee418_TrinityCreator\TrinityCreator.Shared\DBC\DBCViewer\ADBReader.cs","15","33","15","37","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L1659","set_RecordSize","DBCViewer.ADBReader.RecordSize.setvoid","L1640","L103","D:\DataCollection\repos\NotCoffee418_TrinityCreator\TrinityCreator.Shared\DBC\DBCViewer\ADBReader.cs","15","38","15","50","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L1661","get_StringTableSize","DBCViewer.ADBReader.StringTableSize.getint","L1640","L103","D:\DataCollection\repos\NotCoffee418_TrinityCreator\TrinityCreator.Shared\DBC\DBCViewer\ADBReader.cs","16","38","16","42","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
