"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L11261","Program","SandboxEvolutionRunner.Program","L11181","L10674","D:\DataCollection\repos\OndrejNepozitek_Edgar-DotNet\src\Edgar.SandboxEvolutionRunner\Program.cs","41","5","398","6","0","49","0","0.0429329","2","2","0","2","0.0642458","0.0565371","5","0","0","4","23","16","281","313","0","0","0","0","0","0","0","7","0","7","0","7","0","0","0","44","0","89","0","7","0","0","8","51","0","5","584","358","0","3","0","3","13","0","13","3","13","89","0","13","3","28","0","0","26","0","0","1","16","1","0","3","2","0","4"
"L12239","Program","PerformanceTests.Program","L12236","L12235","D:\DataCollection\repos\OndrejNepozitek_Edgar-DotNet\src\Edgar.PerformanceTests\Program.cs","5","5","135","6","1","0","0","0","0","0","0","0","0","0","88","0","83","1","0","0","6","110","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","88","23","131","0","7","0","7","15","0","14","7","15","0","0","14","7","1","0","0","3","0","0","0","0","0","0","0","1","0","2"
"L14023","GuiExceptionHandler","GUI.GuiExceptionHandler","L14014","L14013","D:\DataCollection\repos\OndrejNepozitek_Edgar-DotNet\src\Edgar.GUI\GuiExceptionHandler.cs","7","2","44","3","0.5","0","0","0","0","0","0","0","0","0","7","0","3","3","0","0","27","38","0","0","0","0","0","0","0","3","0","1","0","3","0","0","0","0","0","8","0","1","0","1","1","3","0","7","27","38","0","0","0","0","3","0","1","0","3","8","0","1","0","5","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L16063","Program","GUI.Program","L14014","L14013","D:\DataCollection\repos\OndrejNepozitek_Edgar-DotNet\src\Edgar.GUI\Program.cs","9","2","23","3","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","11","15","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","2","0","4","0","0","0","0","1","3","0","0","11","15","0","0","0","0","1","0","0","0","1","4","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L16186","Program","Sandbox.Program","L16128","L16119","D:\DataCollection\repos\OndrejNepozitek_Edgar-DotNet\src\Edgar.Sandbox\Program.cs","35","2","425","6","0.5","26","0","0.266433","1","2","0","2","0.148338","0.302703","129","0","83","4","58","56","188","357","0","0","0","0","0","0","0","6","0","5","0","6","0","0","0","28","0","56","0","5","0","3","3","34","0","129","485","391","0","0","0","0","6","0","5","0","6","56","0","5","0","9","0","0","19","0","0","1","11","1","0","3","1","0","3"
"L284","PolygonGrid2D","Edgar.Geometry.PolygonGrid2D","L104","L103","D:\DataCollection\repos\OndrejNepozitek_Edgar-DotNet\src\Edgar\Geometry\PolygonGrid2D.cs","22","2","305","3","0.875","5","0","0","0","0","0","0","0","0","80","0","76","4","0","0","159","284","0","1","0","0","0","0","1","19","0","15","0","19","0","0","0","3","0","72","0","15","0","14","2","22","0","80","159","284","0","1","0","1","19","0","15","0","19","72","0","15","0","43","0","0","3","0","0","2","0","1","1","0","1","0","0"
"L404","PolygonGrid2DBuilder","Edgar.Geometry.PolygonGrid2DBuilder","L104","L103","D:\DataCollection\repos\OndrejNepozitek_Edgar-DotNet\src\Edgar\Geometry\PolygonGrid2DBuilder.cs","8","2","32","3","1","2","0","0","0","0","0","0","0","0","13","0","13","1","0","0","13","25","0","0","0","0","0","0","0","2","0","2","0","2","0","0","0","1","0","3","0","2","0","3","0","3","0","13","13","25","0","0","0","0","2","0","2","0","2","3","0","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L437","TransformationGrid2DHelper","Edgar.Geometry.TransformationGrid2DHelper","L104","L103","D:\DataCollection\repos\OndrejNepozitek_Edgar-DotNet\src\Edgar\Geometry\TransformationGrid2DHelper.cs","8","5","30","3","0","1","0","0","0","0","0","0","0","0","0","0","0","3","0","0","21","23","0","0","0","0","0","0","0","3","0","3","0","3","0","0","0","0","0","3","0","3","0","0","4","3","0","0","21","23","0","0","0","0","3","0","3","0","3","3","0","3","0","3","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L3349","Edge","Edgar.Graphs.Edge<T>","L3341","L103","D:\DataCollection\repos\OndrejNepozitek_Edgar-DotNet\src\Edgar\Graphs\Edge.cs","10","2","50","3","0.428571","1","0","0","0","0","0","0","0","0","10","1","10","1","0","0","29","41","0","4","0","0","0","0","2","6","0","6","0","8","1","0","0","0","1","16","0","8","0","3","4","6","0","10","29","41","0","4","0","2","6","0","6","0","8","16","0","8","0","12","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L3373","GraphExtensions","Edgar.Graphs.GraphExtensions","L3341","L103","D:\DataCollection\repos\OndrejNepozitek_Edgar-DotNet\src\Edgar\Graphs\GraphExtensions.cs","3","5","18","6","0.5","1","0","0","0","0","0","0","0","0","6","0","6","1","0","0","10","16","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","1","0","2","0","1","0","1","1","2","0","6","10","16","0","0","0","0","1","0","1","0","1","2","0","1","0","2","0","0","1","0","0","0","0","0","0","0","1","0","0"
