"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L17828","RepositoryAssertions","Tests.RepositoryAssertions","L520","L15176","D:\DataCollection\repos\OpenWrap_openwrap\src\OpenWrap.Tests\RepositoryAssertions.cs","7","5","22","6","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","16","16","0","0","0","0","0","0","0","2","0","2","0","2","0","0","0","3","0","5","0","2","0","0","3","5","0","0","16","16","0","0","0","0","2","0","2","0","2","5","0","2","0","2","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L17889","TestExtensions","Tests.TestExtensions","L520","L15176","D:\DataCollection\repos\OpenWrap_openwrap\src\OpenWrap.Tests\TestExtensions.cs","9","5","30","6","0","2","0","0","0","0","0","0","0","0","0","0","0","4","0","0","22","22","0","0","0","0","0","0","0","4","0","4","0","4","0","0","0","3","0","6","0","4","0","0","5","7","0","0","22","22","0","0","0","0","4","0","4","0","4","6","0","4","0","6","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L18516","MemoryRepositoryFactory","Tests.MemoryRepositoryFactory","L520","L15176","D:\DataCollection\repos\OpenWrap_openwrap\src\OpenWrap.Tests\MemoryRepositoryFactory.cs","7","5","20","6","0","2","0","0","0","0","0","0","0","0","0","1","0","2","0","0","13","14","0","0","0","0","0","0","0","2","0","0","0","4","1","0","0","0","1","2","0","2","0","0","1","2","0","0","13","14","0","0","0","0","2","0","0","0","4","2","0","2","0","2","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L18725","AssemblyBuilder","Tests.AssemblyBuilder","L520","L15176","D:\DataCollection\repos\OpenWrap_openwrap\src\OpenWrap.Tests\AssemblyBuilder.cs","20","5","75","6","0","3","0","0","0","0","0","0","0","0","0","0","0","4","0","0","50","54","0","0","0","0","0","0","0","5","0","4","0","5","0","0","0","1","0","28","0","4","0","0","5","6","0","0","50","56","0","0","0","0","5","0","4","0","5","28","0","4","0","7","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L18693","FluentTypeBuilder","Tests.FluentTypeBuilder","L520","L15176","D:\DataCollection\repos\OpenWrap_openwrap\src\OpenWrap.Tests\AssemblyBuilder.cs","79","5","169","6","0","5","0","0","0","0","0","0","0","0","0","0","0","1","0","0","80","91","0","1","0","0","0","0","1","10","0","9","0","10","0","0","0","0","0","33","0","9","0","0","10","10","0","0","80","91","0","1","0","1","10","0","9","0","10","33","0","9","0","13","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L18811","FluentPropertyBuilder","Tests.FluentPropertyBuilder","L520","L15176","D:\DataCollection\repos\OpenWrap_openwrap\src\OpenWrap.Tests\AssemblyBuilder.cs","171","5","219","6","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","45","49","0","0","0","0","0","0","0","6","0","6","0","6","0","0","0","0","0","18","0","6","0","0","7","6","0","0","45","49","0","0","0","0","6","0","6","0","6","18","0","6","0","8","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L18796","FluentMethodBuilder","Tests.FluentMethodBuilder","L520","L15176","D:\DataCollection\repos\OpenWrap_openwrap\src\OpenWrap.Tests\AssemblyBuilder.cs","221","5","262","6","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","36","42","0","2","0","0","0","0","2","5","0","5","0","5","0","0","0","0","0","11","0","5","0","0","6","5","0","0","36","42","0","2","0","2","5","0","5","0","5","11","0","5","0","6","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L21393","string_conversions","Tests.string_conversions","L520","L15176","D:\DataCollection\repos\OpenWrap_openwrap\src\OpenWrap.Tests\string_conversions.cs","12","5","75","6","0","4","0","0","0","0","0","0","0","0","0","1","0","10","0","0","59","64","0","0","0","0","0","0","0","10","0","8","0","13","1","0","0","4","1","16","0","9","0","0","9","14","0","0","59","64","0","0","0","0","10","0","8","0","13","16","0","9","0","10","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L18252","openwrap_context","Tests.openwrap_context","L520","L15176","D:\DataCollection\repos\OpenWrap_openwrap\src\OpenWrap.Tests\openwrap_context.cs","33","5","277","6","0","28","0","0","0","0","0","0","0","0","3","1","0","5","0","0","206","237","0","0","0","0","0","0","0","26","0","0","0","29","1","4","250","34","1","78","0","1","0","0","1","60","0","3","206","245","0","0","0","0","26","0","0","0","29","78","0","1","0","40","0","0","8","0","0","0","0","1","0","3","1","1","2"
"L15678","command","Tests.command<T>","L520","L15176","D:\DataCollection\repos\OpenWrap_openwrap\src\OpenWrap.Tests\openwrap_context.cs","279","5","331","6","0","10","0","0","0","0","0","0","0","0","0","2","0","4","0","0","44","52","0","0","0","0","0","0","0","6","0","2","0","35","2","66","228","13","1","16","0","3","0","0","3","19","0","0","44","53","0","0","0","0","6","0","2","0","35","16","0","3","0","10","0","0","4","0","0","1","0","1","0","0","1","2","0"
"L1122","SemanticVersion","OpenWrap.SemanticVersion","L940","L829, L14053, L14619, L24275","D:\DataCollection\repos\OpenWrap_openwrap\preloader\src\OpenWrap.Preloading\SemanticVersion.cs","9","5","203","6","0","0","0","0","0","0","0","0","0","0","4","0","0","4","0","0","170","195","0","5","0","0","0","0","5","30","0","19","5","30","0","0","0","0","0","109","0","19","5","0","20","30","0","4","170","195","0","5","0","5","30","0","19","5","30","109","0","19","5","79","0","0","6","0","0","2","0","1","2","0","1","0","2"
