"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DLOC","LDC","LLDC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L15619","ShouldHavePackage","Tests.RepositoryAssertions.ShouldHavePackage<T>(T, string, string)T","L17828","L15176","D:\DataCollection\repos\OpenWrap_openwrap\src\OpenWrap.Tests\RepositoryAssertions.cs","9","9","15","10","0","0","0","0","0","0","0","0","0","0","0","7","7","1","0","0","0","2","3","3","0","0","7","7","3","0","0","0","0","0","0","0","0","0","0","0"
"L15664","ShouldNotHavePackage","Tests.RepositoryAssertions.ShouldNotHavePackage<T>(T, string, string)T","L17828","L15176","D:\DataCollection\repos\OpenWrap_openwrap\src\OpenWrap.Tests\RepositoryAssertions.cs","16","9","21","10","0","0","0","0","0","0","0","0","0","0","0","6","6","1","0","0","0","1","2","3","0","0","6","6","2","0","0","0","0","0","0","0","0","0","0","0"
"L16256","ShouldHaveLock","Tests.TestExtensions.ShouldHaveLock(OpenWrap.Repositories.ISupportLocking, string, string, string)void","L17889","L15176","D:\DataCollection\repos\OpenWrap_openwrap\src\OpenWrap.Tests\TestExtensions.cs","11","9","15","10","0","0","0","0","0","0","0","0","0","0","0","5","5","2","0","0","0","1","1","4","0","0","5","5","1","0","0","0","0","0","0","0","0","0","0","0"
"L16268","ShouldNotHaveLock","Tests.TestExtensions.ShouldNotHaveLock(OpenWrap.Repositories.ISupportLocking, string, string)void","L17889","L15176","D:\DataCollection\repos\OpenWrap_openwrap\src\OpenWrap.Tests\TestExtensions.cs","16","9","19","10","0","0","0","0","0","0","0","0","0","0","0","4","4","2","0","0","0","1","1","3","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L16533","ShouldBe","Tests.TestExtensions.ShouldBe(OpenWrap.SemanticVersion, string)OpenWrap.SemanticVersion","L17889","L15176","D:\DataCollection\repos\OpenWrap_openwrap\src\OpenWrap.Tests\TestExtensions.cs","20","9","24","10","0","0","0","0","0","0","0","0","0","0","0","5","5","1","0","0","0","2","2","2","0","0","5","5","2","0","0","0","0","0","0","0","0","0","0","0"
"L17903","ShouldMatch","Tests.TestExtensions.ShouldMatch(string, string)string","L17889","L15176","D:\DataCollection\repos\OpenWrap_openwrap\src\OpenWrap.Tests\TestExtensions.cs","25","9","29","10","0","0","0","0","0","0","0","0","0","0","0","5","5","1","0","0","0","0","2","2","0","0","5","5","2","0","0","0","0","0","0","0","0","0","0","0"
"L18521","OpenWrap.Repositories.IRemoteRepositoryFactory.FromUserInput","Tests.MemoryRepositoryFactory.FromUserInput(string, NetworkCredential)OpenWrap.Repositories.IPackageRepository","L18516","L15176","D:\DataCollection\repos\OpenWrap_openwrap\src\OpenWrap.Tests\MemoryRepositoryFactory.cs","10","9","13","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","0","1","2","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L18528","OpenWrap.Repositories.IRemoteRepositoryFactory.FromToken","Tests.MemoryRepositoryFactory.OpenWrap.Repositories.IRemoteRepositoryFactory.FromToken(string)OpenWrap.Repositories.IPackageRepository","L18516","L15176","D:\DataCollection\repos\OpenWrap_openwrap\src\OpenWrap.Tests\MemoryRepositoryFactory.cs","16","9","19","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","0","1","1","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L18750","CreateAssembly","Tests.AssemblyBuilder.CreateAssembly(Stream, string, params Expression<Action<Tests.FluentTypeBuilder>>[])void","L18725","L15176","D:\DataCollection\repos\OpenWrap_openwrap\src\OpenWrap.Tests\AssemblyBuilder.cs","22","9","26","10","0","0","0","0","0","0","0","0","0","0","0","5","5","1","0","0","0","1","2","3","0","0","5","5","2","0","0","0","0","0","0","0","0","0","0","0"
"L18754","CreateAssembly","Tests.AssemblyBuilder.CreateAssembly(string, Expression<Action<Tests.FluentTypeBuilder>>[])AssemblyDefinition","L18725","L15176","D:\DataCollection\repos\OpenWrap_openwrap\src\OpenWrap.Tests\AssemblyBuilder.cs","28","9","40","10","0","0","0","0","0","0","0","0","0","0","0","13","13","2","0","0","0","1","8","2","0","0","13","13","8","0","0","0","0","0","0","0","0","0","0","0"
