"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L2596","GuidList","VisualRust.GuidList","L114","L2313, L5239","D:\DataCollection\repos\PistonDevelopers_VisualRust\src\VisualRust\GuidList.cs","5","5","14","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","9","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L2512","ProjectProperties","VisualRust.ProjectProperties","L114","L2313, L5239","D:\DataCollection\repos\PistonDevelopers_VisualRust\src\VisualRust\ProjectProperties.cs","10","5","45","6","0.6","0","0","0","0","0","0","0","0","0","3","0","3","0","0","0","21","36","0","0","0","0","0","0","0","4","0","4","0","4","0","0","0","0","0","0","0","4","0","3","2","4","0","3","21","36","0","0","0","0","4","0","4","0","4","0","0","4","0","4","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L2980","ProvideDebugEngineAttribute","VisualRust.ProvideDebugEngineAttribute","L114","L2313, L5239","D:\DataCollection\repos\PistonDevelopers_VisualRust\src\VisualRust\ProvideDebugEngineAttribute.cs","11","5","57","6","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","41","47","0","0","0","0","0","0","0","3","0","3","0","3","0","0","0","0","0","25","0","3","0","0","4","3","0","0","41","47","0","0","0","0","3","0","3","0","3","25","0","3","0","3","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L2921","Resources","VisualRust.Resources","L114","L2313, L5239","D:\DataCollection\repos\PistonDevelopers_VisualRust\src\VisualRust\Resources.Designer.cs","22","5","92","6","0","0","0","0","0","0","0","0","0","0","3","0","3","0","0","0","42","71","0","5","0","0","0","0","5","7","0","0","1","7","0","0","0","0","0","12","0","0","1","0","1","7","0","3","42","71","0","5","0","5","7","0","0","1","7","12","0","0","1","8","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L3093","VisualRustBraceMatcher","VisualRust.VisualRustBraceMatcher","L114","L2313, L5239","D:\DataCollection\repos\PistonDevelopers_VisualRust\src\VisualRust\RustBraceMatcher.cs","23","5","236","6","0","0","0","0","0","0","0","0","0","0","44","0","0","4","0","0","169","214","0","3","0","0","0","0","3","13","0","1","3","13","0","0","0","0","0","98","0","1","3","0","2","13","0","44","169","214","0","3","0","3","13","0","1","3","13","98","0","1","3","41","0","0","3","0","0","1","0","1","1","0","1","0","0"
"L3195","BraceMatchingTaggerProvider","VisualRust.BraceMatchingTaggerProvider","L114","L2313, L5239","D:\DataCollection\repos\PistonDevelopers_VisualRust\src\VisualRust\RustBraceMatcher.cs","238","5","255","6","0","1","0","0","0","0","0","0","0","0","2","0","0","1","0","0","14","18","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","1","0","5","0","1","0","0","2","2","0","2","14","18","0","0","0","0","1","0","1","0","1","5","0","1","0","3","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L3375","RustCommentSelectionCommandHandler","VisualRust.RustCommentSelectionCommandHandler","L114","L2313, L5239","D:\DataCollection\repos\PistonDevelopers_VisualRust\src\VisualRust\RustCommentSelectionCommandHandler.cs","10","5","118","6","0","2","0","0","0","0","0","0","0","0","12","1","0","4","0","0","86","109","0","4","0","0","0","0","1","6","0","1","0","17","1","0","0","1","1","39","0","3","0","0","2","7","0","12","86","109","0","4","0","1","6","0","1","0","17","39","0","3","0","20","0","0","3","0","0","1","0","1","1","0","1","0","0"
"L3422","RustCompletionCommandHandler","VisualRust.RustCompletionCommandHandler","L114","L2313, L5239","D:\DataCollection\repos\PistonDevelopers_VisualRust\src\VisualRust\RustCompletionCommandHandler.cs","20","5","230","6","0","3","0","0","0","0","0","0","0","0","8","1","0","3","0","0","169","211","0","6","0","0","0","0","3","14","0","2","1","25","1","0","0","2","1","85","0","4","1","0","3","16","0","8","169","211","0","6","0","3","14","0","2","1","25","85","0","4","1","51","0","0","4","0","0","2","0","1","1","0","1","0","1"
"L3481","RustCompletionSourceProvider","VisualRust.RustCompletionSourceProvider","L114","L2313, L5239","D:\DataCollection\repos\PistonDevelopers_VisualRust\src\VisualRust\RustCompletionSource.cs","14","5","29","6","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","14","16","0","2","0","0","0","0","2","5","0","1","2","5","0","0","0","1","0","1","0","1","2","0","2","6","0","0","14","16","0","2","0","2","5","0","1","2","5","1","0","1","2","5","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L3506","RustCompletionSource","VisualRust.RustCompletionSource","L114","L2313, L5239","D:\DataCollection\repos\PistonDevelopers_VisualRust\src\VisualRust\RustCompletionSource.cs","32","5","296","6","0.25","6","0","0","0","0","0","0","0","0","33","0","15","4","0","0","184","251","0","0","0","0","0","0","0","11","0","3","0","11","0","0","0","3","0","98","0","3","0","1","3","14","0","33","199","265","0","0","0","0","11","0","3","0","11","98","0","3","0","45","0","0","4","0","0","3","0","1","2","0","1","0","0"
