"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DLOC","LDC","LLDC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L2937",".ctor","VisualRust.ProjectProperties.ProjectProperties(ConfiguredProject)void","L2512","L2313, L5239","D:\DataCollection\repos\PistonDevelopers_VisualRust\src\VisualRust\ProjectProperties.cs","16","9","20","10","0","0","0","0","0","0","0","0","0","0","0","5","5","1","0","0","0","0","0","1","0","0","5","5","0","0","0","0","0","0","0","0","0","0","0","0"
"L2939",".ctor","VisualRust.ProjectProperties.ProjectProperties(ConfiguredProject, string, string, string)void","L2512","L2313, L5239","D:\DataCollection\repos\PistonDevelopers_VisualRust\src\VisualRust\ProjectProperties.cs","25","9","28","10","0","0","0","0","0","0","0","3","3","0","0","4","4","1","0","0","0","0","0","4","0","3","4","4","0","0","0","0","0","0","0","0","0","0","0","0"
"L2945",".ctor","VisualRust.ProjectProperties.ProjectProperties(ConfiguredProject, IProjectPropertiesContext)void","L2512","L2313, L5239","D:\DataCollection\repos\PistonDevelopers_VisualRust\src\VisualRust\ProjectProperties.cs","33","9","36","10","0","0","0","0","0","0","0","3","3","0","0","4","4","1","0","0","0","0","0","2","0","3","4","4","0","0","0","0","0","0","0","0","0","0","0","0"
"L2951",".ctor","VisualRust.ProjectProperties.ProjectProperties(ConfiguredProject, UnconfiguredProject)void","L2512","L2313, L5239","D:\DataCollection\repos\PistonDevelopers_VisualRust\src\VisualRust\ProjectProperties.cs","41","9","44","10","0","0","0","0","0","0","0","3","3","0","0","4","4","1","0","0","0","0","0","2","0","3","4","4","0","0","0","0","0","0","0","0","0","0","0","0"
"L2985",".ctor","VisualRust.ProvideDebugEngineAttribute.ProvideDebugEngineAttribute(string, Type, Type, string)void","L2980","L2313, L5239","D:\DataCollection\repos\PistonDevelopers_VisualRust\src\VisualRust\ProvideDebugEngineAttribute.cs","18","9","24","10","0","0","0","0","0","0","0","0","0","0","0","7","7","1","0","0","0","0","4","4","0","0","7","7","4","0","0","0","0","0","0","0","0","0","0","0"
"L2994","Register","VisualRust.ProvideDebugEngineAttribute.Register(RegistrationContext)void","L2980","L2313, L5239","D:\DataCollection\repos\PistonDevelopers_VisualRust\src\VisualRust\ProvideDebugEngineAttribute.cs","26","9","52","10","0","0","0","0","0","0","0","0","0","0","0","24","27","1","0","0","0","0","21","1","0","0","24","27","21","0","0","0","0","0","0","0","0","0","0","0"
"L2996","Unregister","VisualRust.ProvideDebugEngineAttribute.Unregister(RegistrationContext)void","L2980","L2313, L5239","D:\DataCollection\repos\PistonDevelopers_VisualRust\src\VisualRust\ProvideDebugEngineAttribute.cs","54","9","56","10","0","0","0","0","0","0","0","0","0","0","0","3","3","1","0","0","0","0","0","1","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0"
"L3080",".ctor","VisualRust.Resources.Resources()void","L2921","L2313, L5239","D:\DataCollection\repos\PistonDevelopers_VisualRust\src\VisualRust\Resources.Designer.cs","31","9","33","10","0","0","0","0","0","0","0","0","0","0","0","3","3","1","0","0","0","0","0","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0"
"L3081","get_ResourceManager","VisualRust.Resources.ResourceManager.getSystem.Resources.ResourceManager","L2921","L2313, L5239","D:\DataCollection\repos\PistonDevelopers_VisualRust\src\VisualRust\Resources.Designer.cs","40","13","46","14","0","0","0","0","0","0","0","0","0","0","0","7","7","2","0","0","0","0","4","0","0","0","7","7","4","0","0","0","0","0","0","0","0","0","0","0"
"L3083","get_Culture","VisualRust.Resources.Culture.getSystem.Globalization.CultureInfo","L2921","L2313, L5239","D:\DataCollection\repos\PistonDevelopers_VisualRust\src\VisualRust\Resources.Designer.cs","55","13","57","14","0","0","0","0","0","0","0","0","0","0","0","3","3","1","0","0","0","0","1","0","0","0","3","3","1","0","0","0","0","0","0","0","0","0","0","0"
