"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DLOC","LDC","LLDC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L122","Pokemon_DefaultName_Test","Tests.StringTest.Pokemon_DefaultName_Test()void","L118","L103","D:\DataCollection\repos\PokemonUnity_PokemonUnity\UnitTestProject\StringTest.cs","14","3","19","4","0","0","0","0","0","0","0","0","0","0","0","6","6","1","0","0","0","0","2","0","0","0","6","6","2","0","0","0","0","0","0","0","0","0","0","0"
"L126","Pokemon_Nickname_Test","Tests.StringTest.Pokemon_Nickname_Test()void","L118","L103","D:\DataCollection\repos\PokemonUnity_PokemonUnity\UnitTestProject\StringTest.cs","21","3","29","4","0","0","0","0","0","0","0","1","0","0","0","8","9","1","0","0","0","0","4","0","0","1","8","9","4","0","0","0","0","0","0","0","0","0","0","0"
"L127","Trainer_SetPokemon_Nickname","Tests.StringTest.Trainer_SetPokemon_Nickname()void","L118","L103","D:\DataCollection\repos\PokemonUnity_PokemonUnity\UnitTestProject\StringTest.cs","30","9","45","4","0","0","0","0","0","0","0","5","0","0","0","11","16","2","0","0","0","0","8","0","0","5","11","16","8","0","0","0","0","0","0","0","0","0","0","0"
"L128","Pokemon_Name_Test","Tests.StringTest.Pokemon_Name_Test()void","L118","L103","D:\DataCollection\repos\PokemonUnity_PokemonUnity\UnitTestProject\StringTest.cs","48","3","51","4","0","0","0","0","0","0","0","1","1","0","0","4","4","1","0","0","0","0","1","0","0","1","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L130","Pokemon_FlavorText_Test","Tests.StringTest.Pokemon_FlavorText_Test()void","L118","L103","D:\DataCollection\repos\PokemonUnity_PokemonUnity\UnitTestProject\StringTest.cs","53","3","56","4","0","0","0","0","0","0","0","1","1","0","0","4","4","1","0","0","0","0","1","0","0","1","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L131","Move_Name_Test","Tests.StringTest.Move_Name_Test()void","L118","L103","D:\DataCollection\repos\PokemonUnity_PokemonUnity\UnitTestProject\StringTest.cs","58","3","61","4","0","0","0","0","0","0","0","1","1","0","0","4","4","1","0","0","0","0","1","0","0","1","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L132","Move_FlavorText_Test","Tests.StringTest.Move_FlavorText_Test()void","L118","L103","D:\DataCollection\repos\PokemonUnity_PokemonUnity\UnitTestProject\StringTest.cs","63","3","66","4","0","0","0","0","0","0","0","1","1","0","0","4","4","1","0","0","0","0","1","0","0","1","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L133","Item_Name_Test","Tests.StringTest.Item_Name_Test()void","L118","L103","D:\DataCollection\repos\PokemonUnity_PokemonUnity\UnitTestProject\StringTest.cs","68","3","71","4","0","0","0","0","0","0","0","1","1","0","0","4","4","1","0","0","0","0","1","0","0","1","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L134","Item_FlavorText_Test","Tests.StringTest.Item_FlavorText_Test()void","L118","L103","D:\DataCollection\repos\PokemonUnity_PokemonUnity\UnitTestProject\StringTest.cs","73","3","76","4","0","0","0","0","0","0","0","1","1","0","0","4","4","1","0","0","0","0","1","0","0","1","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L135","NPC_Name_Test","Tests.StringTest.NPC_Name_Test()void","L118","L103","D:\DataCollection\repos\PokemonUnity_PokemonUnity\UnitTestProject\StringTest.cs","78","3","83","4","0","0","0","0","0","0","0","2","1","0","0","5","6","1","0","0","0","0","2","0","0","2","5","6","2","0","0","0","0","0","0","0","0","0","0","0"
