"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L130","ExplanationItemTemplate","TestInterface.ExplanationItemTemplate","L104","L103","D:\DataCollection\repos\PowerPointLabs_PowerPointLabs\PowerPointLabs\TestInterface\ExplanationItemTemplate.cs","6","5","39","6","0","1","0","0","0","0","0","0","0","0","2","1","0","1","0","0","31","34","0","12","0","0","0","0","6","14","0","14","6","26","1","0","0","0","1","10","0","26","12","0","15","14","0","2","31","34","0","12","0","6","14","0","14","6","26","10","0","26","12","19","0","0","3","0","0","0","0","0","0","0","1","0","2"
"L649","AgendaLabBeamSyncTest","Test.FunctionalTest.AgendaLabBeamSyncTest","L614","L613","D:\DataCollection\repos\PowerPointLabs_PowerPointLabs\PowerPointLabs\Test\FunctionalTest\AgendaLabBeamSyncTest.cs","10","5","141","6","0","6","0","0","0","0","0","0","0","0","8","2","3","2","0","0","110","132","0","1","0","0","0","0","0","10","0","8","0","29","2","0","0","3","1","43","0","14","1","0","9","13","0","8","110","132","0","1","0","0","10","0","8","0","29","43","0","14","1","12","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L694","AgendaLabWithSlideNumberGenerateTest","Test.FunctionalTest.AgendaLabWithSlideNumberGenerateTest","L614","L613","D:\DataCollection\repos\PowerPointLabs_PowerPointLabs\PowerPointLabs\Test\FunctionalTest\AgendaLabWithSlideNumberGenerateTest.cs","7","5","63","6","0","6","0","0","0","0","0","0","0","0","0","2","0","2","0","0","50","57","0","1","0","0","0","0","0","5","0","1","0","24","2","0","0","2","1","21","0","7","1","0","2","7","0","0","50","57","0","1","0","0","5","0","1","0","24","21","0","7","1","5","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L712","AgendaLabGenerateTest","Test.FunctionalTest.AgendaLabGenerateTest","L614","L613","D:\DataCollection\repos\PowerPointLabs_PowerPointLabs\PowerPointLabs\Test\FunctionalTest\AgendaLabGenerateTest.cs","7","5","184","6","0","6","0","0","0","0","0","0","0","0","1","2","0","2","0","0","150","177","0","1","0","0","0","0","0","12","0","6","0","31","2","0","0","2","1","72","0","12","1","0","7","14","0","1","150","178","0","1","0","0","12","0","6","0","31","72","0","12","1","16","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L743","AgendaLabTextSyncTest","Test.FunctionalTest.AgendaLabTextSyncTest","L614","L613","D:\DataCollection\repos\PowerPointLabs_PowerPointLabs\PowerPointLabs\Test\FunctionalTest\AgendaLabTextSyncTest.cs","7","5","104","6","0","5","0","0","0","0","0","0","0","0","2","2","0","2","0","0","75","98","0","1","0","0","0","0","0","7","0","6","0","26","2","0","0","1","1","36","0","12","1","0","7","8","0","2","75","98","0","1","0","0","7","0","6","0","26","36","0","12","1","7","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L756","AgendaLabVisualSyncTest","Test.FunctionalTest.AgendaLabVisualSyncTest","L614","L613","D:\DataCollection\repos\PowerPointLabs_PowerPointLabs\PowerPointLabs\Test\FunctionalTest\AgendaLabVisualSyncTest.cs","7","5","31","6","0","5","0","0","0","0","0","0","0","0","0","2","0","2","0","0","23","25","0","1","0","0","0","0","0","3","0","2","0","22","2","0","0","2","1","7","0","8","1","0","3","5","0","0","23","25","0","1","0","0","3","0","2","0","22","7","0","8","1","3","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L761","AnimateInSlideTest","Test.FunctionalTest.AnimateInSlideTest","L614","L613","D:\DataCollection\repos\PowerPointLabs_PowerPointLabs\PowerPointLabs\Test\FunctionalTest\AnimateInSlideTest.cs","9","5","76","6","0","2","0","0","0","0","0","0","0","0","3","2","0","2","0","0","51","68","0","1","0","0","0","0","0","4","0","3","0","23","2","0","0","0","1","29","0","9","1","0","4","4","0","3","51","68","0","1","0","0","4","0","3","0","23","29","0","9","1","4","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L769","AutoAnimateTest","Test.FunctionalTest.AutoAnimateTest","L614","L613","D:\DataCollection\repos\PowerPointLabs_PowerPointLabs\PowerPointLabs\Test\FunctionalTest\AutoAnimateTest.cs","10","5","120","6","0","2","0","0","0","0","0","0","0","0","8","2","0","2","0","0","80","106","0","1","0","0","0","0","0","8","0","3","0","27","2","0","0","2","1","40","0","9","1","0","4","10","0","8","80","111","0","1","0","0","8","0","3","0","27","40","0","9","1","8","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L788","AutoCaptionsTest","Test.FunctionalTest.AutoCaptionsTest","L614","L613","D:\DataCollection\repos\PowerPointLabs_PowerPointLabs\PowerPointLabs\Test\FunctionalTest\AutoCaptionsTest.cs","9","5","45","6","0","4","0","0","0","0","0","0","0","0","0","2","0","2","0","0","31","37","0","1","0","0","0","0","0","3","0","2","0","22","2","0","0","1","1","11","0","8","1","0","3","4","0","0","31","37","0","1","0","0","3","0","2","0","22","11","0","8","1","3","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L792","AutoCropTest","Test.FunctionalTest.AutoCropTest","L614","L613","D:\DataCollection\repos\PowerPointLabs_PowerPointLabs\PowerPointLabs\Test\FunctionalTest\AutoCropTest.cs","9","5","138","6","0","3","0","0.515933","1","2","0","2","0.353846","0.341463","12","2","0","2","46","28","83","130","0","1","0","0","0","0","0","8","0","4","0","27","2","0","0","0","1","45","0","10","1","0","5","8","0","12","83","130","0","1","0","0","8","0","4","0","27","45","0","10","1","8","0","0","21","0","0","0","19","1","0","0","1","0","0"
