"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DLOC","LDC","LLDC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L137","get_IsCallout","TestInterface.ExplanationItemTemplate.IsCallout.getbool","L130","L103","D:\DataCollection\repos\PowerPointLabs_PowerPointLabs\PowerPointLabs\TestInterface\ExplanationItemTemplate.cs","9","33","9","37","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L143","set_IsCallout","TestInterface.ExplanationItemTemplate.IsCallout.setvoid","L130","L103","D:\DataCollection\repos\PowerPointLabs_PowerPointLabs\PowerPointLabs\TestInterface\ExplanationItemTemplate.cs","9","38","9","42","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L148","get_IsCaption","TestInterface.ExplanationItemTemplate.IsCaption.getbool","L130","L103","D:\DataCollection\repos\PowerPointLabs_PowerPointLabs\PowerPointLabs\TestInterface\ExplanationItemTemplate.cs","10","33","10","37","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L151","set_IsCaption","TestInterface.ExplanationItemTemplate.IsCaption.setvoid","L130","L103","D:\DataCollection\repos\PowerPointLabs_PowerPointLabs\PowerPointLabs\TestInterface\ExplanationItemTemplate.cs","10","38","10","42","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L153","get_IsVoice","TestInterface.ExplanationItemTemplate.IsVoice.getbool","L130","L103","D:\DataCollection\repos\PowerPointLabs_PowerPointLabs\PowerPointLabs\TestInterface\ExplanationItemTemplate.cs","11","31","11","35","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L156","set_IsVoice","TestInterface.ExplanationItemTemplate.IsVoice.setvoid","L130","L103","D:\DataCollection\repos\PowerPointLabs_PowerPointLabs\PowerPointLabs\TestInterface\ExplanationItemTemplate.cs","11","36","11","40","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L158","get_VoiceLabel","TestInterface.ExplanationItemTemplate.VoiceLabel.getstring","L130","L103","D:\DataCollection\repos\PowerPointLabs_PowerPointLabs\PowerPointLabs\TestInterface\ExplanationItemTemplate.cs","12","36","12","40","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L164","set_VoiceLabel","TestInterface.ExplanationItemTemplate.VoiceLabel.setvoid","L130","L103","D:\DataCollection\repos\PowerPointLabs_PowerPointLabs\PowerPointLabs\TestInterface\ExplanationItemTemplate.cs","12","41","12","45","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L166","get_IsShortVersionIndicated","TestInterface.ExplanationItemTemplate.IsShortVersionIndicated.getbool","L130","L103","D:\DataCollection\repos\PowerPointLabs_PowerPointLabs\PowerPointLabs\TestInterface\ExplanationItemTemplate.cs","13","47","13","51","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L169","set_IsShortVersionIndicated","TestInterface.ExplanationItemTemplate.IsShortVersionIndicated.setvoid","L130","L103","D:\DataCollection\repos\PowerPointLabs_PowerPointLabs\PowerPointLabs\TestInterface\ExplanationItemTemplate.cs","13","52","13","56","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L171","get_CaptionText","TestInterface.ExplanationItemTemplate.CaptionText.getstring","L130","L103","D:\DataCollection\repos\PowerPointLabs_PowerPointLabs\PowerPointLabs\TestInterface\ExplanationItemTemplate.cs","14","37","14","41","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L174","set_CaptionText","TestInterface.ExplanationItemTemplate.CaptionText.setvoid","L130","L103","D:\DataCollection\repos\PowerPointLabs_PowerPointLabs\PowerPointLabs\TestInterface\ExplanationItemTemplate.cs","14","42","14","46","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L176","Equals","TestInterface.ExplanationItemTemplate.Equals(object)bool","L130","L103","D:\DataCollection\repos\PowerPointLabs_PowerPointLabs\PowerPointLabs\TestInterface\ExplanationItemTemplate.cs","16","9","26","10","0","0","0","0","0","0","0","2","0","0","0","10","11","6","0","0","0","5","2","1","0","2","10","11","2","0","0","0","0","0","0","0","0","0","0","0"
"L201","GetHashCode","TestInterface.ExplanationItemTemplate.GetHashCode()int","L130","L103","D:\DataCollection\repos\PowerPointLabs_PowerPointLabs\PowerPointLabs\TestInterface\ExplanationItemTemplate.cs","28","9","38","10","0","0","0","0","0","0","0","0","0","0","0","11","11","1","0","0","0","6","8","0","0","0","11","11","8","0","0","0","0","0","0","0","0","0","0","0"
"L229","get_DefaultVoiceLabel","TestInterface.IELearningLabController.DefaultVoiceLabel.getstring","L228","L103","D:\DataCollection\repos\PowerPointLabs_PowerPointLabs\PowerPointLabs\TestInterface\IELearningLabController.cs","5","36","5","40","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L230","OpenPane","TestInterface.IELearningLabController.OpenPane()void","L228","L103","D:\DataCollection\repos\PowerPointLabs_PowerPointLabs\PowerPointLabs\TestInterface\IELearningLabController.cs","7","9","7","25","0","","","0","","0","0","0","0","0","0","1","1","1","0","0","0","","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L231","CreateTemplateExplanations","TestInterface.IELearningLabController.CreateTemplateExplanations(params TestInterface.ExplanationItemTemplate[])void","L228","L103","D:\DataCollection\repos\PowerPointLabs_PowerPointLabs\PowerPointLabs\TestInterface\IELearningLabController.cs","8","9","8","81","0","","","0","","0","0","0","0","0","0","1","1","1","0","0","0","","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L235","GetExplanations","TestInterface.IELearningLabController.GetExplanations()TestInterface.ExplanationItemTemplate[]","L228","L103","D:\DataCollection\repos\PowerPointLabs_PowerPointLabs\PowerPointLabs\TestInterface\IELearningLabController.cs","9","9","9","53","0","","","0","","0","0","0","0","0","0","1","1","1","0","0","0","","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L236","AddSelfExplanationItem","TestInterface.IELearningLabController.AddSelfExplanationItem()void","L228","L103","D:\DataCollection\repos\PowerPointLabs_PowerPointLabs\PowerPointLabs\TestInterface\IELearningLabController.cs","10","9","10","39","0","","","0","","0","0","0","0","0","0","1","1","1","0","0","0","","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L237","AddAbove","TestInterface.IELearningLabController.AddAbove(int)void","L228","L103","D:\DataCollection\repos\PowerPointLabs_PowerPointLabs\PowerPointLabs\TestInterface\IELearningLabController.cs","11","9","11","34","0","","","0","","0","0","0","0","0","0","1","1","1","0","0","0","","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L239","AddBelow","TestInterface.IELearningLabController.AddBelow(int)void","L228","L103","D:\DataCollection\repos\PowerPointLabs_PowerPointLabs\PowerPointLabs\TestInterface\IELearningLabController.cs","12","9","12","34","0","","","0","","0","0","0","0","0","0","1","1","1","0","0","0","","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L241","AddAtBottom","TestInterface.IELearningLabController.AddAtBottom()void","L228","L103","D:\DataCollection\repos\PowerPointLabs_PowerPointLabs\PowerPointLabs\TestInterface\IELearningLabController.cs","13","9","13","28","0","","","0","","0","0","0","0","0","0","1","1","1","0","0","0","","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L242","Sync","TestInterface.IELearningLabController.Sync()void","L228","L103","D:\DataCollection\repos\PowerPointLabs_PowerPointLabs\PowerPointLabs\TestInterface\IELearningLabController.cs","14","9","14","21","0","","","0","","0","0","0","0","0","0","1","1","1","0","0","0","","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L243","Reorder","TestInterface.IELearningLabController.Reorder()void","L228","L103","D:\DataCollection\repos\PowerPointLabs_PowerPointLabs\PowerPointLabs\TestInterface\IELearningLabController.cs","15","9","15","24","0","","","0","","0","0","0","0","0","0","1","1","1","0","0","0","","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L244","Delete","TestInterface.IELearningLabController.Delete()void","L228","L103","D:\DataCollection\repos\PowerPointLabs_PowerPointLabs\PowerPointLabs\TestInterface\IELearningLabController.cs","16","9","16","23","0","","","0","","0","0","0","0","0","0","1","1","1","0","0","0","","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L245","get_IsCallout","TestInterface.IExplanationItem.IsCallout.getbool","L134","L103","D:\DataCollection\repos\PowerPointLabs_PowerPointLabs\PowerPointLabs\TestInterface\IExplanationItem.cs","5","26","5","30","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
