"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L446","DebugCheats","NomaiVR.DebugCheats","L113","L103","D:\DataCollection\repos\Raicuparta_nomai-vr\NomaiVR\DebugCheats.cs","7","5","67","6","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","5","11","0","2","0","0","0","0","0","0","0","0","0","7","1","0","0","0","1","0","0","1","0","0","1","0","0","3","50","61","0","2","0","0","4","0","1","0","25","22","0","11","0","0","0","0","4","0","0","0","0","1","0","0","3","0","0"
"L1143","ForceSettings","NomaiVR.ForceSettings","L113","L103","D:\DataCollection\repos\Raicuparta_nomai-vr\NomaiVR\ForceSettings.cs","7","5","84","6","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","5","8","0","2","0","0","0","0","0","0","0","0","0","7","1","0","0","0","1","0","0","1","0","0","1","0","0","0","67","78","0","2","0","0","9","0","1","0","30","28","0","11","0","0","0","0","5","0","0","0","0","2","0","0","3","0","0"
"L1198","GlowyButton","NomaiVR.GlowyButton","L113","L103","D:\DataCollection\repos\Raicuparta_nomai-vr\NomaiVR\GlowyButton.cs","5","5","91","6","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","70","81","0","0","0","0","0","0","0","8","0","0","0","8","0","3","3","0","0","27","0","0","0","0","1","8","0","0","77","87","0","0","0","0","8","0","0","0","8","27","0","0","0","18","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L277","Logs","NomaiVR.Logs","L113","L103","D:\DataCollection\repos\Raicuparta_nomai-vr\NomaiVR\Logs.cs","14","5","54","6","0","3","0","0","0","0","0","0","0","0","0","0","0","1","0","0","35","41","0","0","0","0","0","0","0","5","0","5","0","5","0","0","0","0","0","13","0","5","0","0","6","5","0","0","35","41","0","0","0","0","5","0","5","0","5","13","0","5","0","9","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L221","NomaiVR","NomaiVR.NomaiVR","L113","L103","D:\DataCollection\repos\Raicuparta_nomai-vr\NomaiVR\NomaiVR.cs","18","5","108","6","0","42","0","0","0","0","0","0","0","0","3","0","0","2","0","0","79","91","0","0","0","0","0","0","0","4","0","1","0","4","0","0","0","4","0","52","0","1","0","0","2","8","0","3","79","91","0","0","0","0","4","0","1","0","4","52","0","1","0","5","0","0","3","0","0","0","0","1","0","1","1","0","0"
"L448","NomaiVRModule","NomaiVR.NomaiVRModule<TBehaviour, TPatch>","L113","L103","D:\DataCollection\repos\Raicuparta_nomai-vr\NomaiVR\NomaiVRModule.cs","7","5","75","6","0","6","0","0","0","0","0","0","0","0","0","0","0","1","0","0","57","69","0","2","0","0","0","0","2","7","0","1","0","7","0","38","38","2","0","20","0","1","0","0","2","9","0","0","57","69","0","2","0","2","7","0","1","0","7","20","0","1","0","14","0","0","2","0","0","1","0","0","0","0","1","1","0"
"L2837","NomaiVRModule","NomaiVR.NomaiVRModule","L113","L103","D:\DataCollection\repos\Raicuparta_nomai-vr\NomaiVR\NomaiVRModule.cs","77","5","87","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","10","11","0","0","0","0","1","0","1","0","15","0","0","10","0","0","0","0","3","0","0","0","0","0","0","0","3","0","0"
"L467","NomaiVRPatch","NomaiVR.NomaiVRPatch","L113","L103","D:\DataCollection\repos\Raicuparta_nomai-vr\NomaiVR\NomaiVRPatch.cs","6","5","74","6","0","2","0","0","0","0","0","0","0","0","0","0","0","11","0","0","56","69","0","0","0","0","0","0","0","14","0","9","0","14","0","31","31","3","0","14","0","9","0","0","10","17","0","0","56","69","0","0","0","0","14","0","9","0","14","14","0","9","0","16","0","0","3","0","0","0","0","1","0","0","1","1","0"
"L2906","TypeExtensions","NomaiVR.TypeExtensions","L113","L103","D:\DataCollection\repos\Raicuparta_nomai-vr\NomaiVR\TypeExtensions.cs","7","2","42","3","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","30","36","0","0","0","0","0","0","0","6","0","6","0","6","0","0","0","0","0","5","0","6","0","0","7","6","0","0","30","36","0","0","0","0","6","0","6","0","6","5","0","6","0","17","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L4856","NomaiVREnabler","NomaiVRPatcher.NomaiVREnabler","L4853","L4852","D:\DataCollection\repos\Raicuparta_nomai-vr\NomaiVRPatcher\NomaiVREnabler.cs","13","5","157","6","1","0","0","0","0","0","0","0","0","0","9","0","6","6","0","0","110","145","0","0","0","0","0","0","0","9","0","1","0","9","0","0","0","0","0","55","0","1","0","2","0","9","0","9","110","145","0","0","0","0","9","0","1","0","9","55","0","1","0","17","0","0","1","0","0","0","0","1","0","0","0","0","0"
