"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DLOC","LDC","LLDC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L1233","Awake","NomaiVR.GlowyButton.Awake()void","L1198","L103","D:\DataCollection\repos\Raicuparta_nomai-vr\NomaiVR\GlowyButton.cs","27","9","32","10","0","0","0","0","0","0","0","0","0","0","0","6","6","1","0","0","0","1","3","0","0","0","6","6","3","0","0","0","0","0","0","0","0","0","0","0"
"L1238","Update","NomaiVR.GlowyButton.Update()void","L1198","L103","D:\DataCollection\repos\Raicuparta_nomai-vr\NomaiVR\GlowyButton.cs","34","9","55","10","0","0","0","0","0","0","0","0","0","0","0","22","22","4","0","0","0","4","7","0","0","0","22","22","7","0","0","0","0","0","0","0","0","0","0","0"
"L1236","Initialize","NomaiVR.GlowyButton.Initialize()void","L1198","L103","D:\DataCollection\repos\Raicuparta_nomai-vr\NomaiVR\GlowyButton.cs","57","9","57","46","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L1241","IsButtonActive","NomaiVR.GlowyButton.IsButtonActive()bool","L1198","L103","D:\DataCollection\repos\Raicuparta_nomai-vr\NomaiVR\GlowyButton.cs","58","9","58","50","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L1246","IsButtonFocused","NomaiVR.GlowyButton.IsButtonFocused()bool","L1198","L103","D:\DataCollection\repos\Raicuparta_nomai-vr\NomaiVR\GlowyButton.cs","59","9","59","51","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L1239","IsButtonEnabled","NomaiVR.GlowyButton.IsButtonEnabled()bool","L1198","L103","D:\DataCollection\repos\Raicuparta_nomai-vr\NomaiVR\GlowyButton.cs","60","9","60","51","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L1251","SetButtonColor","NomaiVR.GlowyButton.SetButtonColor(Color)void","L1198","L103","D:\DataCollection\repos\Raicuparta_nomai-vr\NomaiVR\GlowyButton.cs","62","9","65","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","0","1","1","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L1244","SetState","NomaiVR.GlowyButton.SetState(NomaiVR.GlowyButton.ButtonState, NomaiVR.GlowyButton.ButtonState?)void","L1198","L103","D:\DataCollection\repos\Raicuparta_nomai-vr\NomaiVR\GlowyButton.cs","67","9","90","10","0","0","0","0","0","0","0","0","0","0","0","22","24","8","0","0","0","1","16","2","0","0","22","24","16","0","0","0","0","0","0","0","0","0","0","0"
"L2445","Write","NomaiVR.Logs.Write(string, NomaiVR.MessageType, bool)void","L277","L103","D:\DataCollection\repos\Raicuparta_nomai-vr\NomaiVR\Logs.cs","16","9","33","10","0","0","0","0","0","0","0","0","0","0","0","16","18","5","0","0","0","0","9","3","0","0","16","18","9","0","0","0","0","0","0","0","0","0","0","0"
"L2453","WriteInfo","NomaiVR.Logs.WriteInfo(string)void","L277","L103","D:\DataCollection\repos\Raicuparta_nomai-vr\NomaiVR\Logs.cs","35","9","38","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","1","1","1","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L2457","WriteSuccess","NomaiVR.Logs.WriteSuccess(string)void","L277","L103","D:\DataCollection\repos\Raicuparta_nomai-vr\NomaiVR\Logs.cs","40","9","43","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","1","1","1","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L2460","WriteWarning","NomaiVR.Logs.WriteWarning(string)void","L277","L103","D:\DataCollection\repos\Raicuparta_nomai-vr\NomaiVR\Logs.cs","45","9","48","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","1","1","1","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L280","WriteError","NomaiVR.Logs.WriteError(string)void","L277","L103","D:\DataCollection\repos\Raicuparta_nomai-vr\NomaiVR\Logs.cs","50","9","53","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","1","1","1","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L2629","Start","NomaiVR.NomaiVR.Start()void","L221","L103","D:\DataCollection\repos\Raicuparta_nomai-vr\NomaiVR\NomaiVR.cs","25","9","31","10","0","0","0","0","0","0","0","0","0","0","0","7","7","1","0","0","0","1","4","0","0","0","7","7","4","0","0","0","0","0","0","0","0","0","0","0"
"L2633","Configure","NomaiVR.NomaiVR.Configure(IModConfig)void","L221","L103","D:\DataCollection\repos\Raicuparta_nomai-vr\NomaiVR\NomaiVR.cs","33","9","37","10","0","0","0","0","0","0","0","0","0","0","0","5","5","1","0","0","0","2","2","1","0","0","5","5","2","0","0","0","0","0","0","0","0","0","0","0"
