"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L249","ThrottlingTimer","ThrottlingTimer","L100","L103","D:\DataCollection\repos\RickStrahl_Westwind.AspnetCore.LiveReload\Westwind.AspnetCore.LiveReload\ThrottlingTimer.cs","15","1","97","2","1","0","0","0","0","0","0","0","0","0","43","0","36","1","0","0","40","71","0","1","0","0","0","0","1","4","0","2","1","4","0","0","0","0","0","14","0","2","1","3","0","4","0","43","40","83","0","1","0","1","4","0","2","1","4","14","0","2","1","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L118","LiveReloadConfiguration","Westwind.AspNetCore.LiveReload.LiveReloadConfiguration","L104","L103","D:\DataCollection\repos\RickStrahl_Westwind.AspnetCore.LiveReload\Westwind.AspnetCore.LiveReload\LiveReloadConfiguration.cs","10","5","104","6","0.956522","0","0","0","0","0","0","0","0","0","63","0","63","0","0","0","14","95","0","11","0","0","0","0","11","22","0","22","11","22","0","0","0","0","0","0","0","22","11","22","1","22","0","63","14","95","0","11","0","11","22","0","22","11","22","0","0","22","11","22","0","0","7","0","0","0","0","0","0","0","1","0","6"
"L239","LiveReloadFileWatcher","Westwind.AspNetCore.LiveReload.LiveReloadFileWatcher","L104","L103","D:\DataCollection\repos\RickStrahl_Westwind.AspnetCore.LiveReload\Westwind.AspnetCore.LiveReload\LiveReloadFileWatcher.cs","8","5","188","6","0","4","0","0","0","0","0","0","0","0","3","0","0","1","0","0","151","178","0","0","0","0","0","0","0","12","0","2","0","12","0","0","0","10","0","71","0","2","0","0","3","22","0","3","151","181","0","0","0","0","12","0","2","0","12","71","0","2","0","32","0","0","2","0","0","1","0","0","1","0","1","0","0"
"L427","LiveReloadMiddleware","Westwind.AspNetCore.LiveReload.LiveReloadMiddleware","L104","L103","D:\DataCollection\repos\RickStrahl_Westwind.AspnetCore.LiveReload\Westwind.AspnetCore.LiveReload\LiveReloadMiddleware.cs","22","5","219","6","0.6","3","0","0","0","0","0","0","0","0","58","0","47","1","0","0","117","198","0","1","0","0","0","0","1","8","0","4","0","8","0","0","0","7","0","47","0","4","0","3","2","15","0","58","117","198","0","1","0","1","8","0","4","0","8","47","0","4","0","24","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L715","LiveReloadMiddlewareExtensions","Westwind.AspNetCore.LiveReload.LiveReloadMiddlewareExtensions","L104","L103","D:\DataCollection\repos\RickStrahl_Westwind.AspnetCore.LiveReload\Westwind.AspnetCore.LiveReload\LiveReloadMiddlewareExtensions.cs","13","5","92","6","1","3","0","0","0","0","0","0","0","0","15","0","14","2","0","0","53","80","0","0","0","0","0","0","0","2","0","2","0","2","0","0","0","7","0","29","0","2","0","3","0","9","0","15","53","80","0","0","0","0","2","0","2","0","2","29","0","2","0","10","0","0","1","0","0","0","0","1","0","0","0","0","0"
"L563","ResponseStreamWrapper","Westwind.AspNetCore.LiveReload.ResponseStreamWrapper","L104","L103","D:\DataCollection\repos\RickStrahl_Westwind.AspnetCore.LiveReload\Westwind.AspnetCore.LiveReload\ResponseStreamWrapper.cs","15","5","237","6","0.142857","3","0","0","0","0","0","0","0","0","34","0","18","3","0","0","150","223","0","5","0","0","0","0","5","22","0","20","1","22","0","0","0","3","0","59","0","20","1","3","18","25","0","34","150","223","0","5","0","5","22","0","20","1","22","59","0","20","1","54","0","0","5","0","0","1","0","1","1","0","1","0","2"
"L549","WebsocketScriptInjectionHelper","Westwind.AspNetCore.LiveReload.WebsocketScriptInjectionHelper","L104","L103","D:\DataCollection\repos\RickStrahl_Westwind.AspnetCore.LiveReload\Westwind.AspnetCore.LiveReload\WebsocketScriptInjectionHelper.cs","17","5","157","6","0.8","1","0","0","0","0","0","0","0","0","23","0","18","2","0","0","84","141","0","0","0","0","0","0","0","5","0","4","0","5","0","0","0","5","0","43","0","4","0","4","1","10","0","23","84","141","0","0","0","0","5","0","4","0","5","43","0","4","0","15","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L1270","Program","Westwind.AspNetCore.LiveReload.Web30.Program","L1223","L1260","D:\DataCollection\repos\RickStrahl_Westwind.AspnetCore.LiveReload\Samples\Westwind.AspnetCore.LiveReload.Web50\Program.cs","12","5","25","6","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","13","14","0","0","0","0","0","0","0","2","0","2","0","2","0","0","0","0","0","1","0","2","0","0","3","2","0","0","13","14","0","0","0","0","2","0","2","0","2","1","0","2","0","2","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L1279","Startup","Westwind.AspNetCore.LiveReload.Web30.Startup","L1223","L1260","D:\DataCollection\repos\RickStrahl_Westwind.AspnetCore.LiveReload\Samples\Westwind.AspnetCore.LiveReload.Web50\Startup.cs","11","5","121","6","0.4","0","0","0","0","0","0","0","0","0","7","0","2","2","0","0","71","76","0","1","0","0","0","0","1","4","0","4","0","4","0","0","0","0","0","22","0","4","0","2","3","4","0","7","71","111","0","1","0","1","4","0","4","0","4","22","0","4","0","5","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L1224","HomeController","Westwind.AspNetCore.LiveReload.Web30.Controllers.HomeController","L1218","L1217, L1260","D:\DataCollection\repos\RickStrahl_Westwind.AspnetCore.LiveReload\Samples\Westwind.AspnetCore.LiveReload.Web60\Controllers\HomeController.cs","11","5","33","6","0","1","0","0","0","0","0","0","0","0","0","0","0","4","0","0","40","46","0","0","0","0","0","0","0","4","0","4","0","4","0","0","0","1","0","4","0","4","0","0","5","5","0","0","40","46","0","0","0","0","4","0","4","0","4","4","0","4","0","6","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L1234","ErrorViewModel","Westwind.AspNetCore.LiveReload.Web30.Models.ErrorViewModel","L1240","L1217, L1260","D:\DataCollection\repos\RickStrahl_Westwind.AspnetCore.LiveReload\Samples\Westwind.AspnetCore.LiveReload.Web60\Models\ErrorViewModel.cs","5","5","10","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","12","0","1","0","0","0","0","1","2","0","2","1","2","0","0","0","0","0","0","0","2","1","0","3","2","0","0","10","12","0","1","0","1","2","0","2","1","2","0","0","2","1","2","0","0","1","0","0","0","0","0","0","0","1","0","0"
