"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DLOC","LDC","LLDC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L1053","get_timerStarted","ThrottlingTimer.timerStarted.getSystem.DateTime","L249","L103","D:\DataCollection\repos\RickStrahl_Westwind.AspnetCore.LiveReload\Westwind.AspnetCore.LiveReload\ThrottlingTimer.cs","19","37","19","41","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L1059","set_timerStarted","ThrottlingTimer.timerStarted.setvoid","L249","L103","D:\DataCollection\repos\RickStrahl_Westwind.AspnetCore.LiveReload\Westwind.AspnetCore.LiveReload\ThrottlingTimer.cs","19","42","19","46","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L432","Debounce","ThrottlingTimer.Debounce(int, System.Action<object>, object)void","L249","L103","D:\DataCollection\repos\RickStrahl_Westwind.AspnetCore.LiveReload\Westwind.AspnetCore.LiveReload\ThrottlingTimer.cs","35","5","58","6","0","0","0","0","0","0","0","18","14","0","0","15","18","2","0","0","0","0","5","3","0","18","15","24","5","0","0","0","0","0","0","0","0","0","0","0"
"L1100","Throttle","ThrottlingTimer.Throttle(int, System.Action<object>, object)void","L249","L103","D:\DataCollection\repos\RickStrahl_Westwind.AspnetCore.LiveReload\Westwind.AspnetCore.LiveReload\ThrottlingTimer.cs","70","5","96","6","0","0","0","0","0","0","0","13","10","0","0","19","21","3","0","0","0","2","9","3","0","13","19","27","9","0","0","0","0","0","0","0","0","0","0","0"
"L1080","<>f__(void, [object, System.Timers.ElapsedEventArgs])","ThrottlingTimer.Debounce(int, System.Action<object>, object)void.<>f__(void, [object, System.Timers.ElapsedEventArgs])","L432","L103","D:\DataCollection\repos\RickStrahl_Westwind.AspnetCore.LiveReload\Westwind.AspnetCore.LiveReload\ThrottlingTimer.cs","46","26","53","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1122","<>f__(void, [object, System.Timers.ElapsedEventArgs])","ThrottlingTimer.Throttle(int, System.Action<object>, object)void.<>f__(void, [object, System.Timers.ElapsedEventArgs])","L1100","L103","D:\DataCollection\repos\RickStrahl_Westwind.AspnetCore.LiveReload\Westwind.AspnetCore.LiveReload\ThrottlingTimer.cs","84","26","91","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L122","get_Current","Westwind.AspNetCore.LiveReload.LiveReloadConfiguration.Current.getWestwind.AspNetCore.LiveReload.LiveReloadConfiguration","L118","L103","D:\DataCollection\repos\RickStrahl_Westwind.AspnetCore.LiveReload\Westwind.AspnetCore.LiveReload\LiveReloadConfiguration.cs","15","57","15","61","0","0","0","0","0","0","0","3","3","0","0","1","1","1","0","0","0","0","0","0","0","3","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L128","set_Current","Westwind.AspNetCore.LiveReload.LiveReloadConfiguration.Current.setvoid","L118","L103","D:\DataCollection\repos\RickStrahl_Westwind.AspnetCore.LiveReload\Westwind.AspnetCore.LiveReload\LiveReloadConfiguration.cs","15","62","15","66","0","0","0","0","0","0","0","3","3","0","0","1","1","1","0","0","0","0","0","1","0","3","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L133","get_LiveReloadEnabled","Westwind.AspNetCore.LiveReload.LiveReloadConfiguration.LiveReloadEnabled.getbool","L118","L103","D:\DataCollection\repos\RickStrahl_Westwind.AspnetCore.LiveReload\Westwind.AspnetCore.LiveReload\LiveReloadConfiguration.cs","22","41","22","45","0","0","0","0","0","0","0","4","4","0","0","1","1","1","0","0","0","0","0","0","0","4","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L140","set_LiveReloadEnabled","Westwind.AspNetCore.LiveReload.LiveReloadConfiguration.LiveReloadEnabled.setvoid","L118","L103","D:\DataCollection\repos\RickStrahl_Westwind.AspnetCore.LiveReload\Westwind.AspnetCore.LiveReload\LiveReloadConfiguration.cs","22","46","22","50","0","0","0","0","0","0","0","4","4","0","0","1","1","1","0","0","0","0","0","1","0","4","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
