"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L121","ImportMeta","MtX.Control.ImportMeta","L104","L103","D:\DataCollection\repos\Root-MtX_Nro2Nsp\Source\Control\Import.cs","10","5","147","2","0.857143","5","0","0","0","0","0","0","0","0","10","0","6","5","0","0","113","138","0","0","0","0","0","0","0","6","0","6","0","6","0","0","0","6","0","66","0","6","0","6","1","12","0","10","113","138","0","0","0","0","6","0","6","0","6","66","0","6","0","24","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L382","IconImport","MtX.Control.IconImport","L104","L103","D:\DataCollection\repos\Root-MtX_Nro2Nsp\Source\Control\Image.cs","9","5","56","6","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","48","48","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","28","0","1","0","0","2","1","0","0","48","48","0","0","0","0","1","0","1","0","1","28","0","1","0","6","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L554","Source","MtX.Control.Source","L104","L103","D:\DataCollection\repos\Root-MtX_Nro2Nsp\Source\Control\Source.cs","7","5","90","6","0","3","0","0","0","0","0","0","0","0","6","0","0","2","0","0","71","84","0","9","0","0","0","0","9","20","0","20","9","20","0","0","0","4","0","43","0","20","9","0","21","24","0","6","71","84","0","9","0","9","20","0","20","9","20","43","0","20","9","24","0","0","7","0","0","0","0","1","0","0","1","0","5"
"L158","Tools","MtX.Control.Tools","L104","L103","D:\DataCollection\repos\Root-MtX_Nro2Nsp\Source\Control\Tools.cs","14","5","303","6","0.428571","3","0","0.143522","1","10","0","2","0.158621","0.1893","12","0","9","6","46","46","242","286","0","5","0","0","0","0","5","20","0","20","5","20","0","0","0","1","0","130","0","20","5","9","12","21","0","12","247","290","0","5","0","5","20","0","20","5","20","130","0","20","5","84","0","0","17","0","0","5","11","1","3","0","1","0","1"
"L133","DircControl","MtX.Control.DircControl","L104","L103","D:\DataCollection\repos\Root-MtX_Nro2Nsp\Source\Control\Dirc.cs","10","5","136","6","0.444444","4","0","0","0","0","0","0","0","0","5","0","4","2","0","0","106","127","0","2","0","0","0","0","2","9","0","8","2","9","0","0","0","7","0","60","0","8","2","4","5","16","0","5","106","127","0","2","0","2","9","0","8","2","9","60","0","8","2","25","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L886","Nacp","MtX.Control.Nacp","L104","L103","D:\DataCollection\repos\Root-MtX_Nro2Nsp\Source\Control\Nacp.cs","12","5","72","6","0.1","1","0","0","0","0","0","0","0","0","1","0","1","1","0","0","56","61","0","4","0","0","0","0","4","9","0","9","4","9","0","0","0","0","0","36","0","9","4","1","9","9","0","1","56","61","0","4","0","4","9","0","9","4","9","36","0","9","4","15","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L1042","Nro","MtX.Nro2Nsp.Nro","L1030","L1029","D:\DataCollection\repos\Root-MtX_Nro2Nsp\Source\Nro2Nsp\Main.cs","11","5","267","6","0.333333","11","0","0.190286","2","4","0","4","0","0","71","0","15","2","0","0","423","534","0","0","0","0","0","0","0","10","0","2","0","10","0","0","0","47","0","290","0","2","0","1","2","57","0","71","423","534","0","0","0","0","10","0","2","0","10","290","0","2","0","43","0","0","23","0","0","3","10","1","2","2","1","0","7"
"L1303","SettingsMenu","MtX.Nro2Nsp.SettingsMenu","L1030","L1029","D:\DataCollection\repos\Root-MtX_Nro2Nsp\Source\Nro2Nsp\SettingsMenu.cs","9","5","210","6","0","1","0","0","0","0","0","0","0","0","59","0","8","2","0","0","379","470","0","0","0","0","0","0","0","12","0","2","0","12","0","0","0","1","0","266","0","2","0","0","3","13","0","59","379","470","0","0","0","0","12","0","2","0","12","266","0","2","0","54","0","0","9","0","0","2","0","1","1","0","1","0","6"
"L1256","PleaseWait","MtX.Nro2Nsp.PleaseWait","L1030","L1029","D:\DataCollection\repos\Root-MtX_Nro2Nsp\Source\Nro2Nsp\Wait.cs","6","5","13","6","0","0","0","0","0","0","0","0","0","0","17","0","8","2","0","0","51","79","0","0","0","0","0","0","0","3","0","1","0","3","0","0","0","0","0","31","0","1","0","0","2","3","0","17","51","79","0","0","0","0","3","0","1","0","3","31","0","1","0","5","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L1694","Program","MtX.Nro2Nsp.Program","L1030","L1029","D:\DataCollection\repos\Root-MtX_Nro2Nsp\Source\Nro2Nsp\Program.cs","10","5","22","6","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","10","13","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0","3","0","0","0","0","1","2","0","0","10","13","0","0","0","0","1","0","0","0","1","3","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L518","Settings","MtX.Control.Properties.Settings","L516","L103","D:\DataCollection\repos\Root-MtX_Nro2Nsp\Source\Control\Properties\Settings.Designer.cs","14","5","121","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","81","108","0","9","0","0","0","0","9","17","0","17","8","17","0","0","0","0","0","17","0","17","8","0","18","17","0","0","81","108","0","9","0","9","17","0","17","8","17","17","0","17","8","17","0","0","5","0","0","0","0","0","0","0","1","0","4"
"L171","Resources","MtX.Control.Properties.Resources","L516","L103","D:\DataCollection\repos\Root-MtX_Nro2Nsp\Source\Control\Properties\Resources.Designer.cs","22","5","172","6","0","0","0","0","0","0","0","0","0","0","3","0","3","0","0","0","71","151","0","13","0","0","0","0","13","15","0","0","1","15","0","0","0","0","0","28","0","0","1","0","1","15","0","3","71","151","0","13","0","13","15","0","0","1","15","28","0","0","1","16","0","0","3","0","0","0","0","0","0","0","1","0","2"
"L1118","Resources","MtX.Nro2Nsp.Properties.Resources","L1705","L1029","D:\DataCollection\repos\Root-MtX_Nro2Nsp\Source\Nro2Nsp\Properties\Resources.Designer.cs","22","5","82","6","0","0","0","0","0","0","0","0","0","0","3","0","3","0","0","0","37","61","0","4","0","0","0","0","4","6","0","0","1","6","0","0","0","0","0","10","0","0","1","0","1","6","0","3","37","61","0","4","0","4","6","0","0","1","6","10","0","0","1","7","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L1718","Settings","MtX.Nro2Nsp.Properties.Settings","L1705","L1029","D:\DataCollection\repos\Root-MtX_Nro2Nsp\Source\Nro2Nsp\Properties\Settings.Designer.cs","14","5","25","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","12","0","1","0","0","0","0","1","1","0","1","0","1","0","0","0","0","0","1","0","1","0","0","2","1","0","0","9","12","0","1","0","1","1","0","1","0","1","1","0","1","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0"
