"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DLOC","LDC","LLDC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L125","SetRequiredComponents","MtX.Control.ImportMeta.SetRequiredComponents()void","L121","L103","D:\DataCollection\repos\Root-MtX_Nro2Nsp\Source\Control\Import.cs","14","9","37","10","0","0","0","0","0","0","0","1","1","0","0","21","24","6","0","0","0","4","13","0","0","1","21","24","13","0","0","0","0","0","0","0","0","0","0","0"
"L206","ExtractNroWin","MtX.Control.ImportMeta.ExtractNroWin(string, bool, bool)void","L121","L103","D:\DataCollection\repos\Root-MtX_Nro2Nsp\Source\Control\Import.cs","41","9","57","10","0","0","0","0","0","0","0","1","1","0","0","17","17","1","0","0","0","1","5","3","0","1","17","17","5","0","0","0","0","0","0","0","0","0","0","0"
"L256","ExtractNroUni","MtX.Control.ImportMeta.ExtractNroUni(string)void","L121","L103","D:\DataCollection\repos\Root-MtX_Nro2Nsp\Source\Control\Import.cs","60","9","86","10","0","0","0","0","0","0","0","1","1","0","0","24","27","6","0","0","0","1","12","1","0","1","24","27","12","0","0","0","0","0","0","0","0","0","0","0"
"L314","GetMeta","MtX.Control.ImportMeta.GetMeta(int)string","L121","L103","D:\DataCollection\repos\Root-MtX_Nro2Nsp\Source\Control\Import.cs","90","9","118","10","0","0","0","0","0","0","0","5","1","0","0","28","29","7","0","0","0","0","25","1","0","5","28","29","25","0","0","0","0","0","0","0","0","0","0","0"
"L380","GetIcon","MtX.Control.ImportMeta.GetIcon()void","L121","L103","D:\DataCollection\repos\Root-MtX_Nro2Nsp\Source\Control\Import.cs","122","9","123","80","0","0","0","0","0","0","0","1","1","0","0","2","2","1","0","0","0","1","1","0","0","1","2","2","1","0","0","0","0","0","0","0","0","0","0","0"
"L261","SetCommand","MtX.Control.ImportMeta.SetCommand(string)string","L121","L103","D:\DataCollection\repos\Root-MtX_Nro2Nsp\Source\Control\Import.cs","127","9","145","10","0","0","0","0","0","0","0","1","1","0","0","18","19","3","0","0","0","1","10","1","0","1","18","19","10","0","0","0","0","0","0","0","0","0","0","0"
"L385","IconConvert","MtX.Control.IconImport.IconConvert(string)void","L382","L103","D:\DataCollection\repos\Root-MtX_Nro2Nsp\Source\Control\Image.cs","11","9","55","10","0","0","0","0","0","0","0","0","0","0","0","45","45","6","0","0","0","0","28","1","0","0","45","45","28","0","0","0","0","0","0","0","0","0","0","0"
"L555","get_AppName","MtX.Control.Source.AppName.getstring","L554","L103","D:\DataCollection\repos\Root-MtX_Nro2Nsp\Source\Control\Source.cs","9","33","9","37","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L558","set_AppName","MtX.Control.Source.AppName.setvoid","L554","L103","D:\DataCollection\repos\Root-MtX_Nro2Nsp\Source\Control\Source.cs","9","38","9","42","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L560","get_TitleId","MtX.Control.Source.TitleId.getstring","L554","L103","D:\DataCollection\repos\Root-MtX_Nro2Nsp\Source\Control\Source.cs","10","33","10","37","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L563","set_TitleId","MtX.Control.Source.TitleId.setvoid","L554","L103","D:\DataCollection\repos\Root-MtX_Nro2Nsp\Source\Control\Source.cs","10","38","10","42","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L565","get_Author","MtX.Control.Source.Author.getstring","L554","L103","D:\DataCollection\repos\Root-MtX_Nro2Nsp\Source\Control\Source.cs","11","32","11","36","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L568","set_Author","MtX.Control.Source.Author.setvoid","L554","L103","D:\DataCollection\repos\Root-MtX_Nro2Nsp\Source\Control\Source.cs","11","37","11","41","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L570","get_Version","MtX.Control.Source.Version.getstring","L554","L103","D:\DataCollection\repos\Root-MtX_Nro2Nsp\Source\Control\Source.cs","12","33","12","37","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L573","set_Version","MtX.Control.Source.Version.setvoid","L554","L103","D:\DataCollection\repos\Root-MtX_Nro2Nsp\Source\Control\Source.cs","12","38","12","42","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L575","get_Line","MtX.Control.Source.Line.getstring","L554","L103","D:\DataCollection\repos\Root-MtX_Nro2Nsp\Source\Control\Source.cs","13","30","13","34","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L578","set_Line","MtX.Control.Source.Line.setvoid","L554","L103","D:\DataCollection\repos\Root-MtX_Nro2Nsp\Source\Control\Source.cs","13","35","13","39","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L580","get_Path_Romfs","MtX.Control.Source.Path_Romfs.getstring","L554","L103","D:\DataCollection\repos\Root-MtX_Nro2Nsp\Source\Control\Source.cs","14","36","14","40","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L583","set_Path_Romfs","MtX.Control.Source.Path_Romfs.setvoid","L554","L103","D:\DataCollection\repos\Root-MtX_Nro2Nsp\Source\Control\Source.cs","14","41","14","45","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L585","get_Path_Sd","MtX.Control.Source.Path_Sd.getstring","L554","L103","D:\DataCollection\repos\Root-MtX_Nro2Nsp\Source\Control\Source.cs","15","33","15","37","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L588","set_Path_Sd","MtX.Control.Source.Path_Sd.setvoid","L554","L103","D:\DataCollection\repos\Root-MtX_Nro2Nsp\Source\Control\Source.cs","15","38","15","42","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L590","get_NroPath","MtX.Control.Source.NroPath.getstring","L554","L103","D:\DataCollection\repos\Root-MtX_Nro2Nsp\Source\Control\Source.cs","16","33","16","37","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L593","set_NroPath","MtX.Control.Source.NroPath.setvoid","L554","L103","D:\DataCollection\repos\Root-MtX_Nro2Nsp\Source\Control\Source.cs","16","38","16","42","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L595","get_NroName","MtX.Control.Source.NroName.getstring","L554","L103","D:\DataCollection\repos\Root-MtX_Nro2Nsp\Source\Control\Source.cs","17","33","17","37","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L598","set_NroName","MtX.Control.Source.NroName.setvoid","L554","L103","D:\DataCollection\repos\Root-MtX_Nro2Nsp\Source\Control\Source.cs","17","38","17","42","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L600","Meta","MtX.Control.Source.Meta()void","L554","L103","D:\DataCollection\repos\Root-MtX_Nro2Nsp\Source\Control\Source.cs","19","9","44","10","0","0","0","0","0","0","0","3","0","0","0","21","26","1","0","0","0","7","18","0","0","3","21","26","18","0","0","0","0","0","0","0","0","0","0","0"
"L620","Build","MtX.Control.Source.Build()void","L554","L103","D:\DataCollection\repos\Root-MtX_Nro2Nsp\Source\Control\Source.cs","46","9","89","10","0","0","0","0","0","0","0","3","0","0","0","38","44","5","0","0","0","7","25","0","0","3","38","44","25","0","0","0","0","0","0","0","0","0","0","0"
"L649","get_NameBox","MtX.Control.Tools.NameBox.getstring","L158","L103","D:\DataCollection\repos\Root-MtX_Nro2Nsp\Source\Control\Tools.cs","16","33","16","37","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L652","set_NameBox","MtX.Control.Tools.NameBox.setvoid","L158","L103","D:\DataCollection\repos\Root-MtX_Nro2Nsp\Source\Control\Tools.cs","16","38","16","42","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L654","get_AuthorBox","MtX.Control.Tools.AuthorBox.getstring","L158","L103","D:\DataCollection\repos\Root-MtX_Nro2Nsp\Source\Control\Tools.cs","17","35","17","39","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L657","set_AuthorBox","MtX.Control.Tools.AuthorBox.setvoid","L158","L103","D:\DataCollection\repos\Root-MtX_Nro2Nsp\Source\Control\Tools.cs","17","40","17","44","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L659","get_IdBox","MtX.Control.Tools.IdBox.getstring","L158","L103","D:\DataCollection\repos\Root-MtX_Nro2Nsp\Source\Control\Tools.cs","18","31","18","35","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L662","set_IdBox","MtX.Control.Tools.IdBox.setvoid","L158","L103","D:\DataCollection\repos\Root-MtX_Nro2Nsp\Source\Control\Tools.cs","18","36","18","40","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L664","get_VersionBox","MtX.Control.Tools.VersionBox.getstring","L158","L103","D:\DataCollection\repos\Root-MtX_Nro2Nsp\Source\Control\Tools.cs","19","36","19","40","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L667","set_VersionBox","MtX.Control.Tools.VersionBox.setvoid","L158","L103","D:\DataCollection\repos\Root-MtX_Nro2Nsp\Source\Control\Tools.cs","19","41","19","45","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L669","get_Line","MtX.Control.Tools.Line.getstring","L158","L103","D:\DataCollection\repos\Root-MtX_Nro2Nsp\Source\Control\Tools.cs","20","30","20","34","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L672","set_Line","MtX.Control.Tools.Line.setvoid","L158","L103","D:\DataCollection\repos\Root-MtX_Nro2Nsp\Source\Control\Tools.cs","20","35","20","39","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L674","WinCommand","MtX.Control.Tools.WinCommand(string, string, bool, bool)void","L158","L103","D:\DataCollection\repos\Root-MtX_Nro2Nsp\Source\Control\Tools.cs","23","9","39","10","0","0","0","0","0","0","0","1","1","0","0","17","17","1","0","0","0","1","5","4","0","1","17","17","5","0","0","0","0","0","0","0","0","0","0","0"
"L680","UnixCommand","MtX.Control.Tools.UnixCommand(string)void","L158","L103","D:\DataCollection\repos\Root-MtX_Nro2Nsp\Source\Control\Tools.cs","43","9","73","10","0","0","0","0","0","0","0","1","1","0","0","30","31","8","0","0","0","1","14","1","0","1","30","31","14","0","0","0","0","0","0","0","0","0","0","0"
"L685","RemoveSpecialCharacters","MtX.Control.Tools.RemoveSpecialCharacters(string)string","L158","L103","D:\DataCollection\repos\Root-MtX_Nro2Nsp\Source\Control\Tools.cs","77","9","86","10","0","0","0","0","0","0","0","1","1","0","0","10","10","11","0","0","0","0","5","1","0","1","10","10","5","0","0","1","0","0","1","0","1","0","0","0"
"L683","HacPackBrew","MtX.Control.Tools.HacPackBrew()string","L158","L103","D:\DataCollection\repos\Root-MtX_Nro2Nsp\Source\Control\Tools.cs","90","9","113","10","0","0","0","0","0","0","0","1","1","0","0","23","24","3","0","0","0","1","15","0","0","1","23","24","15","0","0","0","0","0","1","0","0","0","0","0"
"L161","RunningPlatform","MtX.Control.Tools.RunningPlatform()MtX.Control.Tools.Platform","L158","L103","D:\DataCollection\repos\Root-MtX_Nro2Nsp\Source\Control\Tools.cs","123","9","142","10","0","0","0","0","0","0","0","0","0","0","0","18","20","4","0","0","0","0","6","0","0","0","18","20","6","0","0","0","0","0","0","0","0","0","0","0"
"L735","Compile_Checks","MtX.Control.Tools.Compile_Checks()bool","L158","L103","D:\DataCollection\repos\Root-MtX_Nro2Nsp\Source\Control\Tools.cs","146","9","174","10","0","0","0","0","0","0","0","3","1","0","0","25","29","20","0","0","0","6","22","0","0","3","25","29","22","0","0","1","0","0","1","0","1","0","0","0"
"L250","Logger","MtX.Control.Tools.Logger(string)void","L158","L103","D:\DataCollection\repos\Root-MtX_Nro2Nsp\Source\Control\Tools.cs","178","9","183","10","0","0","0","0","0","0","0","1","1","0","0","6","6","1","0","0","0","0","3","1","0","1","6","6","3","0","0","0","0","0","0","0","0","0","0","0"
"L786","LsLog","MtX.Control.Tools.LsLog()void","L158","L103","D:\DataCollection\repos\Root-MtX_Nro2Nsp\Source\Control\Tools.cs","187","9","196","10","0","0","0","0","0","0","0","2","1","0","0","10","10","2","0","0","0","1","3","0","0","2","10","10","3","0","0","0","0","0","0","0","0","0","0","0"
"L800","IncreaseRollingId","MtX.Control.Tools.IncreaseRollingId()void","L158","L103","D:\DataCollection\repos\Root-MtX_Nro2Nsp\Source\Control\Tools.cs","200","9","258","10","0.72","1","10","0","2","0.779661","0.807018","1","1","46","46","57","59","14","0","0","0","1","31","0","0","1","57","59","31","0","0","8","0","0","1","7","1","0","0","0"
"L814","RandomizeTitleId","MtX.Control.Tools.RandomizeTitleId()string","L158","L103","D:\DataCollection\repos\Root-MtX_Nro2Nsp\Source\Control\Tools.cs","262","9","302","14","0","0","0","0","0","0","0","1","1","0","0","38","41","10","0","0","0","1","26","0","0","1","38","41","26","0","0","0","0","0","1","0","0","0","0","0"
"L828","get_TitleId","MtX.Control.DircControl.TitleId.getstring","L133","L103","D:\DataCollection\repos\Root-MtX_Nro2Nsp\Source\Control\Dirc.cs","12","33","12","37","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L831","set_TitleId","MtX.Control.DircControl.TitleId.setvoid","L133","L103","D:\DataCollection\repos\Root-MtX_Nro2Nsp\Source\Control\Dirc.cs","12","38","12","42","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L833","get_AppName","MtX.Control.DircControl.AppName.getstring","L133","L103","D:\DataCollection\repos\Root-MtX_Nro2Nsp\Source\Control\Dirc.cs","13","33","13","37","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L836","set_AppName","MtX.Control.DircControl.AppName.setvoid","L133","L103","D:\DataCollection\repos\Root-MtX_Nro2Nsp\Source\Control\Dirc.cs","13","38","13","42","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L842","BuildTemp","MtX.Control.DircControl.BuildTemp()void","L133","L103","D:\DataCollection\repos\Root-MtX_Nro2Nsp\Source\Control\Dirc.cs","27","9","69","10","0","0","0","0","0","0","0","2","1","0","0","40","43","9","0","0","0","5","27","0","0","2","40","43","27","0","0","0","0","0","0","0","0","0","0","0"
