"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L47138","LoupeDeckServiceControlViewModel","LoupeDeckServiceControlViewModel","L100","L1568","D:\DataCollection\repos\SaviorXTanren_mixer-mixitup\MixItUp.Base\ViewModel\Services\LoupeDeckServiceControlViewModel.cs","4","1","9","2","0","2","0","0","0","0","0","0","0","0","0","4","0","0","0","0","5","6","0","8","0","0","0","0","1","2","0","2","0","36","4","0","0","2","1","1","0","17","4","0","3","4","0","0","5","6","0","8","0","1","2","0","2","0","36","1","0","17","4","2","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L153","RestClient","MixItUp.API.RestClient","L104","L103","D:\DataCollection\repos\SaviorXTanren_mixer-mixitup\APIs\MixItUp.API\RestClient.cs","9","5","88","6","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","65","80","0","0","0","0","0","0","0","5","0","5","0","5","0","0","0","0","0","25","0","5","0","0","6","5","0","0","65","80","0","0","0","0","5","0","5","0","5","25","0","5","0","8","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L185","Chat","MixItUp.API.Chat","L104","L103","D:\DataCollection\repos\SaviorXTanren_mixer-mixitup\APIs\MixItUp.API\V1\Chat.cs","9","5","43","6","0.2","4","0","0","0","0","0","0","0","0","3","0","3","4","0","0","30","35","0","0","0","0","0","0","0","4","0","4","0","4","0","0","0","8","0","6","0","4","0","1","4","12","0","3","30","35","0","0","0","0","4","0","4","0","4","6","0","4","0","4","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L231","Commands","MixItUp.API.Commands","L104","L103","D:\DataCollection\repos\SaviorXTanren_mixer-mixitup\APIs\MixItUp.API\V1\Commands.cs","12","5","38","6","0.166667","2","0","0","0","0","0","0","0","0","4","0","4","4","0","0","23","27","0","0","0","0","0","0","0","5","0","5","0","5","0","0","0","3","0","5","0","5","0","1","5","8","0","4","23","27","0","0","0","0","5","0","5","0","5","5","0","5","0","5","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L275","Currencies","MixItUp.API.Currencies","L104","L103","D:\DataCollection\repos\SaviorXTanren_mixer-mixitup\APIs\MixItUp.API\V1\Currencies.cs","12","5","39","6","0.25","3","0","0","0","0","0","0","0","0","3","0","3","3","0","0","24","28","0","0","0","0","0","0","0","3","0","3","0","3","0","0","0","1","0","8","0","3","0","1","3","4","0","3","24","28","0","0","0","0","3","0","3","0","3","8","0","3","0","5","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L308","Inventories","MixItUp.API.Inventories","L104","L103","D:\DataCollection\repos\SaviorXTanren_mixer-mixitup\APIs\MixItUp.API\V1\Inventories.cs","7","5","13","6","0.5","2","0","0","0","0","0","0","0","0","1","0","1","1","0","0","7","7","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","1","0","1","0","1","0","1","1","2","0","1","7","7","0","0","0","0","1","0","1","0","1","1","0","1","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L595","Quotes","MixItUp.API.Quotes","L104","L103","D:\DataCollection\repos\SaviorXTanren_mixer-mixitup\APIs\MixItUp.API\V1\Quotes.cs","9","5","25","6","0.25","2","0","0","0","0","0","0","0","0","3","0","3","3","0","0","15","17","0","0","0","0","0","0","0","3","0","3","0","3","0","0","0","3","0","3","0","3","0","1","3","6","0","3","15","17","0","0","0","0","3","0","3","0","3","3","0","3","0","3","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L624","Users","MixItUp.API.Users","L104","L103","D:\DataCollection\repos\SaviorXTanren_mixer-mixitup\APIs\MixItUp.API\V1\Users.cs","15","5","94","6","0.1","4","0","0","0","0","0","0","0","0","6","0","6","9","0","0","66","80","0","0","0","0","0","0","0","9","0","9","0","9","0","0","0","6","0","18","0","9","0","1","9","15","0","6","66","80","0","0","0","0","9","0","9","0","9","18","0","9","0","11","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L1031","MixItUpAction","MixItUp.StreamDeckPlugin.MixItUpAction","L1024","L1023","D:\DataCollection\repos\SaviorXTanren_mixer-mixitup\MixItUp.StreamDeckPlugin\MixItUpAction.cs","12","5","20","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","9","0","0","0","0","0","0","0","6","0","6","0","6","0","1","1","0","0","0","0","6","0","0","7","6","0","0","9","9","0","0","0","0","6","0","6","0","6","0","0","6","0","6","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L1059","MixItUpActionAttribute","MixItUp.StreamDeckPlugin.MixItUpActionAttribute","L1024","L1023","D:\DataCollection\repos\SaviorXTanren_mixer-mixitup\MixItUp.StreamDeckPlugin\MixItUpActionAttribute.cs","9","5","18","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","10","0","1","0","0","0","0","1","3","0","2","1","3","0","0","0","0","0","1","0","2","1","0","3","3","0","0","9","10","0","1","0","1","3","0","2","1","3","1","0","2","1","3","0","0","1","0","0","0","0","0","0","0","1","0","0"
