"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Compiler","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L15322","TestObjectContextCore","TestObjectContextCore","L100","L14632","D:\DataCollection\repos\SharpRepository_SharpRepository\SharpRepository.Tests.Integration\TestObjects\TestObjectContextCore.cs","9","1","38","2","0","2","0","0","0","0","0","0","0","0","1","0","1","2","0","0","24","30","0","3","0","0","0","0","3","10","0","8","3","10","0","0","0","1","0","5","0","8","3","0","9","11","0","1","25","30","0","3","0","3","10","0","8","3","10","5","0","8","3","10","0","0","3","0","0","0","0","0","1","0","0","2","0","0"
"L17188","TestLoggerProvider","TestLoggerProvider","L100","L14632","D:\DataCollection\repos\SharpRepository_SharpRepository\SharpRepository.Tests.Integration\TestObjects\TestObjectContextCore.cs","40","1","58","2","0","1","0","0","0","0","0","0","0","0","0","0","0","2","0","0","16","19","0","0","0","0","0","0","0","3","0","3","0","3","0","0","0","1","0","3","0","3","0","0","4","4","0","0","16","19","0","0","0","0","3","0","3","0","3","3","0","3","0","3","0","0","2","0","0","0","0","0","1","0","0","1","0","0"
"L17204","TestLogger","TestLogger","L100","L14632","D:\DataCollection\repos\SharpRepository_SharpRepository\SharpRepository.Tests.Integration\TestObjects\TestObjectContextCore.cs","60","1","83","2","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","20","24","0","1","0","0","0","0","1","6","0","5","1","6","0","0","0","0","0","4","0","5","1","0","6","6","0","0","20","24","0","1","0","1","6","0","5","1","6","4","0","5","1","6","0","0","2","0","0","0","0","0","1","0","0","1","0","0"
"L3629","CompositeRepository","SharpRepository.Repository.CompositeRepository<T>","L125","L103","D:\DataCollection\repos\SharpRepository_SharpRepository\SharpRepository.Repository\CompositeRepository.cs","8","5","46","6","0.333333","11","0","0","0","0","0","0","0","0","1","6","1","6","0","0","31","39","0","19","0","0","0","0","0","7","0","2","0","388","11","0","0","0","10","6","0","331","10","1","2","7","0","1","31","39","0","19","0","0","7","0","2","0","388","6","0","331","10","7","0","0","11","0","0","0","0","0","1","0","1","1","3","5"
"L3695","CompoundKeyRepositoryBase","SharpRepository.Repository.CompoundKeyRepositoryBase<T>","L125","L103","D:\DataCollection\repos\SharpRepository_SharpRepository\SharpRepository.Repository\CompoundKeyRepositoryBase.Batch.cs","7","5","131","6","0","25","0","0.0341602","2","10","0","2","0.216","0.216495","8","3","1","3","27","21","376","476","0","7","0","0","0","0","2","25","0","18","1","145","8","1","9","35","8","185","0","118","3","0","19","60","0","9","476","620","0","13","0","5","41","0","33","3","174","229","0","146","7","78","0","0","32","0","0","0","0","16","2","0","1","3","2","8"
"L3765","CompoundKeyRepositoryBase","SharpRepository.Repository.CompoundKeyRepositoryBase<T, TKey, TKey2>","L125","L103","D:\DataCollection\repos\SharpRepository_SharpRepository\SharpRepository.Repository\CompoundKeyRepositoryBase.Batch.cs","133","5","257","6","0","25","0","0.0321839","2","10","0","2","0.216","0.216495","9","3","1","4","27","21","394","497","0","7","0","0","0","0","2","26","0","19","1","147","8","1","12","35","8","189","0","120","3","0","20","61","0","10","494","636","0","13","0","5","42","0","34","3","176","233","0","148","7","77","0","0","32","0","0","0","0","16","2","0","1","3","2","8"
"L3807","CompoundKeyRepositoryBase","SharpRepository.Repository.CompoundKeyRepositoryBase<T, TKey, TKey2, TKey3>","L125","L103","D:\DataCollection\repos\SharpRepository_SharpRepository\SharpRepository.Repository\CompoundKeyRepositoryBase.Batch.cs","259","5","383","6","0","25","0","0.0300967","2","10","0","2","0.216","0.216495","8","3","0","4","27","21","406","506","0","7","0","0","0","0","2","26","0","19","1","147","8","1","12","36","8","193","0","120","3","0","20","62","0","9","506","645","0","13","0","5","42","0","34","3","176","237","0","148","7","77","0","0","32","0","0","0","0","16","2","0","1","3","2","8"
"L3697","CompoundKeyRepositoryBaseCommon","SharpRepository.Repository.CompoundKeyRepositoryBaseCommon<T>","L125","L103","D:\DataCollection\repos\SharpRepository_SharpRepository\SharpRepository.Repository\CompoundKeyRepositoryBaseCommon.cs","15","5","368","6","0","8","0","0","0","0","0","0","0","0","4","0","4","20","0","0","270","354","0","4","0","0","0","0","4","68","0","48","1","68","0","3","36","3","0","90","0","48","1","0","49","71","0","4","270","354","0","4","0","4","68","0","48","1","68","90","0","48","1","86","0","0","9","0","0","1","0","0","1","0","1","1","0","6"
"L4756","ConfigurationBasedCompoundKeyRepository","SharpRepository.Repository.ConfigurationBasedCompoundKeyRepository<T, TKey, TKey2>","L125","L103","D:\DataCollection\repos\SharpRepository_SharpRepository\SharpRepository.Repository\ConfigurationBasedCompoundKeyRepository.cs","22","5","299","6","0.0178571","14","0","0","0","0","0","0","0","0","6","3","6","1","0","0","222","278","0","2","0","0","0","0","1","55","0","55","1","108","7","0","0","38","7","55","0","108","2","1","55","93","0","6","222","278","0","2","0","1","55","0","55","1","108","55","0","108","2","55","0","0","13","0","0","1","0","0","0","0","2","1","2","8"
"L5022","ConfigurationBasedCompoundKeyRepository","SharpRepository.Repository.ConfigurationBasedCompoundKeyRepository<T, TKey, TKey2, TKey3>","L125","L103","D:\DataCollection\repos\SharpRepository_SharpRepository\SharpRepository.Repository\ConfigurationBasedCompoundKeyRepository.cs","302","5","579","6","0","14","0","0","0","0","0","0","0","0","0","3","0","1","0","0","222","278","0","2","0","0","0","0","1","55","0","55","1","108","7","0","0","38","7","55","0","108","2","0","56","93","0","0","222","278","0","2","0","1","55","0","55","1","108","55","0","108","2","55","0","0","13","0","0","1","0","0","0","0","2","1","2","8"
