"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DLOC","LDC","LLDC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Compiler","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L17151",".ctor","TestObjectContextCore.TestObjectContextCore()void","L15322","L14632","D:\DataCollection\repos\SharpRepository_SharpRepository\SharpRepository.Tests.Integration\TestObjects\TestObjectContextCore.cs","11","5","12","8","0","0","0","0","0","0","0","0","0","0","0","2","2","1","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L17152",".ctor","TestObjectContextCore.TestObjectContextCore(DbContextOptions<TestObjectContextCore>)void","L15322","L14632","D:\DataCollection\repos\SharpRepository_SharpRepository\SharpRepository.Tests.Integration\TestObjects\TestObjectContextCore.cs","14","5","18","6","0","0","0","0","0","0","0","0","0","0","0","5","5","1","0","0","0","0","1","1","0","0","5","5","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L16192","get_Contacts","TestObjectContextCore.Contacts.getDbSet<SharpRepository.Tests.Integration.TestObjects.Contact>","L15322","L14632","D:\DataCollection\repos\SharpRepository_SharpRepository\SharpRepository.Tests.Integration\TestObjects\TestObjectContextCore.cs","20","38","20","42","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L17159","set_Contacts","TestObjectContextCore.Contacts.setvoid","L15322","L14632","D:\DataCollection\repos\SharpRepository_SharpRepository\SharpRepository.Tests.Integration\TestObjects\TestObjectContextCore.cs","20","43","20","47","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L17161","get_PhoneNumbers","TestObjectContextCore.PhoneNumbers.getDbSet<SharpRepository.Tests.Integration.TestObjects.PhoneNumber>","L15322","L14632","D:\DataCollection\repos\SharpRepository_SharpRepository\SharpRepository.Tests.Integration\TestObjects\TestObjectContextCore.cs","21","46","21","50","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L17164","set_PhoneNumbers","TestObjectContextCore.PhoneNumbers.setvoid","L15322","L14632","D:\DataCollection\repos\SharpRepository_SharpRepository\SharpRepository.Tests.Integration\TestObjects\TestObjectContextCore.cs","21","51","21","55","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L17166","get_EmailAddresses","TestObjectContextCore.EmailAddresses.getDbSet<SharpRepository.Tests.Integration.TestObjects.EmailAddress>","L15322","L14632","D:\DataCollection\repos\SharpRepository_SharpRepository\SharpRepository.Tests.Integration\TestObjects\TestObjectContextCore.cs","22","49","22","53","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L17169","set_EmailAddresses","TestObjectContextCore.EmailAddresses.setvoid","L15322","L14632","D:\DataCollection\repos\SharpRepository_SharpRepository\SharpRepository.Tests.Integration\TestObjects\TestObjectContextCore.cs","22","54","22","58","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L17175","OnModelCreating","TestObjectContextCore.OnModelCreating(ModelBuilder)void","L15322","L14632","D:\DataCollection\repos\SharpRepository_SharpRepository\SharpRepository.Tests.Integration\TestObjects\TestObjectContextCore.cs","27","5","30","6","0","0","0","0","0","0","0","1","1","0","0","4","4","1","0","0","0","0","1","1","0","1","5","4","1","0","0","1","0","0","0","0","0","0","0","1","0"
"L17183","OnConfiguring","TestObjectContextCore.OnConfiguring(DbContextOptionsBuilder)void","L15322","L14632","D:\DataCollection\repos\SharpRepository_SharpRepository\SharpRepository.Tests.Integration\TestObjects\TestObjectContextCore.cs","32","5","37","6","0","0","0","0","0","0","0","0","0","0","0","6","6","1","0","0","0","1","3","1","0","0","6","6","3","0","0","0","0","0","0","0","0","0","0","0","0"
