"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L6281","Sorting","BinaryNorthwest.Sorting","L6264","L1302","D:\DataCollection\repos\ShokoAnime_ShokoDesktop\Shoko.Desktop\MultiSortLib\MultiSort.cs","35","5","225","6","1","3","0","0","0","0","0","0","0","0","82","0","36","3","0","0","94","191","0","0","0","0","0","0","0","3","0","3","0","3","0","0","0","3","0","60","0","3","0","4","0","6","0","82","94","191","0","0","0","0","3","0","3","0","3","60","0","3","0","24","0","0","4","0","0","2","0","1","1","0","0","0","2"
"L6286","SortPropOrFieldAndDirection","BinaryNorthwest.SortPropOrFieldAndDirection","L6264","L1302","D:\DataCollection\repos\ShokoAnime_ShokoDesktop\Shoko.Desktop\MultiSortLib\SortSearchCriteria.cs","14","5","102","6","0.25","3","0","0","0","0","0","0","0","0","15","0","15","1","0","0","58","89","0","1","0","0","0","0","1","8","0","7","0","8","0","2","2","6","0","24","0","7","0","2","6","14","0","15","58","89","0","1","0","1","8","0","7","0","8","24","0","7","0","9","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L6388","SortPropertyAndDirection","BinaryNorthwest.SortPropertyAndDirection","L6264","L1302","D:\DataCollection\repos\ShokoAnime_ShokoDesktop\Shoko.Desktop\MultiSortLib\SortSearchCriteria.cs","107","5","115","6","0.166667","2","0","0","0","0","0","0","0","0","3","1","3","0","0","0","9","9","0","2","0","0","0","0","1","6","0","5","0","14","1","0","0","5","1","1","0","12","0","1","5","11","0","3","9","9","0","2","0","1","6","0","5","0","14","1","0","12","0","6","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L6409","SortFieldAndDirection","BinaryNorthwest.SortFieldAndDirection","L6264","L1302","D:\DataCollection\repos\ShokoAnime_ShokoDesktop\Shoko.Desktop\MultiSortLib\SortSearchCriteria.cs","120","5","128","6","0.166667","2","0","0","0","0","0","0","0","0","3","1","3","0","0","0","9","9","0","2","0","0","0","0","1","6","0","5","0","14","1","0","0","5","1","1","0","12","0","1","5","11","0","3","9","9","0","2","0","1","6","0","5","0","14","1","0","12","0","6","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L6350","CompareProperties","BinaryNorthwest.CompareProperties<T>","L6264","L1302","D:\DataCollection\repos\ShokoAnime_ShokoDesktop\Shoko.Desktop\MultiSortLib\ValueComparison.cs","21","5","331","6","0.35","4","0","0.347231","2","27","0","3","0.247588","0.362745","64","0","40","1","77","74","205","311","0","0","0","0","0","0","0","20","0","19","0","20","0","0","0","3","0","132","0","19","0","7","13","23","0","71","205","311","0","0","0","0","21","0","20","0","21","132","0","20","0","73","0","0","29","0","0","1","26","0","1","0","1","0","1"
"L6364","CompareFields","BinaryNorthwest.CompareFields<T>","L6264","L1302","D:\DataCollection\repos\ShokoAnime_ShokoDesktop\Shoko.Desktop\MultiSortLib\ValueComparison.cs","342","5","621","6","0.25","4","0","0.35298","2","27","0","3","0.278571","0.368159","38","0","30","1","78","74","202","280","0","0","0","0","0","0","0","20","0","19","0","20","0","0","0","3","0","130","0","19","0","5","15","23","0","45","202","280","0","0","0","0","21","0","20","0","21","130","0","20","0","73","0","0","29","0","0","1","26","0","1","0","1","0","1"
"L1596","App","Shoko.Desktop.App","L1303","L1302","D:\DataCollection\repos\ShokoAnime_ShokoDesktop\Shoko.Desktop\App.xaml.cs","22","5","55","6","0.5","0","0","0","0","0","0","0","0","0","5","0","4","1","0","0","28","34","0","0","0","0","0","0","0","3","0","1","0","3","0","0","0","0","0","9","0","1","0","1","1","3","0","5","28","34","0","0","0","0","3","0","1","0","3","9","0","1","0","5","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L1626","AppSettings","Shoko.Desktop.AppSettings","L1303","L1302","D:\DataCollection\repos\ShokoAnime_ShokoDesktop\Shoko.Desktop\AppSettings.cs","27","5","1798","6","0.319048","9","0","0.0374054","1","12","0","2","0.035553","0.0327198","113","0","2","3","63","48","1159","1772","0","105","0","0","0","0","105","216","0","209","102","216","0","0","0","5","0","709","0","209","102","67","143","221","0","113","1159","1772","0","105","0","105","216","0","209","102","216","709","0","209","102","447","0","0","53","0","0","2","26","1","2","3","1","0","20"
"L1671","FlexibleMessageBox","Shoko.Desktop.FlexibleMessageBox","L1303","L1302","D:\DataCollection\repos\ShokoAnime_ShokoDesktop\Shoko.Desktop\Forms\FlexibleMessageBox.cs","82","5","862","6","1","1","0","0","0","0","0","0","0","0","146","0","146","10","0","0","46","175","0","0","0","0","0","0","0","10","0","10","0","10","0","0","0","1","0","10","0","10","0","11","0","11","0","279","412","781","0","2","0","2","28","0","15","2","28","256","0","15","2","10","0","0","8","0","0","1","0","2","0","0","0","0","6"
"L2296","MainWindow","Shoko.Desktop.MainWindow","L1303","L1302","D:\DataCollection\repos\ShokoAnime_ShokoDesktop\Shoko.Desktop\MainWindow.xaml.cs","51","5","3191","6","0.0136986","68","0","0.0691788","5","35","0","8","0.0694046","0.0727345","114","0","9","59","218","183","2493","3095","0","0","0","0","0","0","0","121","0","72","0","121","0","0","0","232","0","1361","0","72","0","1","72","353","0","114","2527","3141","0","0","0","0","121","0","72","0","121","1361","0","72","0","552","0","0","102","0","0","18","52","1","12","14","1","0","22"
