"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DLOC","LDC","LLDC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L6283","SortInPlace","BinaryNorthwest.Sorting.SortInPlace<T>(List<T>, BinaryNorthwest.SortPropOrFieldAndDirection)void","L6281","L1302","D:\DataCollection\repos\ShokoAnime_ShokoDesktop\Shoko.Desktop\MultiSortLib\MultiSort.cs","49","9","65","10","0","0","0","0","0","0","0","13","11","0","0","14","17","3","0","0","0","3","6","2","0","13","14","17","6","0","0","0","0","0","0","0","0","0","0","0"
"L6299","MultiSort","BinaryNorthwest.Sorting.MultiSort<T>(List<T>, List<BinaryNorthwest.SortPropOrFieldAndDirection>)List<T>","L6281","L1302","D:\DataCollection\repos\ShokoAnime_ShokoDesktop\Shoko.Desktop\MultiSortLib\MultiSort.cs","80","9","206","10","0","0","0","0","0","0","0","57","13","0","0","67","127","12","0","0","0","2","41","2","0","57","67","127","41","0","0","3","0","0","1","0","1","0","0","2"
"L6306","GetSortTypeEnumForType","BinaryNorthwest.Sorting.GetSortTypeEnumForType(Type)BinaryNorthwest.SortType","L6281","L1302","D:\DataCollection\repos\ShokoAnime_ShokoDesktop\Shoko.Desktop\MultiSortLib\MultiSort.cs","215","9","224","10","0","0","0","0","0","0","0","7","7","0","0","10","10","9","0","0","0","0","13","1","0","7","10","10","13","0","0","0","0","0","1","0","0","0","0","0"
"L6317",".ctor","BinaryNorthwest.SortPropOrFieldAndDirection.SortPropOrFieldAndDirection()void","L6286","L1302","D:\DataCollection\repos\ShokoAnime_ShokoDesktop\Shoko.Desktop\MultiSortLib\SortSearchCriteria.cs","17","9","17","49","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L6318",".ctor","BinaryNorthwest.SortPropOrFieldAndDirection.SortPropOrFieldAndDirection(string)void","L6286","L1302","D:\DataCollection\repos\ShokoAnime_ShokoDesktop\Shoko.Desktop\MultiSortLib\SortSearchCriteria.cs","19","9","22","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","0","1","1","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L6320",".ctor","BinaryNorthwest.SortPropOrFieldAndDirection.SortPropOrFieldAndDirection(string, bool)void","L6286","L1302","D:\DataCollection\repos\ShokoAnime_ShokoDesktop\Shoko.Desktop\MultiSortLib\SortSearchCriteria.cs","24","9","28","10","0","0","0","0","0","0","0","0","0","0","0","5","5","1","0","0","0","0","2","2","0","0","5","5","2","0","0","0","0","0","0","0","0","0","0","0"
"L6325",".ctor","BinaryNorthwest.SortPropOrFieldAndDirection.SortPropOrFieldAndDirection(string, BinaryNorthwest.SortType)void","L6286","L1302","D:\DataCollection\repos\ShokoAnime_ShokoDesktop\Shoko.Desktop\MultiSortLib\SortSearchCriteria.cs","30","9","34","10","0","0","0","0","0","0","0","0","0","0","0","5","5","1","0","0","0","0","2","2","0","0","5","5","2","0","0","0","0","0","0","0","0","0","0","0"
"L6330",".ctor","BinaryNorthwest.SortPropOrFieldAndDirection.SortPropOrFieldAndDirection(string, bool, BinaryNorthwest.SortType)void","L6286","L1302","D:\DataCollection\repos\ShokoAnime_ShokoDesktop\Shoko.Desktop\MultiSortLib\SortSearchCriteria.cs","36","9","41","10","0","0","0","0","0","0","0","0","0","0","0","6","6","1","0","0","0","0","3","3","0","0","6","6","3","0","0","0","0","0","0","0","0","0","0","0"
"L6334",".ctor","BinaryNorthwest.SortPropOrFieldAndDirection.SortPropOrFieldAndDirection(string, bool, BinaryNorthwest.SortType, StringComparison)void","L6286","L1302","D:\DataCollection\repos\ShokoAnime_ShokoDesktop\Shoko.Desktop\MultiSortLib\SortSearchCriteria.cs","43","9","49","10","0","0","0","0","0","0","0","0","0","0","0","7","7","1","0","0","0","0","4","4","0","0","7","7","4","0","0","0","0","0","0","0","0","0","0","0"
"L6291","GetComparer","BinaryNorthwest.SortPropOrFieldAndDirection.GetComparer<T>()IComparer<T>","L6286","L1302","D:\DataCollection\repos\ShokoAnime_ShokoDesktop\Shoko.Desktop\MultiSortLib\SortSearchCriteria.cs","58","9","76","10","0","0","0","0","0","0","0","6","6","0","0","19","19","2","0","0","0","7","11","0","0","6","19","19","11","0","0","0","0","0","0","0","0","0","0","0"
