"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L440","AbstractSolrQuery","SolrNet.AbstractSolrQuery","L104","L103","D:\DataCollection\repos\SolrNet_SolrNet\SolrNet\AbstractSolrQuery.cs","23","5","119","6","1","5","0","0","0","0","0","0","0","0","38","1","38","8","0","0","50","97","0","0","0","0","0","0","0","10","0","10","0","10","1","11","11","3","1","28","0","10","0","11","0","13","0","38","50","97","0","0","0","0","10","0","10","0","10","28","0","10","0","19","0","0","2","0","0","0","0","1","0","0","0","1","0"
"L511","AddParameters","SolrNet.AddParameters","L104","L103","D:\DataCollection\repos\SolrNet_SolrNet\SolrNet\AddParameters.cs","25","5","31","6","1","1","0","0","0","0","0","0","0","0","10","1","10","0","0","0","3","7","0","2","0","0","0","0","1","2","0","2","1","4","1","0","0","0","1","0","0","4","2","3","0","2","0","10","3","7","0","2","0","1","2","0","2","1","4","0","0","4","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L529","DeleteParameters","SolrNet.DeleteParameters","L104","L103","D:\DataCollection\repos\SolrNet_SolrNet\SolrNet\AddParameters.cs","39","5","41","6","1","1","0","0","0","0","0","0","0","0","6","1","6","0","0","0","2","3","0","1","0","0","0","0","0","0","0","0","0","2","1","0","0","0","1","0","0","2","1","1","0","0","0","6","2","3","0","1","0","0","0","0","0","0","2","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L531","AtomicUpdateParameters","SolrNet.AtomicUpdateParameters","L104","L103","D:\DataCollection\repos\SolrNet_SolrNet\SolrNet\AddParameters.cs","49","5","51","6","1","1","0","0","0","0","0","0","0","0","6","1","6","0","0","0","2","3","0","1","0","0","0","0","0","0","0","0","0","2","1","0","0","0","1","0","0","2","1","1","0","0","0","6","2","3","0","1","0","0","0","0","0","0","2","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L512","UpdateParameters","SolrNet.UpdateParameters","L104","L103","D:\DataCollection\repos\SolrNet_SolrNet\SolrNet\AddParameters.cs","56","5","62","6","1","0","0","0","0","0","0","0","0","0","7","0","7","0","0","0","3","7","0","1","0","0","0","0","1","2","0","2","1","2","0","3","3","0","0","0","0","2","1","3","0","2","0","7","3","7","0","1","0","1","2","0","2","1","2","0","0","2","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L563","AtomicUpdateSpec","SolrNet.AtomicUpdateSpec","L104","L103","D:\DataCollection\repos\SolrNet_SolrNet\SolrNet\AtomicUpdateSpec.cs","52","5","107","6","1","1","0","0","0","0","0","0","0","0","33","0","33","0","0","0","24","56","0","3","0","0","0","0","3","9","0","6","3","9","0","0","0","0","0","9","0","6","3","7","0","9","0","33","24","56","0","3","0","3","9","0","6","3","9","9","0","6","3","9","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L641","Cluster","SolrNet.Cluster","L104","L103","D:\DataCollection\repos\SolrNet_SolrNet\SolrNet\ClusterResults.cs","8","5","24","6","0.857143","0","0","0","0","0","0","0","0","0","9","0","9","0","0","0","6","17","0","3","0","0","0","0","3","6","0","6","3","6","0","0","0","0","0","0","0","6","3","6","1","6","0","9","6","17","0","3","0","3","6","0","6","3","6","0","0","6","3","6","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L664","ClusterResults","SolrNet.ClusterResults","L104","L103","D:\DataCollection\repos\SolrNet_SolrNet\SolrNet\ClusterResults.cs","29","5","42","6","0.75","1","0","0","0","0","0","0","0","0","6","0","6","0","0","0","7","14","0","1","0","0","0","0","1","3","0","3","1","3","0","0","0","0","0","1","0","3","1","3","1","3","0","6","7","14","0","1","0","1","3","0","3","1","3","1","0","3","1","3","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L679","CollapsedDocument","SolrNet.CollapsedDocument","L104","L103","D:\DataCollection\repos\SolrNet_SolrNet\SolrNet\CollapsedDocument.cs","23","5","39","6","0.857143","0","0","0","0","0","0","0","0","0","9","0","9","0","0","0","6","17","0","3","0","0","0","0","3","6","0","6","3","6","0","0","0","0","0","0","0","6","3","6","1","6","0","9","6","17","0","3","0","3","6","0","6","3","6","0","0","6","3","6","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L698","CollapseExpandResults","SolrNet.CollapseExpandResults<T>","L104","L103","D:\DataCollection\repos\SolrNet_SolrNet\SolrNet\CollapseExpandResults.cs","8","5","27","6","1","0","0","0","0","0","0","0","0","0","9","0","9","0","0","0","10","20","0","1","0","0","0","0","1","2","0","2","0","2","0","0","0","0","0","2","0","2","0","3","0","2","0","9","10","20","0","1","0","1","2","0","2","0","2","2","0","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L717","CollapseResults","SolrNet.CollapseResults","L104","L103","D:\DataCollection\repos\SolrNet_SolrNet\SolrNet\CollapseResults.cs","25","5","44","6","0.833333","1","0","0","0","0","0","0","0","0","9","0","9","0","0","0","8","20","0","2","0","0","0","0","2","5","0","5","2","5","0","0","0","0","0","1","0","5","2","5","1","5","0","9","8","20","0","2","0","2","5","0","5","2","5","1","0","5","2","5","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L2382","DateFacetingResult","SolrNet.DateFacetingResult","L104","L103","D:\DataCollection\repos\SolrNet_SolrNet\SolrNet\DateFacetingResult.cs","24","5","54","6","0.9","1","0","0","0","0","0","0","0","0","15","0","15","0","0","0","11","31","0","4","0","0","0","0","4","9","0","9","4","9","0","0","0","0","0","2","0","9","4","9","1","9","0","15","11","31","0","4","0","4","9","0","9","4","9","2","0","9","4","9","0","0","1","0","0","0","0","0","0","0","1","0","0"
